sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adams County,31001,-1,-1,252.0,-1.0,6.0,25.0,1.6,406.0,278.0,259.0,11.5,7.1,6.0,37.0,35.0,17.0,4.0,27.0,4.0,69.0,26.0,99.0,68.0,4.0,25.0,79.0,27.0,43.0,21.0,22.0,8.0,36.0,16.0,40.0,7.0,6.0,2.0,1.0,0.0,3.0,2.0,61.0,97.0,63.0,45.0,42.0,12.0,23.0,12,14,41,-1,-1,-1,-1,-1,NE,-1,-1,94.0
9,3,VO,-1,Antelope County,31003,-1,-1,12.0,-1.0,5.0,25.0,2.2,26.0,268.0,284.0,10.7,5.0,0.0,58.0,33.0,8.0,0.0,50.0,0.0,50.0,25.0,100.0,75.0,8.0,33.0,92.0,42.0,13.0,25.0,8.0,0.0,67.0,0.0,33.0,0.0,8.0,0.0,0.0,0.0,8.0,3.0,44.0,100.0,208.0,8.0,58.0,33.0,42.0,2,14,75,-1,-1,-1,-1,-1,NE,-1,-1,92.0
9,3,VO,-1,Arthur County,31005,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,NE,-1,-1,
9,3,VO,-1,Banner County,31007,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,NE,-1,-1,
9,3,VO,-1,Blaine County,31009,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,NE,-1,-1,
9,3,VO,-1,Boone County,31011,-1,-1,10.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,NE,-1,-1,
9,3,VO,-1,Box Butte County,31013,-1,-1,152.0,-1.0,2.0,27.0,1.9,284.0,286.0,258.0,11.8,6.3,12.0,39.0,29.0,9.0,12.0,29.0,2.0,66.0,25.0,95.0,70.0,9.0,28.0,73.0,28.0,41.0,57.0,27.0,7.0,45.0,18.0,30.0,3.0,18.0,1.0,7.0,1.0,9.0,3.0,49.0,63.0,107.0,21.0,55.0,24.0,41.0,12,10,58,-1,-1,-1,-1,-1,NE,-1,-1,82.0
9,3,VO,-1,Boyd County,31015,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,NE,-1,-1,
9,3,VO,-1,Brown County,31017,-1,-1,1.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,NE,-1,-1,
9,3,VO,-1,Buffalo County,31019,-1,-1,151.0,-1.0,4.0,27.0,1.8,279.0,294.0,354.0,13.0,7.0,5.0,36.0,30.0,19.0,10.0,40.0,2.0,57.0,29.0,95.0,59.0,5.0,41.0,85.0,44.0,37.0,31.0,20.0,9.0,57.0,11.0,23.0,3.0,14.0,5.0,2.0,0.0,7.0,8.0,34.0,98.0,95.0,18.0,58.0,25.0,36.0,7,14,50,-1,-1,-1,-1,-1,NE,-1,-1,86.0
