gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,NE Nebraska,NE Adams County 31001,9,Housing Choice Vouchers,3,A,Adams County,31001,477.0,65,219,71,5.96544901065452,26,1.58447488584475,489.602739726026,278.041095890412,340.600917431194,11473.2420091325,7241.03746397697,8,33,37,17,4,24,1,75,25,100,69,1,24,74,23,49,39,29,6,32,24,38,5,11,2,2,0,6,5.25459770114942,65.9761035007613,96,80.3523809523812,41,45,14,32,23,18,55,A,A,A,-1,-1,NE,-1,A,89.0
County,NE Nebraska,NE Antelope County 31003,9,Housing Choice Vouchers,3,A,Antelope County,31003,14.0,81,11,96,3.6609547123623,9,2.08323133414933,23.9488327470419,308.4,328.555555555555,12796.961750306,6142.84239130435,0,46,27,18,9,45,0,55,28,100,73,0,36,82,36,26,33,13,0,54,19,27,9,0,0,0,0,0,12.6666666666667,78.5681354549163,81,246.333333333333,18,37,45,55,16,5,88,A,A,A,-1,-1,NE,-1,A,100.0
County,NE Nebraska,NE Arthur County 31005,9,Housing Choice Vouchers,3,A,Arthur County,31005,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NE,-1,A,
County,NE Nebraska,NE Banner County 31007,9,Housing Choice Vouchers,3,A,Banner County,31007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NE,-1,A,
County,NE Nebraska,NE Blaine County 31009,9,Housing Choice Vouchers,3,A,Blaine County,31009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NE,-1,A,
County,NE Nebraska,NE Boone County 31011,9,Housing Choice Vouchers,3,A,Boone County,31011,11.0,88,10,100,3.94333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,10258.7272727273,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,9.81666666666667,74.6766666666667,-4,-4.0,-4,-4,-4,-4,6,2,87,A,A,A,-1,-1,NE,-1,A,100.0
County,NE Nebraska,NE Box Butte County 31013,9,Housing Choice Vouchers,3,A,Box Butte County,31013,187.0,68,122,95,5.70437158469944,6,1.82786885245901,233.967213114754,278.868852459016,330.193277310924,11118.2049180328,6082.60538116593,16,25,37,11,11,27,2,71,25,97,66,3,33,76,32,35,56,26,8,38,19,35,6,21,1,8,0,13,14.3,65.6590163934425,63,148.285714285714,24,48,28,39,16,16,67,A,A,A,-1,-1,NE,-1,A,79.0
County,NE Nebraska,NE Boyd County 31015,9,Housing Choice Vouchers,3,A,Boyd County,31015,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NE,-1,A,
County,NE Nebraska,NE Brown County 31017,9,Housing Choice Vouchers,3,A,Brown County,31017,7.0,88,6,100,4.37777777777778,-4,-4.0,-4.0,-4.0,-4.0,-4.0,7302.2,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,6.24444444444444,19.7777777777778,-4,-4.0,-4,-4,-4,-4,19,2,87,A,A,A,-1,-1,NE,-1,A,100.0
County,NE Nebraska,NE Buffalo County 31019,9,Housing Choice Vouchers,3,A,Buffalo County,31019,123.0,97,155,100,6.1651612903226,9,2.09677419354839,251.047904191617,359.400000000001,387.180645161291,14168.6,6757.33230769231,3,27,35,18,17,30,0,70,27,97,64,8,39,83,44,44,31,21,5,60,18,17,2,12,2,1,1,8,10.8619047619048,42.4967741935485,100,134.296774193549,20,49,31,32,20,13,60,A,A,A,-1,-1,NE,-1,A,88.0
