sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Belknap County,33001,-1,-1,553.0,-1.0,4.0,14.0,2.1,1143.0,327.0,601.0,13.0,6.4,7.0,38.0,26.0,16.0,13.0,18.0,8.0,70.0,23.0,95.0,73.0,12.0,27.0,78.0,36.0,60.0,43.0,32.0,5.0,53.0,23.0,20.0,2.0,4.0,1.0,1.0,0.0,2.0,22.0,71.0,74.0,102.0,44.0,30.0,27.0,12.0,4,9,45,-1,-1,-1,-1,-1,NH,-1,-1,96.0
9,3,VO,-1,Carroll County,33003,-1,-1,147.0,-1.0,4.0,12.0,2.2,318.0,352.0,670.0,12.9,6.0,7.0,38.0,27.0,16.0,11.0,22.0,7.0,66.0,19.0,78.0,57.0,16.0,28.0,78.0,41.0,58.0,70.0,33.0,1.0,61.0,20.0,18.0,1.0,2.0,1.0,1.0,1.0,0.0,48.0,102.0,86.0,214.0,32.0,34.0,34.0,23.0,2,7,51,-1,-1,-1,-1,-1,NH,-1,-1,98.0
9,3,VO,-1,Cheshire County,33005,-1,-1,509.0,-1.0,6.0,79.0,1.8,931.0,362.0,749.0,15.7,8.6,4.0,30.0,27.0,16.0,24.0,24.0,3.0,72.0,28.0,86.0,58.0,2.0,5.0,20.0,7.0,18.0,69.0,13.0,72.0,15.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,90.0,70.0,79.0,50.0,31.0,19.0,5.0,2,9,47,-1,-1,-1,-1,-1,NH,-1,-1,100.0
9,3,VO,-1,Coos County,33007,-1,-1,384.0,-1.0,4.0,21.0,1.8,681.0,291.0,366.0,11.8,6.7,7.0,41.0,30.0,16.0,6.0,20.0,9.0,68.0,22.0,97.0,78.0,9.0,26.0,71.0,28.0,64.0,42.0,37.0,8.0,50.0,20.0,22.0,2.0,4.0,1.0,2.0,0.0,1.0,10.0,64.0,87.0,81.0,43.0,42.0,14.0,16.0,2,12,47,-1,-1,-1,-1,-1,NH,-1,-1,96.0
9,3,VO,-1,Grafton County,33009,-1,-1,323.0,-1.0,5.0,11.0,1.8,594.0,330.0,545.0,13.3,7.4,4.0,39.0,29.0,13.0,15.0,15.0,7.0,76.0,23.0,92.0,73.0,9.0,21.0,69.0,26.0,70.0,57.0,41.0,3.0,54.0,20.0,23.0,3.0,5.0,1.0,1.0,0.0,2.0,26.0,91.0,73.0,91.0,51.0,28.0,20.0,13.0,5,9,45,-1,-1,-1,-1,-1,NH,-1,-1,95.0
9,3,VO,-1,Hillsborough County,33011,-1,-1,3708.0,-1.0,4.0,18.0,2.3,8347.0,359.0,766.0,15.2,6.8,7.0,29.0,25.0,16.0,23.0,26.0,8.0,63.0,22.0,97.0,77.0,13.0,33.0,78.0,43.0,53.0,37.0,26.0,3.0,58.0,18.0,22.0,3.0,19.0,4.0,0.0,0.0,14.0,37.0,70.0,83.0,116.0,31.0,36.0,33.0,19.0,14,12,27,-1,-1,-1,-1,-1,NH,-1,-1,81.0
9,3,VO,-1,Merrimack County,33013,-1,-1,789.0,-1.0,4.0,18.0,2.2,1738.0,362.0,624.0,14.8,6.8,5.0,28.0,29.0,18.0,21.0,28.0,7.0,63.0,25.0,94.0,70.0,15.0,30.0,76.0,39.0,56.0,56.0,31.0,3.0,58.0,21.0,18.0,2.0,7.0,5.0,0.0,1.0,1.0,24.0,65.0,83.0,124.0,34.0,42.0,24.0,16.0,5,10,37,-1,-1,-1,-1,-1,NH,-1,-1,93.0
9,3,VO,-1,Rockingham County,33015,-1,-1,1356.0,-1.0,4.0,12.0,1.9,2601.0,379.0,743.0,15.2,8.0,3.0,30.0,28.0,17.0,22.0,26.0,6.0,67.0,23.0,95.0,74.0,11.0,25.0,79.0,33.0,56.0,41.0,31.0,2.0,49.0,21.0,27.0,3.0,4.0,2.0,0.0,0.0,1.0,36.0,77.0,82.0,116.0,38.0,42.0,20.0,18.0,5,7,42,-1,-1,-1,-1,-1,NH,-1,-1,96.0
9,3,VO,-1,Strafford County,33017,-1,-1,1362.0,-1.0,4.0,15.0,2.3,3091.0,363.0,776.0,14.8,6.6,7.0,31.0,25.0,17.0,21.0,27.0,9.0,61.0,22.0,95.0,77.0,16.0,33.0,78.0,44.0,51.0,51.0,27.0,5.0,63.0,16.0,16.0,1.0,5.0,2.0,0.0,0.0,1.0,28.0,69.0,89.0,131.0,29.0,41.0,31.0,15.0,5,9,41,-1,-1,-1,-1,-1,NH,-1,-1,95.0
9,3,VO,-1,Sullivan County,33019,-1,-1,207.0,-1.0,4.0,16.0,1.8,381.0,330.0,537.0,12.3,6.7,6.0,42.0,28.0,14.0,11.0,17.0,7.0,75.0,22.0,96.0,79.0,11.0,23.0,71.0,29.0,72.0,61.0,45.0,4.0,57.0,21.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,26.0,79.0,85.0,101.0,44.0,36.0,20.0,16.0,2,11,42,-1,-1,-1,-1,-1,NH,-1,-1,99.0
9,3,VO,-1,Missing County,33999,-1,-1,1.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,NH,-1,-1,
