gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,NH New Hampshire,NH Belknap County 33001,9,Housing Choice Vouchers,3,A,Belknap County,33001,572.0,99,564,100,4.89725217709985,8,2.03889624217242,1150.41820079642,350.293236945059,621.563939050067,13037.2829220243,6394.28463909137,6,35,30,16,14,16,9,73,23,98,77,5,31,74,32,62,58,33,2,52,24,22,1,4,1,2,1,1,23.2532572114493,84.4709889588234,76,139.80155942341,42,32,26,14,12,6,53,A,A,A,-1,-1,NH,-1,A,96.0
County,NH New Hampshire,NH Carroll County 33003,9,Housing Choice Vouchers,3,A,Carroll County,33003,139.0,98,137,100,4.33597883597884,2,2.23357664233577,304.556463379049,390.128,724.152,13050.204379562,5842.73856209149,7,40,20,16,16,12,8,77,23,99,79,7,35,73,37,68,85,39,1,53,32,15,1,3,0,1,1,1,77.8111111111111,119.38905109489,80,270.118181818182,28,31,40,28,12,3,74,A,A,A,-1,-1,NH,-1,A,97.0
County,NH New Hampshire,NH Cheshire County 33005,9,Housing Choice Vouchers,3,A,Cheshire County,33005,810.0,100,709,88,6.95665986054352,10,1.83151719881006,1470.1944823001,335.846948020891,713.477963527927,16089.6912000396,8826.65655221752,2,25,29,18,25,21,4,74,29,91,61,5,25,68,25,65,41,35,3,46,23,29,5,4,1,1,1,1,20.3833333333333,59.3668087791986,53,125.923273862125,49,29,22,14,15,6,48,A,A,A,-1,-1,NH,-1,A,96.0
County,NH New Hampshire,NH Coos County 33007,9,Housing Choice Vouchers,3,A,Coos County,33007,401.0,81,351,99,4.76093315924764,14,1.73849206589189,563.008989928076,305.769441528108,436.235151415716,11608.644089341,6677.42137976654,6,41,31,16,6,13,9,77,21,100,84,5,26,67,24,64,45,36,3,49,26,22,4,2,0,1,0,1,16.7234732417814,76.6733783753582,87,105.840153295063,48,40,13,16,15,4,57,A,A,A,-1,-1,NH,-1,A,98.0
County,NH New Hampshire,NH Grafton County 33009,9,Housing Choice Vouchers,3,A,Grafton County,33009,336.0,97,320,98,5.67688185953836,5,1.764719286969,573.883244820545,344.448609888935,590.241223026984,13351.2170632067,7565.63220099331,4,39,25,17,15,15,4,79,24,97,74,3,23,70,23,73,71,47,3,47,30,20,1,5,2,1,0,2,39.2735563544786,102.935587588856,74,123.704992454657,49,35,17,16,10,9,55,A,A,A,-1,-1,NH,-1,A,95.0
County,NH New Hampshire,NH Hillsborough County 33011,9,Housing Choice Vouchers,3,A,Hillsborough County,33011,3910.0,94,3585,97,4.79497683924425,4,2.1631807603684,7964.80402385055,374.512810234277,785.164779487774,15080.0200585306,6971.22512127111,6,31,24,16,24,20,8,70,23,97,77,6,35,74,37,59,44,31,1,54,23,23,2,21,6,0,1,15,39.0479354636525,89.1903472853958,81,138.144855259322,30,36,34,25,15,21,32,A,A,A,-1,-1,NH,-1,A,79.0
County,NH New Hampshire,NH Merrimack County 33013,9,Housing Choice Vouchers,3,A,Merrimack County,33013,806.0,98,818,100,4.86597512576282,9,2.20403598237065,1745.07013962924,370.967777299502,701.18240503342,14528.9279248389,6591.96494115838,6,30,26,18,20,18,9,69,22,98,78,8,33,73,35,62,62,34,1,51,28,19,3,9,5,1,1,2,34.8865516477932,79.9165115275027,84,145.900413017946,33,41,25,16,13,8,44,A,A,A,-1,-1,NH,-1,A,91.0
County,NH New Hampshire,NH No county code 33999,9,Housing Choice Vouchers,3,A,Missing County,33999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NH,-1,A,
County,NH New Hampshire,NH Rockingham County 33015,9,Housing Choice Vouchers,3,A,Rockingham County,33015,1288.0,97,1282,99,4.79274582730237,4,1.79464913928473,2246.39051272031,391.974528488768,771.846018511171,15293.1478164302,8521.52517261698,5,27,28,18,23,20,4,74,22,98,81,4,26,77,27,60,46,36,1,46,24,29,3,5,2,0,0,2,35.0126438184067,93.6619225914433,80,144.880135085056,41,39,20,22,8,8,46,A,A,A,-1,-1,NH,-1,A,95.0
County,NH New Hampshire,NH Strafford County 33017,9,Housing Choice Vouchers,3,A,Strafford County,33017,1331.0,97,1289,99,4.67556066963692,4,2.17707981408259,2805.09344751262,363.620919842376,810.631608208983,14449.400492008,6637.05593085797,8,32,23,16,21,21,9,68,20,99,83,9,35,77,39,58,60,32,2,59,21,17,1,5,3,1,0,2,31.0468918506834,86.6731758030253,86,152.609871513728,29,43,28,21,12,9,47,A,A,A,-1,-1,NH,-1,A,95.0
