Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2015-12-31,County,NH NEW HAMPSHIRE,NH CARROLL COUNTY 33003,9,Housing Choice Vouchers,3,,Carroll County,33003,119,94,116,100,5,2,2.1,241,429,817,14595,7025,3,32,27,17,21,18,2,77,25,97,69,10,26,73,31,69,80,41,-1,45,38,17,-1,1,1,-1,-1,99,-1,-1,-1,0,1,2,142,90,237,31,34,35,32,12,3,74,,,,,,NH,,,99.0
2015-12-31,County,NH NEW HAMPSHIRE,NH COOS COUNTY 33007,9,Housing Choice Vouchers,3,,Coos County,33007,432,83,362,100,4,23,1.7,606,334,551,13038,7789,4,34,28,22,12,18,2,78,24,98,77,6,20,70,21,64,47,36,3,41,26,30,3,2,-1,2,-1,98,-1,0,0,1,1,6,74,85,98,59,27,15,12,16,4,57,,,,,,NH,,,98.0
2015-12-31,County,NH NEW HAMPSHIRE,NH SULLIVAN COUNTY 33019,9,Housing Choice Vouchers,3,,Sullivan County,33019,210,91,196,100,5,6,1.9,376,372,744,13085,6821,2,34,33,16,16,13,1,81,23,98,78,3,30,68,29,72,63,45,2,45,34,19,2,2,1,-1,-1,98,-1,1,-1,1,0,17,100,87,124,45,33,22,15,14,5,48,,,,,,NH,,,98.0
2015-12-31,County,NH NEW HAMPSHIRE,NH BELKNAP COUNTY 33001,9,Housing Choice Vouchers,3,,Belknap County,33001,578,99,576,100,6,11,2.0,1138,384,684,14383,7280,4,28,31,19,18,19,2,77,25,95,73,5,28,72,28,63,64,36,1,47,25,27,1,4,1,2,0,96,0,1,0,1,1,24,95,76,138,43,34,24,17,14,6,53,,,,,,NH,,,96.0
2015-12-31,County,NH NEW HAMPSHIRE,NH CHESHIRE COUNTY 33005,9,Housing Choice Vouchers,3,,Cheshire County,33005,825,96,763,96,7,11,1.8,1396,411,957,17438,9531,1,21,30,20,28,24,1,75,31,90,58,6,24,68,25,67,50,38,3,43,26,28,4,4,1,1,1,96,-1,1,0,1,1,-1,81,56,114,48,30,21,15,17,6,50,,,,,,NH,,,96.0
2015-12-31,County,NH NEW HAMPSHIRE,NH ROCKINGHAM COUNTY 33015,9,Housing Choice Vouchers,3,,Rockingham County,33015,1263,95,1248,100,5,8,1.7,2147,431,820,16221,9429,3,24,29,19,26,20,1,78,23,97,77,3,24,76,25,63,52,40,1,39,27,33,3,5,2,0,0,95,0,2,-1,2,0,29,108,83,140,45,39,16,20,9,8,46,,,,,,NH,,,95.0
2015-12-31,County,NH NEW HAMPSHIRE,NH STRAFFORD COUNTY 33017,9,Housing Choice Vouchers,3,,Strafford County,33017,1356,93,1320,100,5,10,2.1,2721,418,831,15655,7594,3,29,25,17,26,23,1,73,22,98,79,6,32,74,34,61,65,35,2,51,27,20,2,6,3,0,0,94,0,2,0,2,1,21,99,91,149,32,43,25,21,13,9,45,,,,,,NH,,,94.0
2015-12-31,County,NH NEW HAMPSHIRE,NH GRAFTON COUNTY 33009,9,Housing Choice Vouchers,3,,Grafton County,33009,338,93,320,100,5,7,1.8,580,362,749,14171,7818,3,33,29,18,18,18,2,78,24,98,74,4,24,70,24,72,66,45,1,43,36,20,2,7,2,1,1,93,0,3,1,3,1,40,110,76,143,47,34,20,17,12,10,53,,,,,,NH,,,93.0
2015-12-31,County,NH NEW HAMPSHIRE,NH MERRIMACK COUNTY 33013,9,Housing Choice Vouchers,3,,Merrimack County,33013,816,95,818,100,5,5,2.1,1714,433,808,16247,7754,3,25,27,18,26,22,2,74,24,96,74,7,31,74,32,62,68,37,2,48,27,24,2,10,6,0,2,90,0,2,0,2,1,33,98,86,146,35,39,25,17,13,9,44,,,,,,NH,,,90.0
2015-12-31,County,NH NEW HAMPSHIRE,NH MISSING 33XXX,9,Housing Choice Vouchers,3,,Missing County,33XXX,28,93,27,100,4,7,1.7,47,20,792,15932,9153,-1,23,38,15,23,30,-1,67,-1,-1,-1,4,22,67,22,75,33,43,7,59,22,11,-1,15,4,4,-1,85,-1,7,-1,7,0,-1,9,4,9,85,4,-1,4,-1,-1,-1,,,,,,NH,,,85.0
2015-12-31,County,NH NEW HAMPSHIRE,NH HILLSBOROUGH COUNTY 33011,9,Housing Choice Vouchers,3,,Hillsborough County,33011,4106,91,3775,100,5,10,2.2,8260,432,822,16459,7522,4,27,23,17,29,25,1,72,24,96,74,5,35,75,37,57,55,31,1,51,25,23,2,23,6,0,1,77,1,16,0,17,0,61,102,84,148,38,32,30,14,18,22,30,,,,,,NH,,,77.0
