gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,NJ New Jersey,NJ Atlantic County 34001,9,Housing Choice Vouchers,3,A,Atlantic County,34001,1912.0,87,1611,92,5.94800813500418,5,2.56507554506862,4246.26539284403,384.299224326563,784.647857807815,15224.7577012289,5935.40324007167,9,27,22,16,26,36,9,55,26,93,65,3,56,87,55,26,56,15,2,64,16,17,2,81,69,1,1,15,20.9731435355703,73.2868251329472,95,151.648050348278,27,36,37,12,17,65,35,A,A,A,-1,-1,NJ,-1,A,19.0
County,NJ New Jersey,NJ Bergen County 34003,9,Housing Choice Vouchers,3,A,Bergen County,34003,6312.0,98,5829,94,5.9423243226705,3,2.00396745537201,12409.1762310574,399.283257972866,915.569963393903,15835.1127566184,7901.88119780559,5,30,23,16,26,26,4,70,22,97,79,3,30,77,30,39,31,21,1,41,22,37,6,50,23,1,6,24,38.0672502856968,96.1718166761781,94,83.9689939410103,49,33,18,9,8,42,32,A,A,A,-1,-1,NJ,-1,A,50.0
County,NJ New Jersey,NJ Burlington County 34005,9,Housing Choice Vouchers,3,A,Burlington County,34005,876.0,96,856,98,6.06113804218996,6,2.61363659327657,2207.20412497155,399.867723645934,775.277209915123,14390.0194785435,5505.74609934716,8,32,20,16,23,28,8,63,22,97,79,2,50,84,50,35,78,22,1,60,21,18,2,75,67,0,1,8,25.2959255965459,84.8579222233459,97,169.158999316115,35,30,35,9,8,37,51,A,A,A,-1,-1,NJ,-1,A,25.0
County,NJ New Jersey,NJ Camden County 34007,9,Housing Choice Vouchers,3,A,Camden County,34007,3243.0,94,2935,96,5.94374251431956,2,2.75994605036343,8444.07648734578,346.711692549836,717.668017261753,14288.8370090537,5177.21605723857,9,30,23,16,22,31,12,56,21,97,79,3,59,91,59,26,64,17,2,68,17,13,1,85,77,0,0,21,32.9751293948672,80.8089164208187,95,134.117188430224,21,35,43,11,21,65,29,A,A,A,-1,-1,NJ,-1,A,15.0
County,NJ New Jersey,NJ Cape May County 34009,9,Housing Choice Vouchers,3,A,Cape May County,34009,542.0,94,484,95,5.86558940699065,1,2.2250418946053,1136.30249668106,437.21418514052,601.147531335526,15135.8951174656,6802.52140607472,4,28,24,23,21,21,3,75,27,95,61,5,35,83,39,47,54,28,0,49,23,27,3,33,21,0,1,13,11.7481481481481,104.0357808513,79,144.257876204483,31,40,28,20,13,15,53,A,A,A,-1,-1,NJ,-1,A,67.0
County,NJ New Jersey,NJ Cumberland County 34011,9,Housing Choice Vouchers,3,A,Cumberland County,34011,1897.0,90,1653,96,4.9662260767211,2,2.68787733448248,4579.92528301959,368.0368587765,695.477616772339,14150.9593590053,5264.73406262412,10,31,21,16,22,25,8,66,27,91,65,4,50,84,51,39,68,23,2,62,19,16,1,85,47,1,0,39,53.8494451752271,93.1492950445015,97,149.666366521595,23,35,41,14,19,49,48,A,A,A,-1,-1,NJ,-1,A,15.0
County,NJ New Jersey,NJ Essex County 34013,9,Housing Choice Vouchers,3,A,Essex County,34013,10656.0,77,8185,94,6.31335699514658,11,2.66593291387766,21916.3501454442,381.084734128096,897.28735075265,15448.0594360696,5794.61671959332,13,26,19,14,28,36,13,50,21,96,78,2,58,91,57,18,69,14,2,65,18,16,2,94,80,0,1,15,42.3795169287197,80.4960369560226,90,135.324380068561,20,33,47,16,25,91,12,A,A,A,-1,-1,NJ,-1,A,6.0
County,NJ New Jersey,NJ Gloucester County 34015,9,Housing Choice Vouchers,3,A,Gloucester County,34015,2222.0,95,2110,99,5.90550798244423,11,2.35181703723259,4964.773280002,354.761226393874,721.04747523432,14493.1426220002,6162.52981951966,9,30,22,17,22,27,12,62,22,97,77,4,50,85,51,35,52,19,4,63,17,17,2,55,51,0,0,5,29.1633730784551,75.5452197875314,98,138.103019857404,35,37,27,6,9,22,61,A,A,A,-1,-1,NJ,-1,A,45.0
County,NJ New Jersey,NJ Hudson County 34017,9,Housing Choice Vouchers,3,A,Hudson County,34017,8582.0,92,7757,94,5.84765937863012,6,2.39373683982059,18995.4911624943,375.56931862266,896.759801948419,15335.2696139304,6406.41417169307,6,32,21,15,25,33,8,58,26,93,70,3,45,86,45,28,56,20,2,52,22,25,2,84,32,0,1,53,44.6352350338099,86.8448117391696,93,107.343459304544,28,39,33,15,18,73,7,A,A,A,-1,-1,NJ,-1,A,16.0
County,NJ New Jersey,NJ Hunterdon County 34019,9,Housing Choice Vouchers,3,A,Hunterdon County,34019,522.0,98,489,95,4.77288990326408,0,1.65397550611951,847.933674840844,397.58678976614,883.429925916328,15772.8410485685,9536.320816246,5,25,30,17,23,16,2,81,20,98,84,4,18,77,19,59,46,37,0,44,21,35,7,11,7,0,0,4,40.1,96.2819826320295,96,157.895388916837,60,27,13,14,5,11,52,A,A,A,-1,-1,NJ,-1,A,89.0
