Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2022-12-31,County,NJ New Jersey,NJ Atlantic County 34001,9,Housing Choice Vouchers,3,,Atlantic County,34001,3000,83,2471,99,8,4,2.2,5459,434,909,17579,7957,8,12,29,15,36,30,3,59,25,90,67,1,38,80,38,28,50,20,1,47,20,31,2,81,63,0,1,19,2,13,1,16,1,29,110,78,149,39,31,30,15,24,64,33,,,,,,NJ,,,19.0
2022-12-31,County,NJ New Jersey,NJ Bergen County 34003,9,Housing Choice Vouchers,3,,Bergen County,34003,8519,93,7938,100,6,7,1.8,14181,479,1045,19613,10979,4,9,35,16,37,27,1,69,21,96,79,2,21,75,21,34,40,24,1,28,20,51,8,66,24,0,9,34,3,28,2,33,2,39,127,81,71,58,27,16,11,9,42,29,,,,,,NJ,,,34.0
2022-12-31,County,NJ New Jersey,NJ Burlington County 34005,9,Housing Choice Vouchers,3,,Burlington County,34005,963,94,871,96,8,6,2.5,2190,507,1027,19632,7808,7,10,34,13,36,27,2,68,23,95,75,2,41,82,40,42,84,28,2,47,24,28,1,79,66,1,0,21,2,9,1,12,3,23,131,98,154,36,29,35,14,10,44,51,,,,,,NJ,,,21.0
2022-12-31,County,NJ New Jersey,NJ Camden County 34007,9,Housing Choice Vouchers,3,,Camden County,34007,4468,88,3887,99,9,3,2.4,9285,406,928,16273,6812,8,15,32,13,32,29,3,59,19,96,80,1,46,88,46,31,85,24,2,55,21,23,1,92,65,0,0,8,14,12,1,27,2,31,108,98,135,29,35,36,17,27,77,26,,,,,,NJ,,,8.0
2022-12-31,County,NJ New Jersey,NJ Cape May County 34009,9,Housing Choice Vouchers,3,,Cape May County,34009,378,92,331,96,8,3,1.8,581,389,939,15987,9108,4,10,47,15,24,16,0,79,23,96,80,2,21,73,21,61,57,41,-1,29,34,37,3,36,21,-1,1,64,-1,13,1,14,1,40,140,71,126,48,31,21,22,12,21,53,,,,,,NJ,,,64.0
2022-12-31,County,NJ New Jersey,NJ Cumberland County 34011,9,Housing Choice Vouchers,3,,Cumberland County,34011,2246,87,1874,96,6,7,2.2,4162,424,832,17308,7793,8,8,41,12,31,24,1,73,26,91,70,3,36,80,36,42,67,29,2,44,23,31,2,87,39,1,0,13,2,45,0,47,1,34,130,94,126,38,28,34,18,12,36,32,,,,,,NJ,,,13.0
2022-12-31,County,NJ New Jersey,NJ Essex County 34013,9,Housing Choice Vouchers,3,,Essex County,34013,14059,87,12586,100,8,17,2.2,27136,461,1084,18876,8755,10,11,29,11,39,35,2,58,21,95,76,1,40,85,39,23,58,21,1,50,21,28,2,95,78,0,0,5,2,13,1,16,0,136,107,80,112,34,32,34,20,26,94,13,,,,,,NJ,,,5.0
2022-12-31,County,NJ New Jersey,NJ Gloucester County 34015,9,Housing Choice Vouchers,3,,Gloucester County,34015,2783,78,2172,100,8,6,2.1,4567,460,929,18608,8850,6,9,36,14,35,26,4,69,23,96,76,2,38,80,38,43,82,31,1,48,24,27,1,65,55,1,0,35,2,7,1,9,1,43,108,94,147,43,30,26,13,12,25,56,,,,,,NJ,,,35.0
2022-12-31,County,NJ New Jersey,NJ Hudson County 34017,9,Housing Choice Vouchers,3,,Hudson County,34017,11303,89,10340,100,6,11,2.0,20566,459,1073,19064,9585,6,9,36,13,36,31,3,64,21,95,78,3,27,78,27,30,48,25,1,35,21,43,4,84,29,0,1,16,2,51,0,54,0,33,119,81,94,51,31,18,10,18,69,9,,,,,,NJ,,,16.0
2022-12-31,County,NJ New Jersey,NJ Hunterdon County 34019,9,Housing Choice Vouchers,3,,Hunterdon County,34019,645,86,601,100,6,8,1.6,952,480,1110,19453,12281,3,6,37,17,37,21,2,75,19,98,84,2,17,69,17,58,71,43,0,32,27,40,2,24,15,0,1,76,0,7,-1,8,0,41,120,91,135,61,27,12,14,9,18,53,,,,,,NJ,,,76.0
2022-12-31,County,NJ New Jersey,NJ Mercer County 34021,9,Housing Choice Vouchers,3,,Mercer County,34021,2445,91,2090,94,8,7,1.9,4045,457,983,18692,9658,7,9,36,11,36,25,2,71,20,96,79,1,32,79,31,40,67,32,2,42,23,34,1,84,71,0,0,16,2,10,0,12,1,28,122,73,132,46,24,30,21,24,71,25,,,,,,NJ,,,16.0
2022-12-31,County,NJ New Jersey,NJ Middlesex County 34023,9,Housing Choice Vouchers,3,,Middlesex County,34023,7307,91,6843,100,6,7,2.1,14063,549,1063,22107,10757,5,8,30,13,44,33,1,62,20,96,79,2,30,81,30,29,53,24,1,37,23,40,4,80,36,0,2,20,2,40,0,43,1,36,123,85,117,44,32,24,12,13,52,33,,,,,,NJ,,,20.0
2022-12-31,County,NJ New Jersey,NJ Monmouth County 34025,9,Housing Choice Vouchers,3,,Monmouth County,34025,5573,85,4593,97,6,9,2.1,9497,561,1080,21865,10574,4,8,28,14,47,35,1,58,23,94,74,2,33,80,32,28,46,21,1,41,22,35,4,62,48,0,0,38,2,11,0,13,1,16,141,83,118,48,28,24,11,14,41,47,,,,,,NJ,,,38.0
