sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Bernalillo County,35001,-1,-1,5476.0,-1.0,5.0,14.0,2.4,13190.0,273.0,525.0,11.7,4.9,11.0,42.0,22.0,13.0,12.0,30.0,13.0,55.0,24.0,96.0,74.0,15.0,36.0,80.0,47.0,44.0,74.0,25.0,5.0,57.0,19.0,19.0,1.0,77.0,7.0,4.0,2.0,64.0,17.0,68.0,79.0,63.0,28.0,33.0,39.0,16.0,60,17,46,-1,-1,-1,-1,-1,NM,-1,-1,23.0
9,3,VO,-1,Catron County,35003,-1,-1,13.0,-1.0,5.0,31.0,2.8,37.0,228.0,340.0,10.3,4.4,15.0,38.0,38.0,8.0,0.0,38.0,0.0,46.0,25.0,100.0,54.0,31.0,23.0,69.0,46.0,13.0,40.0,11.0,0.0,31.0,31.0,38.0,0.0,54.0,0.0,38.0,0.0,15.0,2.0,62.0,92.0,136.0,8.0,38.0,54.0,23.0,-2,-2,-2,-1,-1,-1,-1,-1,NM,-1,-1,46.0
9,3,VO,-1,Chaves County,35005,-1,-1,607.0,-1.0,6.0,31.0,2.6,1582.0,255.0,380.0,9.8,3.8,19.0,41.0,26.0,10.0,4.0,35.0,10.0,50.0,26.0,96.0,66.0,15.0,49.0,86.0,60.0,32.0,72.0,16.0,15.0,57.0,16.0,11.0,1.0,74.0,5.0,1.0,0.0,68.0,9.0,44.0,92.0,121.0,14.0,43.0,44.0,22.0,51,25,56,-1,-1,-1,-1,-1,NM,-1,-1,26.0
9,3,VO,-1,Cibola County,35006,-1,-1,76.0,-1.0,11.0,33.0,3.3,247.0,279.0,455.0,10.4,3.2,13.0,42.0,25.0,14.0,5.0,42.0,25.0,33.0,28.0,92.0,62.0,33.0,46.0,86.0,71.0,21.0,100.0,11.0,11.0,67.0,14.0,8.0,0.0,41.0,0.0,17.0,0.0,24.0,20.0,35.0,99.0,198.0,12.0,28.0,61.0,5.0,55,16,44,-1,-1,-1,-1,-1,NM,-1,-1,59.0
9,3,VO,-1,Colfax County,35007,-1,-1,2.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,NM,-1,-1,
9,3,VO,-1,Curry County,35009,-1,-1,599.0,-1.0,4.0,39.0,2.4,1429.0,228.0,344.0,9.6,4.1,20.0,45.0,21.0,9.0,5.0,32.0,19.0,43.0,25.0,95.0,70.0,12.0,46.0,83.0,54.0,34.0,89.0,19.0,19.0,53.0,18.0,11.0,1.0,67.0,13.0,0.0,1.0,53.0,4.0,38.0,90.0,79.0,21.0,42.0,37.0,26.0,47,25,46,-1,-1,-1,-1,-1,NM,-1,-1,33.0
9,3,VO,-1,DeBaca County,35011,-1,-1,18.0,-1.0,11.0,0.0,2.3,42.0,270.0,260.0,10.6,4.6,11.0,28.0,50.0,11.0,0.0,50.0,11.0,39.0,31.0,100.0,44.0,11.0,50.0,78.0,44.0,8.0,67.0,14.0,0.0,61.0,6.0,33.0,11.0,78.0,0.0,0.0,0.0,78.0,-2.0,69.0,89.0,131.0,6.0,39.0,56.0,44.0,20,10,30,-1,-1,-1,-1,-1,NM,-1,-1,22.0
9,3,VO,-1,Dona Ana County,35013,-1,-1,1249.0,-1.0,5.0,6.0,2.7,3377.0,246.0,420.0,10.2,3.8,22.0,40.0,22.0,11.0,6.0,33.0,18.0,41.0,25.0,94.0,66.0,19.0,44.0,85.0,60.0,25.0,59.0,13.0,9.0,61.0,13.0,17.0,1.0,83.0,3.0,0.0,0.0,79.0,39.0,64.0,94.0,119.0,15.0,36.0,49.0,19.0,65,28,41,-1,-1,-1,-1,-1,NM,-1,-1,17.0
9,3,VO,-1,Eddy County,35015,-1,-1,112.0,-1.0,6.0,11.0,2.4,272.0,240.0,385.0,9.2,3.9,15.0,51.0,21.0,12.0,1.0,16.0,12.0,67.0,22.0,99.0,79.0,12.0,43.0,82.0,53.0,47.0,74.0,24.0,5.0,55.0,22.0,17.0,4.0,67.0,1.0,2.0,1.0,63.0,6.0,73.0,93.0,128.0,19.0,40.0,41.0,28.0,44,18,60,-1,-1,-1,-1,-1,NM,-1,-1,33.0
9,3,VO,-1,Grant County,35017,-1,-1,398.0,-1.0,5.0,33.0,2.3,905.0,214.0,372.0,10.0,4.4,25.0,41.0,21.0,7.0,7.0,34.0,8.0,48.0,25.0,94.0,69.0,15.0,41.0,79.0,52.0,25.0,67.0,14.0,15.0,57.0,15.0,13.0,2.0,60.0,3.0,0.0,0.0,57.0,5.0,44.0,92.0,85.0,24.0,41.0,35.0,22.0,51,20,42,-1,-1,-1,-1,-1,NM,-1,-1,40.0
