Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,NM New Mexico,NM Bernalillo County 35001,9,Housing Choice Vouchers,3,,Bernalillo County,35001,6456,90,5900,100,6,9,2.1,12343,317,601,12718,6079,8,39,24,14,15,22,2,73,24,96,74,4,32,72,32,55,81,36,1,44,26,28,1,75,7,4,2,25,0,60,1,61,0,41,102,75,107,37,31,31,20,25,66,52,,,,,,NM,,,25.0
2018-12-31,County,NM New Mexico,NM Catron County 35003,9,Housing Choice Vouchers,3,,Catron County,35003,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,
2018-12-31,County,NM New Mexico,NM Chaves County 35005,9,Housing Choice Vouchers,3,,Chaves County,35005,1046,51,537,100,6,6,2.5,1353,268,521,10884,4320,14,39,23,13,11,29,5,60,24,96,72,5,50,78,49,36,82,20,6,54,22,18,2,78,6,1,-1,22,1,69,1,71,1,9,72,84,128,16,37,47,29,22,59,75,,,,,,NM,,,22.0
2018-12-31,County,NM New Mexico,NM Cibola County 35006,9,Housing Choice Vouchers,3,,Cibola County,35006,47,70,25,76,10,16,2.4,60,257,352,10340,4308,20,36,24,16,4,24,4,72,24,96,76,12,36,76,36,37,67,18,4,48,24,24,-1,84,-1,24,-1,16,-1,60,-1,60,0,8,51,92,113,44,24,32,8,25,69,62,,,,,,NM,,,16.0
2018-12-31,County,NM New Mexico,NM Colfax County 35007,9,Housing Choice Vouchers,3,,Colfax County,35007,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,
2018-12-31,County,NM New Mexico,NM Curry County 35009,9,Housing Choice Vouchers,3,,Curry County,35009,625,69,432,100,5,23,2.3,975,288,462,11619,5148,14,39,22,15,10,36,11,51,26,95,70,3,48,80,48,30,83,19,9,51,22,18,1,78,21,0,0,22,2,54,-1,56,0,29,61,90,90,19,35,45,35,29,59,73,,,,,,NM,,,22.0
2018-12-31,County,NM New Mexico,NM De Baca County 35011,9,Housing Choice Vouchers,3,,DeBaca County,35011,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,
2018-12-31,County,NM New Mexico,NM Do±a Ana County 35013,9,Housing Choice Vouchers,3,,Dona Ana County,35013,1614,81,1334,100,6,13,2.5,3304,280,496,10603,4281,15,39,24,13,9,28,6,60,24,97,71,3,47,78,46,32,71,20,5,52,22,21,1,82,6,1,0,18,0,74,1,75,1,11,75,94,120,41,32,27,4,33,71,53,,,,,,NM,,,18.0
2018-12-31,County,NM New Mexico,NM Eddy County 35015,9,Housing Choice Vouchers,3,,Eddy County,35015,132,51,68,100,5,34,1.5,101,306,521,11585,7800,6,49,27,10,7,12,3,84,23,99,84,4,19,76,21,63,86,53,1,24,34,41,3,68,4,1,-1,32,1,57,3,62,1,3,90,63,95,50,34,16,25,19,54,76,,,,,,NM,,,32.0
2018-12-31,County,NM New Mexico,NM Grant County 35017,9,Housing Choice Vouchers,3,,Grant County,35017,528,85,449,100,6,39,2.0,894,235,449,9581,4812,22,38,26,10,4,27,8,63,23,99,74,6,34,75,36,35,68,22,9,51,21,20,0,65,1,2,-1,35,0,62,0,63,1,38,51,90,86,28,42,30,31,26,56,58,,,,,,NM,,,35.0
2018-12-31,County,NM New Mexico,NM Guadalupe County 35019,9,Housing Choice Vouchers,3,,Guadalupe County,35019,12,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,
2018-12-31,County,NM New Mexico,NM Harding County 35021,9,Housing Choice Vouchers,3,,Harding County,35021,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,
2018-12-31,County,NM New Mexico,NM Hidalgo County 35023,9,Housing Choice Vouchers,3,,Hidalgo County,35023,15,85,13,100,5,8,1.9,25,241,449,10118,5261,8,46,46,-1,-1,31,-1,69,24,100,85,8,46,69,46,45,-1,20,8,23,54,15,-1,77,-1,-1,-1,23,-1,77,-1,77,0,10,95,85,123,15,54,31,46,29,72,64,,,,,,NM,,,23.0
2018-12-31,County,NM New Mexico,NM Lea County 35025,9,Housing Choice Vouchers,3,,Lea County,35025,150,51,77,100,6,3,1.8,136,289,521,11496,6509,7,42,30,11,10,23,-1,71,22,96,79,-1,29,86,29,45,100,38,1,42,26,31,1,78,26,-1,-1,22,4,48,-1,52,0,11,82,99,94,48,26,26,25,25,71,59,,,,,,NM,,,22.0
2018-12-31,County,NM New Mexico,NM Lincoln County 35027,9,Housing Choice Vouchers,3,,Lincoln County,35027,101,51,52,100,7,8,1.6,84,285,521,11315,7005,8,42,28,10,12,12,2,83,28,88,65,-1,17,85,17,44,81,40,4,21,23,52,2,37,-1,-1,-1,63,-1,37,-1,37,0,6,92,88,112,38,44,17,35,15,34,66,,,,,,NM,,,63.0
2018-12-31,County,NM New Mexico,NM Los Alamos County 35028,9,Housing Choice Vouchers,3,,Los Alamos County,35028,96,77,84,100,5,17,1.8,147,382,715,15453,8831,10,24,20,23,23,36,1,62,17,100,89,2,33,64,30,46,72,31,2,42,26,30,2,44,1,6,-1,56,-1,37,-1,37,0,10,68,52,93,43,38,19,21,7,28,53,,,,,,NM,,,56.0
2018-12-31,County,NM New Mexico,NM Luna County 35029,9,Housing Choice Vouchers,3,,Luna County,35029,355,85,302,100,6,27,2.2,673,243,449,10193,4574,17,43,25,8,7,28,9,62,23,98,76,7,41,79,43,33,59,19,12,42,21,25,1,76,5,-1,0,24,0,70,0,71,0,4,60,89,85,28,39,33,24,33,66,55,,,,,,NM,,,24.0
2018-12-31,County,NM New Mexico,NM McKinley County 35031,9,Housing Choice Vouchers,3,,McKinley County,35031,63,57,37,100,5,27,2.0,75,333,404,12075,5957,6,33,42,11,8,16,-1,81,29,92,51,3,35,35,27,39,44,28,3,49,24,24,-1,70,3,51,3,30,-1,14,-1,14,0,6,47,78,113,46,32,22,14,28,73,60,,,,,,NM,,,30.0
2018-12-31,County,NM New Mexico,NM Mora County 35033,9,Housing Choice Vouchers,3,,Mora County,35033,24,77,21,100,6,14,2.0,42,250,715,10380,5190,5,55,20,20,-1,10,-1,86,25,100,76,10,29,76,33,50,100,45,5,48,14,33,-1,86,-1,-1,-1,14,-1,86,-1,86,0,10,97,100,120,10,57,33,43,20,82,67,,,,,,NM,,,14.0
2018-12-31,County,NM New Mexico,NM Otero County 35035,9,Housing Choice Vouchers,3,,Otero County,35035,269,51,139,100,6,5,2.2,308,297,520,10950,4942,9,47,28,5,11,21,5,68,25,96,73,6,37,85,39,46,92,29,2,42,28,28,1,63,20,4,1,37,1,36,1,38,1,10,88,96,165,15,40,45,44,20,44,67,,,,,,NM,,,37.0
2018-12-31,County,NM New Mexico,NM Quay County 35037,9,Housing Choice Vouchers,3,,Quay County,35037,140,52,68,93,6,19,1.9,128,299,344,11593,6159,6,49,24,13,7,35,1,62,28,97,65,4,40,90,41,41,79,29,4,47,21,28,1,68,3,1,-1,32,-1,63,-1,63,1,6,93,96,156,10,50,40,51,27,59,78,,,,,,NM,,,32.0
2018-12-31,County,NM New Mexico,NM Rio Arriba County 35039,9,Housing Choice Vouchers,3,,Rio Arriba County,35039,79,76,67,100,5,10,1.9,130,246,619,8881,4577,25,42,22,9,1,13,3,84,21,99,81,1,34,67,30,58,86,38,-1,57,22,21,1,91,-1,-1,-1,9,-1,88,3,91,1,19,73,76,119,28,37,34,30,30,89,55,,,,,,NM,,,9.0
2018-12-31,County,NM New Mexico,NM Roosevelt County 35041,9,Housing Choice Vouchers,3,,Roosevelt County,35041,152,51,78,100,7,3,1.8,139,300,521,11793,6618,4,51,25,13,8,17,1,81,28,97,71,4,22,65,21,71,70,42,1,23,37,38,4,63,4,4,1,37,1,53,-1,54,3,2,117,50,181,47,26,27,23,30,45,67,,,,,,NM,,,37.0
2018-12-31,County,NM New Mexico,NM Sandoval County 35043,9,Housing Choice Vouchers,3,,Sandoval County,35043,316,84,285,100,5,4,2.6,751,393,664,15687,5953,7,23,25,23,23,25,1,72,28,94,61,9,40,81,43,45,69,28,2,49,18,31,4,76,7,5,0,24,0,64,0,65,1,46,101,96,124,20,34,46,25,15,47,76,,,,,,NM,,,24.0
