sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Churchill County,32001,-1,-1,95,-1,3,33,2.4,226,307,441,12.2,5.2,13,36,26,13,13,29,4,62,24,98,74,15,41,78,46,40,33,17,6,60,18,16,0,24,8,9,0,6,14,43,89,128,24,47,28,14,22,11,37,-1,-1,-1,-1,-1,NV,-1,-1,76.0
9,3,VO,-1,Clark County,32003,-1,-1,8928,-1,5,26,2.8,25079,339,727,14.0,5.0,17,30,19,13,22,32,13,50,25,91,66,14,47,88,59,29,62,17,6,61,14,19,2,76,64,1,1,10,12,54,98,146,18,32,50,20,46,13,45,-1,-1,-1,-1,-1,NV,-1,-1,24.0
9,3,VO,-1,Douglas County,32005,-1,-1,304,-1,3,21,2.5,751,373,578,15.0,6.1,12,27,25,15,21,35,1,59,25,94,69,21,36,82,52,38,48,16,4,59,20,17,3,13,3,3,0,7,12,47,97,131,14,47,38,26,12,9,55,-1,-1,-1,-1,-1,NV,-1,-1,87.0
9,3,VO,-1,Elko County,32007,-1,-1,57,-1,3,19,2.0,113,287,450,11.4,5.8,5,44,30,16,5,19,0,77,22,98,81,7,35,81,42,65,67,34,11,46,28,16,2,16,0,5,0,11,15,36,88,112,28,40,32,28,27,8,39,-1,-1,-1,-1,-1,NV,-1,-1,84.0
9,3,VO,-1,Esmeralda County,32009,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,NV,-1,-1,
9,3,VO,-1,Eureka County,32011,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,NV,-1,-1,
9,3,VO,-1,Humboldt County,32013,-1,-1,34,-1,4,18,1.9,66,254,353,10.0,5.2,21,44,12,15,9,26,3,68,20,100,82,9,29,65,35,46,70,27,0,50,21,29,0,18,0,15,0,3,63,61,88,120,26,29,44,44,22,7,35,-1,-1,-1,-1,-1,NV,-1,-1,82.0
9,3,VO,-1,Lander County,32015,-1,-1,10,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,NV,-1,-1,
9,3,VO,-1,Lincoln County,32017,-1,-1,5,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,NV,-1,-1,
9,3,VO,-1,Lyon County,32019,-1,-1,178,-1,3,34,2.6,466,336,497,13.9,5.4,11,31,24,14,20,28,2,65,26,94,60,21,35,76,48,43,27,17,3,56,21,21,3,17,6,2,0,10,11,45,99,148,12,43,44,31,16,10,45,-1,-1,-1,-1,-1,NV,-1,-1,83.0
