gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,NV Nevada,NV Carson City 32510,9,Housing Choice Vouchers,3,A,Carson City,32510,590.0,100,531,90,5.10180995475109,2,1.86440677966101,1095.68181818181,304.203389830508,519.998109640831,11696.6459510358,6273.65555555558,12,31,32,15,9,14,11,74,22,100,79,4,28,75,28,50,10,20,2,43,23,33,3,17,2,4,0,11,15.0703703703704,63.1101067168863,94,109.881763527054,48,34,18,19,11,23,44,A,A,A,-1,-1,NV,-1,A,83.0
County,NV Nevada,NV Churchill County 32001,9,Housing Choice Vouchers,3,A,Churchill County,32001,96.0,100,86,90,4.37575757575758,2,2.39534883720931,227.990358126722,315.232558139535,540.265060240965,12573.2209302326,5249.0145631068,8,36,30,19,7,22,8,65,23,95,83,5,48,71,43,46,5,18,5,56,17,22,1,22,2,8,1,12,16.2,61.2573643410854,95,165.69512195122,22,41,37,23,11,22,37,A,A,A,-1,-1,NV,-1,A,78.0
County,NV Nevada,NV Clark County 32003,9,Housing Choice Vouchers,3,A,Clark County,32003,10006.0,97,9934,100,5.30758314726169,6,2.81125086774166,27252.0150063605,315.471754935829,904.074311943052,12564.5367919685,4469.37586970381,20,28,20,13,19,22,20,56,22,95,74,5,54,85,55,29,72,18,3,61,17,19,1,77,65,1,2,11,21.4736695447106,77.5090883338473,95,186.451875936086,14,30,56,30,11,42,51,A,A,A,-1,-1,NV,-1,A,23.0
County,NV Nevada,NV Douglas County 32005,9,Housing Choice Vouchers,3,A,Douglas County,32005,348.0,100,313,90,4.67853333333331,2,2.28753993610222,792.432506887052,369.135048231509,635.819354838706,13533.5079872204,5916.18435754191,10,34,22,16,19,24,9,64,22,98,77,9,43,80,45,35,17,14,3,56,21,20,2,16,3,3,0,10,23.4533333333333,62.8271565495204,95,142.919191919191,15,41,44,37,9,13,60,A,A,A,-1,-1,NV,-1,A,84.0
County,NV Nevada,NV Elko County 32007,9,Housing Choice Vouchers,3,A,Elko County,32007,28.0,100,25,90,4.04583333333333,0,1.68,46.4834710743801,314.28,495.36,10929.92,6505.90476190476,12,40,32,12,4,12,12,72,19,100,88,0,20,64,20,72,14,33,4,40,28,28,0,16,0,4,4,8,-1.0,86.2693333333333,88,119.363636363636,40,36,24,36,10,30,41,A,A,A,-1,-1,NV,-1,A,84.0
County,NV Nevada,NV Esmeralda County 32009,9,Housing Choice Vouchers,3,A,Esmeralda County,32009,1.0,100,1,90,4.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,16000.0,-4,-4,-4,-4,-4,-4,-4,-4,35,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,73.1,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,100.0
County,NV Nevada,NV Eureka County 32011,9,Housing Choice Vouchers,3,A,Eureka County,32011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,
County,NV Nevada,NV Humboldt County 32013,9,Housing Choice Vouchers,3,A,Humboldt County,32013,20.0,100,18,90,5.39285714285714,0,1.66666666666667,33.202479338843,312.166666666667,364.333333333333,10872.8333333333,6523.7,0,67,22,6,6,11,6,78,20,100,94,0,33,78,33,67,33,30,0,22,28,50,0,22,0,22,0,6,-1.0,109.687037037037,94,153.941176470588,22,39,39,56,9,26,40,A,A,A,-1,-1,NV,-1,A,78.0
County,NV Nevada,NV Lander County 32015,9,Housing Choice Vouchers,3,A,Lander County,32015,13.0,100,12,90,5.18148148148148,0,1.0,13.2809917355372,334.75,300.416666666667,13126.0,13126.0,0,25,42,33,0,8,0,92,28,100,67,0,0,83,0,100,27,33,0,0,8,92,25,25,0,8,0,17,-1.0,43.9388888888889,100,105.083333333333,83,17,0,17,11,28,29,A,A,A,-1,-1,NV,-1,A,75.0
County,NV Nevada,NV Lincoln County 32017,9,Housing Choice Vouchers,3,A,Lincoln County,32017,4.0,100,4,90,5.825,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5539.2,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,64.7833333333333,-4,-4.0,-4,-4,-4,-4,18,12,50,A,A,A,-1,-1,NV,-1,A,100.0
