Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2019-12-31,County,NV Nevada,NV Churchill County 32001,9,Housing Choice Vouchers,3,,Churchill County,32001,73,82,66,100,6,11,1.8,121,306,680,12355,6739,5,38,31,19,8,12,3,82,22,100,79,6,20,64,21,64,82,43,2,38,27,33,2,15,5,3,2,85,-1,6,-1,6,0,20,92,97,131,29,53,18,36,19,28,60,,,,,,NV,,,85.0
2019-12-31,County,NV Nevada,NV Clark County 32003,9,Housing Choice Vouchers,3,,Clark County,32003,11320,100,11539,100,5,7,2.5,29387,417,851,14341,5631,13,28,22,13,24,27,2,65,24,92,71,3,45,80,45,35,80,23,1,52,23,24,2,81,69,0,2,19,1,8,0,10,1,41,130,89,150,21,33,46,30,21,63,50,,,,,,NV,,,19.0
2019-12-31,County,NV Nevada,NV Douglas County 32005,9,Housing Choice Vouchers,3,,Douglas County,32005,234,82,211,100,6,6,2.1,437,341,680,14042,6780,9,26,27,16,22,19,0,74,24,97,70,9,26,77,28,39,52,25,-1,36,22,42,2,18,3,4,-1,82,-1,11,0,11,1,13,108,94,110,18,50,32,41,11,19,66,,,,,,NV,,,82.0
2019-12-31,County,NV Nevada,NV Elko County 32007,9,Housing Choice Vouchers,3,,Elko County,32007,53,82,48,100,5,25,1.9,92,231,680,9436,4923,12,46,17,20,5,10,2,73,14,100,98,-1,38,75,35,51,69,32,2,52,19,27,-1,31,19,2,2,69,-1,8,-1,8,4,12,58,98,81,42,38,21,17,13,36,55,,,,,,NV,,,69.0
2019-12-31,County,NV Nevada,NV Esmeralda County 32009,9,Housing Choice Vouchers,3,,Esmeralda County,32009,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NV,,,
2019-12-31,County,NV Nevada,NV Humboldt County 32013,9,Housing Choice Vouchers,3,,Humboldt County,32013,21,82,19,100,5,21,1.2,23,266,680,11285,9322,11,33,28,22,6,-1,-1,95,20,100,89,-1,5,74,5,67,46,43,-1,16,16,68,-1,26,5,11,5,74,-1,5,-1,5,0,17,99,100,78,58,32,11,42,16,37,54,,,,,,NV,,,74.0
2019-12-31,County,NV Nevada,NV Lander County 32015,9,Housing Choice Vouchers,3,,Lander County,32015,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NV,,,
2019-12-31,County,NV Nevada,NV Lincoln County 32017,9,Housing Choice Vouchers,3,,Lincoln County,32017,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NV,,,
2019-12-31,County,NV Nevada,NV Lyon County 32019,9,Housing Choice Vouchers,3,,Lyon County,32019,174,82,157,100,5,17,2.3,365,340,680,12991,5588,10,25,35,12,19,15,-1,77,23,98,76,14,23,78,31,53,75,30,1,44,22,33,1,20,7,3,1,80,-1,8,-1,8,3,12,88,95,131,17,50,34,42,13,23,71,,,,,,NV,,,80.0
2019-12-31,County,NV Nevada,NV Mineral County 32021,9,Housing Choice Vouchers,3,,Mineral County,32021,9,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NV,,,
2019-12-31,County,NV Nevada,NV Nye County 32023,9,Housing Choice Vouchers,3,,Nye County,32023,335,82,302,100,6,19,2.4,723,290,680,11064,4621,18,32,22,16,12,19,2,72,19,98,81,10,35,77,41,38,76,26,2,45,25,28,2,31,20,1,2,69,0,6,1,7,2,11,74,82,131,19,42,40,35,18,20,54,,,,,,NV,,,69.0
2019-12-31,County,NV Nevada,NV Pershing County 32027,9,Housing Choice Vouchers,3,,Pershing County,32027,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NV,,,
2019-12-31,County,NV Nevada,NV Storey County 32029,9,Housing Choice Vouchers,3,,Storey County,32029,4,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NV,,,
2019-12-31,County,NV Nevada,NV Washoe County 32031,9,Housing Choice Vouchers,3,,Washoe County,32031,2797,84,2425,100,5,12,1.7,4200,373,571,14505,8375,6,27,29,16,21,18,1,77,24,96,74,3,22,67,22,51,63,36,1,29,24,46,4,34,14,1,4,66,1,14,1,15,1,-1,252,83,70,56,28,17,19,21,44,37,,,,,,NV,,,66.0
