sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Albany County,36001,-1,-1,3014,-1,5,17,2.2,6643,343,430,13.2,6.0,5,37,26,16,16,32,6,62,24,98,73,11,36,79,45,45,50,25,3,56,17,24,3,53,44,0,0,8,21,55,82,123,39,28,34,13,38,22,22,-1,-1,-1,-1,-1,NY,-1,-1,47.0
9,3,VO,-1,Allegany County,36003,-1,-1,201,-1,5,23,1.9,375,260,271,10.0,5.4,7,60,24,4,4,14,8,76,21,82,65,14,15,70,25,75,95,46,3,53,24,19,1,5,4,0,0,1,19,52,86,122,34,43,22,30,3,15,57,-1,-1,-1,-1,-1,NY,-1,-1,95.0
9,3,VO,-1,Bronx County,36005,-1,-1,42478,-1,6,5,2.5,107914,333,767,13.7,5.4,5,41,22,14,18,36,21,43,23,95,79,19,38,87,55,22,68,15,3,62,19,16,2,96,34,0,0,62,62,101,90,63,33,42,26,12,89,35,2,-1,-1,-1,-1,-1,NY,-1,-1,4.0
9,3,VO,-1,Broome County,36007,-1,-1,784,-1,5,17,2.0,1562,304,294,11.4,5.7,5,48,27,15,6,22,7,69,26,99,74,9,28,74,32,59,65,34,3,49,23,25,3,24,18,0,0,5,19,65,89,105,42,32,26,20,15,22,34,-1,-1,-1,-1,-1,NY,-1,-1,76.0
9,3,VO,-1,Cattaraugus County,36009,-1,-1,451,-1,4,24,2.2,996,310,273,11.3,5.1,4,49,27,15,5,33,3,64,25,88,60,14,33,76,42,53,79,28,6,61,18,16,1,12,5,4,0,2,9,46,92,135,33,37,30,20,12,18,52,-1,-1,-1,-1,-1,NY,-1,-1,88.0
9,3,VO,-1,Cayuga County,36011,-1,-1,821,-1,4,27,2.3,1878,303,355,11.7,5.2,12,39,26,14,10,32,6,59,24,96,73,17,31,77,43,45,63,25,6,56,21,17,1,17,14,0,0,3,10,61,69,103,28,38,35,21,10,17,41,-1,-1,-1,-1,-1,NY,-1,-1,83.0
9,3,VO,-1,Chautauqua County,36013,-1,-1,1139,-1,4,20,2.2,2499,281,266,10.6,4.8,5,52,28,12,3,21,13,65,26,99,75,13,31,75,40,55,92,32,6,58,19,17,1,36,9,2,0,25,21,61,88,110,37,36,27,13,14,20,43,-1,-1,-1,-1,-1,NY,-1,-1,64.0
9,3,VO,-1,Chemung County,36015,-1,-1,755,-1,4,23,2.1,1617,275,319,10.6,4.9,10,47,26,11,6,28,8,62,24,99,78,13,32,83,42,47,70,26,8,58,20,15,1,26,21,1,1,3,17,56,62,77,31,40,29,24,13,22,43,-1,-1,-1,-1,-1,NY,-1,-1,74.0
9,3,VO,-1,Chenango County,36017,-1,-1,329,-1,4,30,2.1,706,242,362,10.2,4.8,19,46,21,10,4,24,4,64,21,91,71,16,27,73,36,50,58,27,10,58,21,11,1,5,2,0,0,3,5,50,79,112,47,29,24,7,3,17,44,-1,-1,-1,-1,-1,NY,-1,-1,95.0
9,3,VO,-1,Clinton County,36019,-1,-1,561,-1,4,22,2.1,1178,337,340,12.0,5.7,5,43,29,14,9,21,6,72,24,86,64,16,27,73,35,60,79,34,6,58,18,18,1,3,2,0,0,1,16,52,94,126,36,39,26,18,5,13,39,-1,-1,-1,-1,-1,NY,-1,-1,97.0
9,3,VO,-1,Columbia County,36021,-1,-1,328,-1,5,18,2.2,710,366,385,12.7,5.9,5,41,27,16,12,27,4,67,22,83,58,14,26,79,36,45,47,24,3,50,19,27,4,22,14,0,0,8,38,64,95,123,38,40,21,11,16,13,32,-1,-1,-1,-1,-1,NY,-1,-1,78.0
