gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,NY New York,NY Albany County 36001,9,Housing Choice Vouchers,3,A,Albany County,36001,3938.0,83,3299,98,5.29743548910035,8,2.12605156485469,6984.13577953878,352.231554235141,532.084729261686,13754.9489249895,6469.71557622105,8,33,24,15,19,29,5,66,23,98,77,2,40,75,40,44,63,27,2,53,21,24,3,60,52,0,1,10,15.6898603064229,68.8981997576815,83,135.56359664018,41,28,32,15,23,41,22,A,A,A,-1,-1,NY,-1,A,40.0
County,NY New York,NY Allegany County 36003,9,Housing Choice Vouchers,3,A,Allegany County,36003,206.0,94,191,99,5.66140410387334,5,1.68603906530869,326.68704339162,268.177617403895,348.457564296682,10749.4890371721,6375.58717253332,6,57,25,7,5,9,8,81,25,97,75,2,21,69,18,82,84,53,0,45,35,20,0,4,4,0,0,0,23.769696969697,68.6533506096274,79,158.343996696306,35,41,24,34,15,3,59,A,A,A,-1,-1,NY,-1,A,96.0
County,NY New York,NY Bronx County 36005,9,Housing Choice Vouchers,3,A,Bronx County,36005,53434.0,99,50428,94,6.21576616962295,2,2.44645475830152,129915.618453277,370.134746800604,952.975537720803,15423.7647753208,6304.53709515107,3,36,21,16,24,37,12,50,23,95,78,4,47,86,49,27,47,16,1,58,22,19,1,97,43,1,1,67,32.0569652348789,107.173161777165,91,72.6366081836324,33,41,26,13,37,93,2,A,A,A,-1,-1,NY,-1,A,3.0
County,NY New York,NY Broome County 36007,9,Housing Choice Vouchers,3,A,Broome County,36007,1092.0,73,932,97,4.93269102900696,25,1.89372198622536,1516.5034934484,326.029835094428,403.810704863634,13252.693704848,6998.22561138646,3,40,26,20,12,18,4,77,28,96,68,5,26,74,27,61,56,36,2,47,22,29,3,24,19,0,1,6,10.9505054667794,64.5892899141728,91,108.342920421553,44,34,22,20,22,15,35,A,A,A,-1,-1,NY,-1,A,76.0
County,NY New York,NY Cattaraugus County 36009,9,Housing Choice Vouchers,3,A,Cattaraugus County,36009,556.0,89,488,99,4.95880283152545,12,2.16579879119885,1070.12249571102,300.778912034305,391.535955027713,11715.5117443328,5409.32601492859,8,44,27,12,9,20,8,70,26,97,71,10,33,70,36,58,88,32,6,56,24,15,1,9,5,2,0,2,17.1447615464089,55.7006888690366,91,166.664113925462,28,39,33,26,18,12,52,A,A,A,-1,-1,NY,-1,A,91.0
County,NY New York,NY Cayuga County 36011,9,Housing Choice Vouchers,3,A,Cayuga County,36011,866.0,94,807,99,4.79701650417802,5,2.35443168514306,1918.10545187222,300.267621420302,453.417698229284,11858.6385506059,5036.73078536798,13,36,26,14,12,25,12,60,24,97,73,4,43,79,43,44,69,25,3,57,22,19,1,19,15,1,0,4,28.0189470984797,79.5746208631098,73,163.438028243644,26,36,38,23,18,10,43,A,A,A,-1,-1,NY,-1,A,81.0
County,NY New York,NY Chautauqua County 36013,9,Housing Choice Vouchers,3,A,Chautauqua County,36013,1228.0,94,1137,99,4.35193381292429,5,2.31457063316104,2661.22302740397,281.965144621079,368.290627286531,11298.3854181326,4881.41742414757,7,50,24,13,6,13,18,67,25,99,77,7,36,76,40,58,96,32,2,57,21,20,1,37,9,1,0,27,29.1477303322086,77.8394587871341,87,135.487249620377,33,36,31,17,20,15,46,A,A,A,-1,-1,NY,-1,A,63.0
County,NY New York,NY Chemung County 36015,9,Housing Choice Vouchers,3,A,Chemung County,36015,898.0,93,819,98,4.45478570161486,5,2.11395179354986,1767.1765095663,280.337769366555,423.908646843638,11214.0424990545,5304.7768323152,12,41,25,14,8,18,14,65,24,98,75,7,36,80,41,51,79,31,4,55,22,19,1,29,24,1,1,4,22.2539095270151,65.7897944140314,63,125.918571459936,30,42,29,24,23,14,43,A,A,A,-1,-1,NY,-1,A,71.0
County,NY New York,NY Chenango County 36017,9,Housing Choice Vouchers,3,A,Chenango County,36017,378.0,81,309,99,5.21878882755153,6,2.16682743325736,665.424093513371,258.209537586846,463.678884243084,10971.4725110216,5063.38084086761,13,43,24,11,9,19,11,69,25,96,73,5,36,72,34,56,84,33,3,56,24,16,2,5,2,0,0,3,21.0960366259944,66.1901396391921,82,143.430348768689,46,31,23,6,17,3,45,A,A,A,-1,-1,NY,-1,A,95.0
County,NY New York,NY Clinton County 36019,9,Housing Choice Vouchers,3,A,Clinton County,36019,622.0,92,574,99,6.16659951346777,10,1.92137008994213,1103.45457529958,340.218532980491,436.225459945909,12838.1421544822,6681.76434185507,3,41,28,18,10,16,4,79,27,97,73,7,27,72,28,65,89,42,3,53,23,21,1,5,2,1,0,2,19.9184946790899,61.7473074463109,96,149.529014923902,35,39,26,27,16,6,46,A,A,A,-1,-1,NY,-1,A,95.0
