gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,NY New York,NY Albany County 36001,9,Housing Choice Vouchers,3,,Albany County,36001,4231,76,3157,98,5,11,2.1,6628,380,592,14646,6976,5,31,24,16,23,27,4,66,23,97,75,3,38,74,37,46,65,28,2,49,23,25,3,58,47,0,1,42,3,7,0,11,1,20,90,84,120,40,28,32,17,27,47,26,,,,,,NY,,,42.0
County,NY New York,NY Allegany County 36003,9,Housing Choice Vouchers,3,,Allegany County,36003,201,86,174,100,5,11,1.5,267,293,920,10934,7126,4,57,25,10,4,10,6,82,26,98,79,1,16,66,14,83,91,60,1,35,44,20,-1,6,4,-1,-1,94,1,1,-1,2,0,27,84,76,161,44,34,22,34,19,4,67,,,,,,NY,,,94.0
County,NY New York,NY Bronx County 36005,9,Housing Choice Vouchers,3,,Bronx County,36005,57618,89,50243,98,6,1,2.4,118637,417,1045,15830,6704,6,35,19,15,25,36,9,54,22,95,79,3,40,85,40,30,82,24,1,49,27,23,2,69,39,0,1,31,5,24,0,29,1,22,141,86,72,31,41,27,17,35,95,3,,,,,,NY,,,31.0
County,NY New York,NY Broome County 36007,9,Housing Choice Vouchers,3,,Broome County,36007,1374,68,926,99,5,11,1.9,1794,351,413,13094,6759,3,39,29,16,13,19,4,74,27,97,71,5,26,73,28,57,65,35,3,43,26,29,3,33,24,0,1,67,2,5,-1,8,0,20,87,90,100,46,31,23,20,27,22,43,,,,,,NY,,,67.0
County,NY New York,NY Cattaraugus County 36009,9,Housing Choice Vouchers,3,,Cattaraugus County,36009,573,83,492,100,4,18,2.2,1070,342,778,12387,5696,7,41,22,18,11,26,3,68,27,97,67,9,29,68,32,55,85,32,4,51,28,16,1,11,6,2,0,89,0,2,-1,2,2,17,71,89,181,32,35,33,26,22,16,61,,,,,,NY,,,89.0
County,NY New York,NY Cayuga County 36011,9,Housing Choice Vouchers,3,,Cayuga County,36011,998,90,903,100,5,23,2.3,2036,346,716,13138,5827,7,34,26,18,16,29,6,61,25,96,69,4,43,76,41,43,68,25,5,53,24,19,1,20,16,1,-1,80,1,3,0,4,0,11,83,72,142,28,37,35,22,20,17,47,,,,,,NY,,,80.0
County,NY New York,NY Chautauqua County 36013,9,Housing Choice Vouchers,3,,Chautauqua County,36013,1153,86,1020,100,5,10,2.2,2293,322,784,12159,5409,5,46,25,16,8,16,11,72,26,98,75,7,34,76,37,59,97,34,2,53,25,19,1,44,10,1,0,56,1,32,0,33,1,27,96,86,139,33,34,33,20,28,21,54,,,,,,NY,,,56.0
County,NY New York,NY Chemung County 36015,9,Housing Choice Vouchers,3,,Chemung County,36015,894,85,762,100,4,8,2.1,1595,315,872,11593,5538,12,37,28,13,10,24,3,71,24,98,77,6,33,78,37,50,78,32,4,47,27,22,2,31,25,0,1,69,1,3,0,5,3,25,86,66,131,31,39,30,28,31,19,50,,,,,,NY,,,69.0
County,NY New York,NY Chenango County 36017,9,Housing Choice Vouchers,3,,Chenango County,36017,374,78,290,100,5,11,2.1,615,288,711,11499,5422,9,42,25,14,11,24,6,66,25,95,72,4,37,72,34,52,85,32,5,53,24,18,2,6,2,0,0,94,-1,3,-1,3,0,16,86,77,152,44,32,23,9,23,6,51,,,,,,NY,,,94.0
County,NY New York,NY Clinton County 36019,9,Housing Choice Vouchers,3,,Clinton County,36019,604,91,560,100,4,12,1.9,1059,384,763,14037,7423,3,36,27,17,18,20,2,77,27,99,69,8,24,71,27,67,92,44,3,48,27,23,1,5,3,0,-1,95,0,2,-1,2,0,19,79,94,143,35,42,23,27,17,8,54,,,,,,NY,,,95.0
