Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
12/31/2023,County,,36XXX,9,Housing Choice Vouchers,3,,Missing County,36XXX,680,81,558,100,6,-1,2.4,1328,5,936,18908,7945,6,11,34,11,37,29,8,54,-1,-1,-1,1,48,82,46,38,80,25,3,57,21,18,1,78,59,0,1,22,3,14,0,17,4,-1,67,1,126,88,5,3,2,-1,-1,-1,,,,,,NY,,,22.0
12/31/2023,County,NY New York,NY Albany County 36001,9,Housing Choice Vouchers,3,,Albany County,36001,5200,68,3585,100,5,10,1.9,6633,473,742,19198,10376,6,5,36,17,36,26,2,69,22,97,78,1,30,72,29,44,64,32,1,40,23,36,3,67,52,0,1,33,4,9,1,14,2,31,98,78,155,47,26,26,19,25,58,24,,,,,,NY,,,33.0
12/31/2023,County,NY New York,NY Allegany County 36003,9,Housing Choice Vouchers,3,,Allegany County,36003,179,91,168,100,5,4,1.4,242,340,1411,13665,9486,4,5,63,13,15,7,5,86,23,100,82,2,13,61,13,74,96,64,1,27,27,44,1,5,3,-1,-1,95,1,1,-1,2,1,18,100,73,157,60,29,11,21,17,7,70,,,,,,NY,,,95.0
12/31/2023,County,NY New York,NY Bronx County 36005,9,Housing Choice Vouchers,3,,Bronx County,36005,64626,88,52713,93,5,11,2.0,104334,520,1385,20943,10581,7,10,34,12,38,33,10,54,19,96,83,2,26,81,26,28,69,29,2,33,27,39,3,98,31,0,1,2,25,38,3,66,22,18,178,79,121,36,38,26,26,32,95,4,,,,,,NY,,,2.0
12/31/2023,County,NY New York,NY Broome County 36007,9,Housing Choice Vouchers,3,,Broome County,36007,1508,69,1065,100,5,19,1.9,2029,408,657,16338,8575,4,6,42,21,28,18,4,72,26,95,69,2,30,75,29,51,70,36,0,40,22,38,5,47,34,0,0,53,4,8,0,12,0,25,95,90,110,45,29,26,21,27,31,42,,,,,,NY,,,53.0
12/31/2023,County,NY New York,NY Cattaraugus County 36009,9,Housing Choice Vouchers,3,,Cattaraugus County,36009,558,88,495,100,5,12,1.8,892,368,1105,13962,7748,9,9,47,16,19,15,9,70,22,98,79,4,24,66,25,49,82,38,2,45,23,30,1,15,7,3,1,85,1,2,0,3,4,5,90,85,177,41,33,25,28,26,23,56,,,,,,NY,,,85.0
12/31/2023,County,NY New York,NY Cayuga County 36011,9,Housing Choice Vouchers,3,,Cayuga County,36011,930,87,877,100,6,11,2.0,1766,389,1050,15653,7773,7,10,42,16,25,21,10,65,22,97,78,2,36,71,35,47,76,32,2,47,23,28,1,23,17,0,0,77,1,4,0,5,2,26,97,67,139,39,32,28,19,21,21,46,,,,,,NY,,,77.0
12/31/2023,County,NY New York,NY Chautauqua County 36013,9,Housing Choice Vouchers,3,,Chautauqua County,36013,1155,91,1097,100,5,14,2.0,2234,363,1154,14150,6948,9,9,49,15,18,17,12,69,22,99,83,5,33,75,35,51,89,35,2,47,26,25,1,51,10,1,0,49,2,38,0,40,3,16,96,82,167,37,35,28,23,28,29,52,,,,,,NY,,,49.0
12/31/2023,County,NY New York,NY Chemung County 36015,9,Housing Choice Vouchers,3,,Chemung County,36015,1166,89,1068,100,5,13,2.0,2092,368,1350,14341,7322,6,8,51,14,22,18,5,69,22,97,80,4,28,71,29,55,89,37,2,46,23,30,1,37,30,1,0,63,2,3,0,6,4,19,87,77,165,40,33,27,24,28,26,44,,,,,,NY,,,63.0
12/31/2023,County,NY New York,NY Chenango County 36017,9,Housing Choice Vouchers,3,,Chenango County,36017,361,73,273,100,6,18,1.8,487,339,994,13836,7756,7,7,50,16,20,17,6,67,22,96,79,4,27,69,26,53,88,44,2,46,24,28,1,9,3,0,-1,91,0,5,-1,5,1,12,88,66,160,53,30,16,13,21,12,43,,,,,,NY,,,91.0
