Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,OH Ohio,OH Adams County 39001,9,Housing Choice Vouchers,3,,Adams County,39001,276,70,206,100,5,1,2.0,417,309,375,11145,5505,12,43,24,13,8,12,0,83,23,98,77,11,21,72,25,61,75,39,1,42,32,25,1,0,-1,0,-1,100,-1,-1,-1,0,0,6,88,99,208,14,48,39,47,29,3,65,,,,,,OH,,,100.0
2018-12-31,County,OH Ohio,OH Allen County 39003,9,Housing Choice Vouchers,3,,Allen County,39003,989,98,982,100,6,20,2.4,2352,296,461,11455,4783,13,33,21,18,15,34,1,53,22,97,74,2,53,85,53,31,78,18,9,58,20,13,-1,70,68,0,0,30,0,1,0,1,1,10,83,97,159,15,40,45,32,27,38,63,,,,,,OH,,,30.0
2018-12-31,County,OH Ohio,OH Ashland County 39005,9,Housing Choice Vouchers,3,,Ashland County,39005,251,98,246,100,5,20,2.0,487,305,402,11429,5773,11,34,29,16,11,15,0,77,24,97,73,5,29,77,30,58,72,36,2,47,28,23,2,7,4,-1,1,93,-1,2,-1,2,0,15,77,90,154,37,32,31,26,15,4,67,,,,,,OH,,,93.0
2018-12-31,County,OH Ohio,OH Ashtabula County 39007,9,Housing Choice Vouchers,3,,Ashtabula County,39007,584,92,603,100,5,22,2.3,1379,334,525,13004,5686,5,36,25,18,16,29,1,65,26,97,68,5,39,81,41,49,61,25,4,54,22,19,1,30,18,0,0,70,1,11,-1,12,3,21,87,98,166,16,38,46,40,29,19,66,,,,,,OH,,,70.0
2018-12-31,County,OH Ohio,OH Athens County 39009,9,Housing Choice Vouchers,3,,Athens County,39009,822,97,806,100,5,13,1.7,1343,267,431,10428,6258,12,51,21,11,5,8,3,89,22,99,81,8,16,61,18,85,87,55,3,40,29,27,1,4,2,1,0,96,-1,1,0,1,1,29,88,80,129,26,47,27,46,28,7,61,,,,,,OH,,,96.0
2018-12-31,County,OH Ohio,OH Auglaize County 39011,9,Housing Choice Vouchers,3,,Auglaize County,39011,32,98,32,100,7,13,1.6,52,297,445,11204,6894,9,56,22,6,6,22,3,75,21,100,91,3,19,84,22,53,69,37,3,31,25,41,-1,9,9,-1,-1,91,-1,-1,-1,0,0,19,89,91,153,56,28,16,25,10,3,78,,,,,,OH,,,91.0
2018-12-31,County,OH Ohio,OH Belmont County 39013,9,Housing Choice Vouchers,3,,Belmont County,39013,275,90,244,99,5,13,2.0,478,290,425,10742,5484,6,42,32,13,7,20,1,70,22,98,78,3,33,77,32,46,50,26,3,41,25,30,2,12,10,-1,-1,88,-1,2,-1,2,1,26,91,90,157,22,46,32,37,18,6,72,,,,,,OH,,,88.0
2018-12-31,County,OH Ohio,OH Brown County 39015,9,Housing Choice Vouchers,3,,Brown County,39015,39,96,47,100,6,6,2.0,96,316,444,12555,6147,4,43,21,26,6,17,-1,83,26,100,66,6,32,81,32,62,83,36,-1,40,21,38,-1,2,2,-1,-1,98,-1,-1,-1,0,0,14,73,100,126,34,36,30,26,22,3,70,,,,,,OH,,,98.0
2018-12-31,County,OH Ohio,OH Butler County 39017,9,Housing Choice Vouchers,3,,Butler County,39017,2516,81,2102,100,5,12,2.6,5381,332,602,13266,5182,9,30,22,14,24,30,1,58,20,97,79,3,52,86,53,36,85,22,3,60,20,17,1,51,48,-1,0,49,1,2,0,3,0,15,112,93,146,14,36,50,27,26,25,62,,,,,,OH,,,49.0
2018-12-31,County,OH Ohio,OH Carroll County 39019,9,Housing Choice Vouchers,3,,Carroll County,39019,33,70,23,99,3,9,2.2,51,276,387,11055,4986,14,50,18,5,14,4,-1,91,21,100,78,4,39,70,35,56,71,31,-1,52,17,30,4,0,-1,-1,-1,100,-1,-1,-1,0,0,27,119,87,178,26,30,43,35,21,2,77,,,,,,OH,,,100.0
