sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adair County,40001,-1,-1,34,-1,5,50,2.1,73,215,298,8.7,4.0,21,53,18,6,3,29,18,53,25,97,74,6,44,76,41,48,40,27,12,53,21,15,0,50,3,44,0,3,4,41,94,137,24,32,44,29,40,20,33,-1,-1,-1,-1,-1,OK,-1,-1,50.0
9,3,VO,-1,Alfalfa County,40003,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Atoka County,40005,-1,-1,17,-1,5,35,1.8,31,200,271,7.7,4.2,24,59,18,0,0,18,18,65,24,100,76,0,35,76,35,40,71,29,6,47,6,41,12,24,24,0,0,0,10,57,100,169,12,71,18,47,22,18,51,-1,-1,-1,-1,-1,OK,-1,-1,76.0
9,3,VO,-1,Beaver County,40007,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Beckham County,40009,-1,-1,18,-1,7,44,1.7,31,207,326,8.9,5.6,11,72,11,6,0,22,11,61,26,100,72,0,33,94,33,43,75,32,22,28,28,22,0,22,0,6,0,17,2,81,100,135,22,61,17,44,12,16,59,-1,-1,-1,-1,-1,OK,-1,-1,78.0
9,3,VO,-1,Blaine County,40011,-1,-1,5,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Bryan County,40013,-1,-1,55,-1,6,51,1.7,95,247,233,9.4,5.5,5,62,24,7,2,31,7,62,29,96,65,4,31,73,33,42,83,34,4,53,22,22,4,18,2,13,4,0,13,61,100,129,36,45,18,29,20,19,46,-1,-1,-1,-1,-1,OK,-1,-1,82.0
9,3,VO,-1,Caddo County,40015,-1,-1,15,-1,6,40,1.8,27,231,268,8.8,4.9,7,73,13,7,0,7,20,73,27,93,93,0,40,93,33,56,100,44,0,27,33,40,7,47,40,0,0,7,7,66,100,178,0,67,33,60,42,20,43,-1,-1,-1,-1,-1,OK,-1,-1,53.0
9,3,VO,-1,Canadian County,40017,-1,-1,302,-1,5,31,1.9,566,282,355,11.0,5.9,11,43,25,16,5,20,13,67,26,99,67,7,30,79,35,46,68,31,8,41,14,37,4,25,16,6,0,3,13,43,99,128,43,32,25,18,19,10,66,-1,-1,-1,-1,-1,OK,-1,-1,75.0
9,3,VO,-1,Carter County,40019,-1,-1,78,-1,6,40,2.3,182,242,326,10.0,4.3,9,53,27,9,3,27,13,58,27,96,69,8,46,91,49,46,67,25,4,56,21,19,1,41,37,1,1,1,15,41,100,139,15,49,36,28,29,18,55,-1,-1,-1,-1,-1,OK,-1,-1,59.0
9,3,VO,-1,Cherokee County,40021,-1,-1,53,-1,6,19,1.8,97,234,258,9.3,5.1,11,57,28,2,2,13,8,77,28,98,68,11,25,77,32,53,88,40,0,43,25,32,6,28,6,23,0,0,7,58,92,118,43,26,30,26,45,26,39,-1,-1,-1,-1,-1,OK,-1,-1,72.0
9,3,VO,-1,Choctaw County,40023,-1,-1,131,-1,6,37,2.5,329,229,290,9.6,3.8,18,43,24,15,1,42,15,43,26,98,69,18,46,87,60,27,26,13,11,59,15,15,2,39,32,6,0,1,4,43,98,149,7,40,53,28,35,24,47,-1,-1,-1,-1,-1,OK,-1,-1,61.0
9,3,VO,-1,Cimarron County,40025,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Cleveland County,40027,-1,-1,1340,-1,6,36,2.3,3032,274,404,10.9,4.8,25,35,21,13,7,30,11,47,22,97,74,12,40,81,49,31,57,17,13,58,15,14,1,30,19,6,0,4,8,45,92,106,27,41,32,18,22,18,46,-1,-1,-1,-1,-1,OK,-1,-1,70.0
9,3,VO,-1,Coal County,40029,-1,-1,16,-1,6,25,3.4,54,226,290,9.9,2.9,19,31,38,13,0,44,6,50,25,100,63,31,50,81,69,25,0,9,0,94,6,0,0,0,0,0,0,0,22,32,100,169,13,25,63,13,26,25,62,-1,-1,-1,-1,-1,OK,-1,-1,100.0
9,3,VO,-1,Comanche County,40031,-1,-1,685,-1,6,27,2.6,1770,280,380,10.7,4.1,15,43,22,13,7,34,16,49,26,96,69,12,49,90,59,33,83,19,5,66,17,12,1,69,59,4,1,4,15,56,97,142,13,33,54,27,43,21,49,-1,-1,-1,-1,-1,OK,-1,-1,31.0
9,3,VO,-1,Cotton County,40033,-1,-1,4,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Craig County,40035,-1,-1,8,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Creek County,40037,-1,-1,252,-1,5,32,1.9,480,267,332,10.9,5.7,6,46,30,14,4,20,6,73,25,99,71,9,28,77,31,54,82,36,4,38,21,36,4,20,15,5,0,1,11,47,95,114,44,33,23,18,20,14,57,-1,-1,-1,-1,-1,OK,-1,-1,80.0
9,3,VO,-1,Custer County,40039,-1,-1,30,-1,5,13,1.7,51,253,221,10.0,5.9,3,67,17,13,0,20,7,73,29,100,67,3,33,77,37,65,70,45,3,53,10,33,3,30,23,3,0,3,8,93,100,155,30,47,23,30,31,20,51,-1,-1,-1,-1,-1,OK,-1,-1,70.0
9,3,VO,-1,Delaware County,40041,-1,-1,19,-1,5,26,1.7,32,239,247,8.8,6.2,16,53,32,0,0,5,16,68,25,100,79,5,26,95,32,50,78,38,0,42,11,47,5,11,0,11,0,0,18,103,89,136,42,32,26,37,27,16,48,-1,-1,-1,-1,-1,OK,-1,-1,89.0
9,3,VO,-1,Dewey County,40043,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Ellis County,40045,-1,-1,4,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Garfield County,40047,-1,-1,120,-1,6,24,1.7,204,261,251,10.2,6.0,8,58,23,6,7,13,8,78,27,97,70,7,25,80,32,72,72,49,2,53,25,21,1,21,19,2,0,0,10,61,93,135,31,48,22,34,15,16,63,-1,-1,-1,-1,-1,OK,-1,-1,79.0
9,3,VO,-1,Garvin County,40049,-1,-1,44,-1,6,18,2.0,87,249,257,9.1,4.6,7,64,27,0,2,25,9,66,27,98,75,9,34,86,41,39,100,33,5,48,23,25,0,16,16,0,0,0,12,52,98,143,23,50,27,30,19,18,60,-1,-1,-1,-1,-1,OK,-1,-1,84.0
9,3,VO,-1,Grady County,40051,-1,-1,41,-1,6,24,2.1,86,266,263,10.2,4.9,7,51,29,12,0,20,12,66,26,100,73,10,37,93,44,52,90,33,2,56,17,24,0,37,29,0,0,7,18,72,100,152,20,44,37,34,31,26,48,-1,-1,-1,-1,-1,OK,-1,-1,63.0
9,3,VO,-1,Grant County,40053,-1,-1,2,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Greer County,40055,-1,-1,2,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Harmon County,40057,-1,-1,4,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Harper County,40059,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
