sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adair County,40001,-1,-1,45.0,-1.0,7.0,16.0,2.3,102.0,227.0,319.0,8.9,3.9,18.0,58.0,18.0,2.0,4.0,27.0,18.0,53.0,24.0,96.0,80.0,16.0,36.0,78.0,40.0,51.0,50.0,25.0,9.0,49.0,29.0,13.0,0.0,53.0,2.0,51.0,0.0,0.0,5.0,44.0,93.0,144.0,22.0,29.0,49.0,36.0,39,19,34,-1,-1,-1,-1,-1,OK,-1,-1,47.0
9,3,VO,-1,Alfalfa County,40003,-1,-1,1.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Atoka County,40005,-1,-1,15.0,-1.0,7.0,7.0,1.7,26.0,257.0,243.0,9.6,5.5,13.0,47.0,33.0,0.0,7.0,20.0,7.0,73.0,28.0,100.0,60.0,0.0,27.0,73.0,27.0,50.0,71.0,38.0,0.0,40.0,13.0,47.0,13.0,13.0,13.0,0.0,0.0,0.0,26.0,76.0,100.0,173.0,13.0,60.0,27.0,53.0,22,18,50,-1,-1,-1,-1,-1,OK,-1,-1,87.0
9,3,VO,-1,Beaver County,40007,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Beckham County,40009,-1,-1,14.0,-1.0,10.0,0.0,1.9,26.0,265.0,310.0,10.5,5.7,0.0,64.0,14.0,21.0,0.0,29.0,7.0,64.0,31.0,93.0,64.0,0.0,29.0,93.0,29.0,50.0,75.0,35.0,7.0,43.0,21.0,29.0,0.0,14.0,0.0,0.0,0.0,14.0,-2.0,105.0,100.0,138.0,21.0,57.0,21.0,36.0,12,16,59,-1,-1,-1,-1,-1,OK,-1,-1,86.0
9,3,VO,-1,Blaine County,40011,-1,-1,3.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,OK,-1,-1,
9,3,VO,-1,Bryan County,40013,-1,-1,84.0,-1.0,8.0,40.0,1.8,150.0,214.0,288.0,8.4,4.7,14.0,58.0,23.0,5.0,0.0,25.0,12.0,63.0,25.0,98.0,73.0,7.0,29.0,79.0,33.0,38.0,75.0,30.0,6.0,52.0,18.0,24.0,4.0,19.0,6.0,10.0,2.0,1.0,11.0,53.0,100.0,122.0,35.0,46.0,19.0,25.0,21,19,51,-1,-1,-1,-1,-1,OK,-1,-1,81.0
9,3,VO,-1,Caddo County,40015,-1,-1,12.0,-1.0,10.0,0.0,1.5,18.0,239.0,267.0,8.8,5.9,0.0,83.0,17.0,0.0,0.0,0.0,0.0,100.0,27.0,100.0,92.0,0.0,25.0,92.0,17.0,71.0,100.0,56.0,0.0,25.0,33.0,42.0,8.0,50.0,42.0,0.0,0.0,8.0,29.0,96.0,100.0,176.0,0.0,75.0,25.0,67.0,38,19,45,-1,-1,-1,-1,-1,OK,-1,-1,50.0
9,3,VO,-1,Canadian County,40017,-1,-1,345.0,-1.0,7.0,19.0,2.0,676.0,284.0,384.0,11.3,5.8,9.0,43.0,26.0,15.0,7.0,21.0,12.0,66.0,26.0,98.0,68.0,7.0,34.0,80.0,38.0,45.0,71.0,30.0,6.0,47.0,14.0,33.0,3.0,28.0,18.0,5.0,1.0,4.0,14.0,53.0,99.0,128.0,39.0,33.0,27.0,17.0,20,10,67,-1,-1,-1,-1,-1,OK,-1,-1,72.0
9,3,VO,-1,Carter County,40019,-1,-1,84.0,-1.0,9.0,20.0,2.3,196.0,263.0,325.0,11.0,4.8,6.0,48.0,30.0,12.0,5.0,31.0,11.0,57.0,30.0,94.0,62.0,8.0,48.0,89.0,51.0,48.0,82.0,28.0,6.0,57.0,17.0,20.0,0.0,43.0,38.0,1.0,1.0,2.0,14.0,48.0,100.0,139.0,14.0,55.0,31.0,25.0,29,18,55,-1,-1,-1,-1,-1,OK,-1,-1,57.0
