gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,OK Oklahoma,OK Adair County 40001,9,Housing Choice Vouchers,3,A,Adair County,40001,35.0,94,34,100,5.53914520460082,18,2.64793685793891,86.656115979862,266.940958461227,303.975924910521,10252.9753065166,3872.06185667785,21,35,26,12,6,24,15,61,25,97,68,3,59,71,41,34,60,19,9,53,24,15,3,56,0,56,0,0,4.68888888888889,53.9887429460272,94,139.348920242613,21,26,53,15,29,58,46,A,A,A,-1,-1,OK,-1,A,44.0
County,OK Oklahoma,OK Alfalfa County 40003,9,Housing Choice Vouchers,3,A,Alfalfa County,40003,1.0,98,1,100,6.1,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8592.0,-4,-4,-4,-4,-4,-4,-4,-4,26,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,168.9,-4,-4.0,-4,-4,-4,-4,12,4,78,A,A,A,-1,-1,OK,-1,A,100.0
County,OK Oklahoma,OK Atoka County 40005,9,Housing Choice Vouchers,3,A,Atoka County,40005,5.0,98,5,100,4.04,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4504.44444444444,-4,-4,-4,-4,-4,-4,-4,-4,23,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,40,-4,-4,-4,-4,-1.0,70.2666666666667,-4,-4.0,-4,-4,-4,-4,22,28,56,A,A,A,-1,-1,OK,-1,A,60.0
County,OK Oklahoma,OK Beaver County 40007,9,Housing Choice Vouchers,3,A,Beaver County,40007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,
County,OK Oklahoma,OK Beckham County 40009,9,Housing Choice Vouchers,3,A,Beckham County,40009,12.0,98,12,100,7.88333333333333,8,1.5,17.1776990490397,274.0,343.0,9059.91666666667,6039.94444444444,0,75,25,0,0,8,0,92,26,100,83,0,8,83,8,100,100,72,0,33,42,25,0,8,0,8,0,0,6.96666666666667,119.519444444444,100,151.083333333333,25,58,17,50,16,12,59,A,A,A,-1,-1,OK,-1,A,92.0
County,OK Oklahoma,OK Blaine County 40011,9,Housing Choice Vouchers,3,A,Blaine County,40011,2.0,98,2,100,8.13333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,14432.5,-4,-4,-4,-4,-4,-4,-4,-4,44,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,206.9,-4,-4.0,-4,-4,-4,-4,18,41,65,A,A,A,-1,-1,OK,-1,A,100.0
County,OK Oklahoma,OK Bryan County 40013,9,Housing Choice Vouchers,3,A,Bryan County,40013,96.0,98,99,100,5.95791245791245,26,1.65656565656566,156.507924669029,247.683673469388,314.927835051546,9715.04040404039,5864.56707317073,13,48,26,11,1,5,10,84,27,99,64,3,27,76,26,64,92,52,1,44,16,38,5,17,5,7,3,2,12.0294871794872,47.6868686868687,99,119.418367346939,29,54,17,36,18,20,57,A,A,A,-1,-1,OK,-1,A,83.0
County,OK Oklahoma,OK Caddo County 40015,9,Housing Choice Vouchers,3,A,Caddo County,40015,21.0,98,22,100,4.71515151515151,50,2.04545454545455,42.9442476225993,150.428571428571,353.428571428571,6226.90909090909,3044.26666666667,36,64,0,0,0,0,21,79,18,100,95,0,32,82,23,36,88,33,0,45,18,36,5,64,23,36,0,9,2.8,57.3045454545454,91,117.25,18,64,18,41,27,57,58,A,A,A,-1,-1,OK,-1,A,36.0
County,OK Oklahoma,OK Canadian County 40017,9,Housing Choice Vouchers,3,A,Canadian County,40017,408.0,98,419,100,5.2937826214369,19,1.79266788543939,717.122987626251,296.725374110268,418.465303225804,11720.6847978415,6538.12392860972,9,36,30,19,5,12,8,78,26,98,67,2,31,82,31,57,82,41,4,45,15,36,4,23,14,5,1,4,10.5405398880321,50.9707408487522,98,130.175680129076,39,36,26,25,10,21,70,A,A,A,-1,-1,OK,-1,A,77.0
County,OK Oklahoma,OK Carter County 40019,9,Housing Choice Vouchers,3,A,Carter County,40019,86.0,98,88,100,6.53580788370155,27,2.29632778185766,192.715385215638,285.382978122799,378.112460129794,11345.6012554171,4940.75860818042,9,40,32,14,6,6,9,81,28,97,61,3,44,85,44,70,88,39,0,56,25,19,1,45,43,0,0,2,9.05780644043504,40.609931547563,99,137.647022420096,10,56,34,39,20,32,58,A,A,A,-1,-1,OK,-1,A,55.0
County,OK Oklahoma,OK Cherokee County 40021,9,Housing Choice Vouchers,3,A,Cherokee County,40021,61.0,97,62,100,6.29634914159487,3,2.0674764969442,123.1028669261,247.749815971498,349.238086647457,9476.61183986553,4583.66121882028,20,45,24,8,3,14,16,68,26,97,70,0,37,76,37,53,77,31,2,42,36,21,2,37,5,32,0,2,22.7166666666667,54.6539841019338,90,141.183403045559,32,31,37,29,26,46,42,A,A,A,-1,-1,OK,-1,A,63.0
County,OK Oklahoma,OK Choctaw County 40023,9,Housing Choice Vouchers,3,A,Choctaw County,40023,182.0,67,117,96,5.9575461126164,15,2.44649512923907,298.025349040212,243.306598850806,358.9944015909,10469.664705631,4279.45454724344,16,40,24,14,6,34,13,53,27,96,66,3,58,87,57,22,40,11,4,62,20,13,1,46,37,9,0,1,17.7728448279918,55.8480168743199,98,163.505597726778,4,34,62,42,27,39,55,A,A,A,-1,-1,OK,-1,A,54.0
