Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,OK Oklahoma,OK Adair County 40001,9,Housing Choice Vouchers,3,,Adair County,40001,30,93,28,100,5,25,2.6,73,315,340,12749,4890,11,29,29,25,7,32,-1,68,26,100,64,21,36,86,54,26,80,15,14,39,29,18,-1,57,7,46,-1,43,-1,4,-1,4,0,3,42,89,150,29,14,57,14,38,66,66,,,,,,OK,,,43.0
2018-12-31,County,OK Oklahoma,OK Alfalfa County 40003,9,Housing Choice Vouchers,3,,Alfalfa County,40003,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OK,,,
2018-12-31,County,OK Oklahoma,OK Atoka County 40005,9,Housing Choice Vouchers,3,,Atoka County,40005,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OK,,,
2018-12-31,County,OK Oklahoma,OK Beckham County 40009,9,Housing Choice Vouchers,3,,Beckham County,40009,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OK,,,
2018-12-31,County,OK Oklahoma,OK Blaine County 40011,9,Housing Choice Vouchers,3,,Blaine County,40011,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OK,,,
2018-12-31,County,OK Oklahoma,OK Bryan County 40013,9,Housing Choice Vouchers,3,,Bryan County,40013,66,92,62,100,5,10,1.9,116,304,501,12185,6513,11,35,31,16,6,10,-1,90,27,98,60,2,29,79,29,59,80,45,2,34,24,40,2,15,5,8,-1,85,-1,2,-1,2,3,19,89,100,102,37,39,24,26,22,27,71,,,,,,OK,,,85.0
2018-12-31,County,OK Oklahoma,OK Caddo County 40015,9,Housing Choice Vouchers,3,,Caddo County,40015,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OK,,,
2018-12-31,County,OK Oklahoma,OK Canadian County 40017,9,Housing Choice Vouchers,3,,Canadian County,40017,444,92,416,100,5,12,1.8,761,326,507,12489,6827,11,28,33,19,9,14,2,83,24,99,72,2,33,82,31,51,67,34,3,39,15,42,4,30,19,7,1,70,-1,4,0,4,3,25,81,99,104,38,37,25,26,10,27,75,,,,,,OK,,,70.0
2018-12-31,County,OK Oklahoma,OK Carter County 40019,9,Housing Choice Vouchers,3,,Carter County,40019,65,92,61,100,6,13,1.8,112,362,501,14395,7840,3,33,34,16,13,21,-1,79,30,95,56,2,28,84,26,65,80,42,2,43,39,16,-1,39,34,3,-1,61,-1,2,-1,2,2,29,77,98,127,20,41,39,49,23,39,78,,,,,,OK,,,61.0
2018-12-31,County,OK Oklahoma,OK Cherokee County 40021,9,Housing Choice Vouchers,3,,Cherokee County,40021,49,92,46,100,5,15,2.0,93,359,494,13676,6764,2,40,27,16,16,13,-1,85,30,91,61,7,28,67,30,72,71,39,-1,37,26,37,-1,39,2,37,-1,61,-1,-1,-1,0,4,29,90,93,144,24,33,43,41,26,52,57,,,,,,OK,,,61.0
2018-12-31,County,OK Oklahoma,OK Choctaw County 40023,9,Housing Choice Vouchers,3,,Choctaw County,40023,177,58,103,100,5,10,2.3,240,267,423,11144,4782,14,34,28,15,9,32,1,62,24,97,73,2,55,89,56,28,53,15,7,55,23,15,-1,61,51,6,-1,39,1,2,1,4,2,10,71,98,167,2,28,70,52,44,45,70,,,,,,OK,,,39.0
2018-12-31,County,OK Oklahoma,OK Cleveland County 40027,9,Housing Choice Vouchers,3,,Cleveland County,40027,1511,95,1401,97,5,20,2.2,3018,307,484,11765,5461,10,32,26,17,14,25,2,65,21,99,77,3,42,79,40,38,80,26,5,50,22,23,1,35,23,5,1,65,0,4,1,5,3,19,66,96,113,34,37,29,19,21,27,58,,,,,,OK,,,65.0
2018-12-31,County,OK Oklahoma,OK Coal County 40029,9,Housing Choice Vouchers,3,,Coal County,40029,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OK,,,
2018-12-31,County,OK Oklahoma,OK Comanche County 40031,9,Housing Choice Vouchers,3,,Comanche County,40031,784,93,746,100,5,17,2.6,1923,326,515,12538,4864,13,37,20,13,17,27,1,68,24,97,72,4,53,83,53,36,82,21,3,59,23,15,1,73,63,3,1,27,2,5,0,7,3,26,76,94,169,19,27,54,27,25,48,69,,,,,,OK,,,27.0
2018-12-31,County,OK Oklahoma,OK Craig County 40035,9,Housing Choice Vouchers,3,,Craig County,40035,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OK,,,
2018-12-31,County,OK Oklahoma,OK Creek County 40037,9,Housing Choice Vouchers,3,,Creek County,40037,271,83,231,100,4,13,2.0,473,338,475,13214,6453,10,34,20,24,13,15,1,84,25,97,71,3,34,83,35,50,85,37,2,37,25,35,4,27,18,7,-1,73,-1,1,-1,1,4,23,86,90,149,38,32,30,20,18,25,77,,,,,,OK,,,73.0
2018-12-31,County,OK Oklahoma,OK Custer County 40039,9,Housing Choice Vouchers,3,,Custer County,40039,21,92,20,100,6,10,1.8,36,264,501,10092,5607,15,45,30,5,5,5,-1,95,24,100,75,-1,20,80,20,62,100,56,-1,30,35,35,-1,65,50,-1,-1,35,-1,15,-1,15,0,34,157,100,169,25,40,35,50,18,41,78,,,,,,OK,,,35.0
2018-12-31,County,OK Oklahoma,OK Delaware County 40041,9,Housing Choice Vouchers,3,,Delaware County,40041,13,92,12,100,5,-1,1.8,22,264,501,9950,5427,8,50,33,8,-1,17,-1,83,23,100,92,-1,33,83,33,50,25,23,-1,50,17,33,-1,25,-1,17,8,75,-1,-1,-1,0,8,-1,112,100,140,33,33,33,17,16,27,63,,,,,,OK,,,75.0
2018-12-31,County,OK Oklahoma,OK Ellis County 40045,9,Housing Choice Vouchers,3,,Ellis County,40045,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OK,,,
2018-12-31,County,OK Oklahoma,OK Garfield County 40047,9,Housing Choice Vouchers,3,,Garfield County,40047,77,92,73,100,6,7,1.6,115,300,501,11337,7196,3,45,38,8,5,10,1,89,25,99,82,1,21,81,22,71,79,50,-1,37,30,33,-1,26,19,3,1,74,-1,1,1,3,0,17,111,96,130,36,45,19,38,18,25,76,,,,,,OK,,,74.0
