sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Baker County,41001,-1,-1,206,-1,5,25,2.0,406,269,330,10.6,5.3,8,51,23,10,8,26,11,61,24,87,64,10,30,75,35,52,36,27,6,51,20,23,2,7,0,3,0,3,14,57,79,124,26,49,25,31,5,15,55,-1,-1,-1,-1,-1,OR,-1,-1,93.0
9,3,VO,-1,Benton County,41003,-1,-1,766,-1,3,27,2.3,1727,288,457,11.7,5.2,11,45,22,12,11,25,16,55,20,99,83,15,33,76,41,51,51,26,7,60,17,17,1,10,2,2,2,5,16,53,88,99,29,44,28,18,16,19,39,-1,-1,-1,-1,-1,OR,-1,-1,90.0
9,3,VO,-1,Clackamas County,41005,-1,-1,1485,-1,4,18,2.3,3437,303,542,12.0,5.2,13,41,23,11,12,26,8,59,20,98,82,13,35,80,43,41,37,20,4,60,16,21,2,9,4,2,1,3,52,60,98,72,23,46,30,20,13,8,52,-1,-1,-1,-1,-1,OR,-1,-1,91.0
9,3,VO,-1,Clatsop County,41007,-1,-1,371,-1,4,18,1.9,723,272,366,10.2,5.3,12,47,24,12,4,25,10,60,22,97,78,11,26,75,32,48,51,27,3,49,26,22,1,5,0,1,1,3,20,49,81,61,45,38,16,11,11,16,47,-1,-1,-1,-1,-1,OR,-1,-1,95.0
9,3,VO,-1,Columbia County,41009,-1,-1,510,-1,3,22,2.3,1159,287,515,11.6,5.1,13,41,24,12,10,29,12,53,19,99,83,15,34,79,43,41,51,20,5,61,15,18,1,3,0,0,0,3,19,39,99,89,35,39,26,13,7,10,53,-1,-1,-1,-1,-1,OR,-1,-1,97.0
9,3,VO,-1,Coos County,41011,-1,-1,553,-1,5,27,1.8,986,268,378,10.2,5.7,7,55,24,11,3,20,5,72,22,83,60,10,22,77,28,55,53,34,5,44,24,27,3,8,1,2,3,3,7,51,91,96,41,43,16,22,10,16,49,-1,-1,-1,-1,-1,OR,-1,-1,92.0
9,3,VO,-1,Crook County,41013,-1,-1,73,-1,4,23,1.8,129,231,388,9.7,5.5,14,48,25,12,1,14,8,74,23,95,64,5,29,86,34,55,58,35,3,45,19,33,4,1,0,1,0,0,5,53,96,89,44,32,25,18,9,11,53,-1,-1,-1,-1,-1,OR,-1,-1,99.0
9,3,VO,-1,Curry County,41015,-1,-1,107,-1,5,24,1.6,174,290,391,10.7,6.5,5,53,27,8,7,16,4,79,25,85,55,7,18,75,22,70,39,41,3,42,26,29,2,6,1,0,5,0,8,47,93,103,31,48,21,36,8,10,43,-1,-1,-1,-1,-1,OR,-1,-1,94.0
9,3,VO,-1,Deschutes County,41017,-1,-1,845,-1,4,18,2.3,1911,264,507,10.9,4.9,17,40,24,11,8,30,9,53,20,93,76,16,35,80,46,46,62,25,7,62,14,17,2,5,1,1,1,3,9,53,97,96,23,45,32,21,8,11,50,-1,-1,-1,-1,-1,OR,-1,-1,95.0
9,3,VO,-1,Douglas County,41019,-1,-1,696,-1,5,36,2.1,1462,267,350,10.5,5.0,10,49,25,10,6,28,8,58,22,83,57,14,29,79,40,43,52,23,9,54,19,18,2,3,0,1,0,1,19,36,91,82,36,43,21,18,7,13,44,-1,-1,-1,-1,-1,OR,-1,-1,97.0
9,3,VO,-1,Gilliam County,41021,-1,-1,5,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,OR,-1,-1,
9,3,VO,-1,Grant County,41023,-1,-1,36,-1,5,28,1.8,66,235,352,8.7,4.9,17,56,17,8,3,14,8,75,20,86,67,11,28,67,31,52,44,30,3,47,25,25,3,6,0,0,0,6,8,46,86,157,25,44,31,42,5,13,49,-1,-1,-1,-1,-1,OR,-1,-1,94.0
9,3,VO,-1,Harney County,41025,-1,-1,30,-1,5,37,2.1,64,260,298,11.2,5.5,7,47,27,13,7,27,0,67,22,87,63,10,23,70,27,45,80,30,13,37,17,33,0,7,0,0,0,7,31,34,97,157,23,47,30,30,11,10,51,-1,-1,-1,-1,-1,OR,-1,-1,93.0
9,3,VO,-1,Hood River County,41027,-1,-1,80,-1,5,26,2.6,207,287,396,11.7,4.4,19,35,21,16,9,38,4,51,22,79,54,21,36,79,46,22,31,10,5,68,8,20,5,25,3,1,3,19,16,57,91,87,19,48,34,19,26,15,49,-1,-1,-1,-1,-1,OR,-1,-1,75.0
9,3,VO,-1,Jackson County,41029,-1,-1,1307,-1,3,6,2.3,2990,299,421,11.7,5.1,12,40,24,13,10,34,3,58,25,94,70,16,34,80,46,37,54,19,5,61,17,17,1,7,1,1,0,5,36,64,98,70,28,45,28,18,15,17,42,-1,-1,-1,-1,-1,OR,-1,-1,93.0
