gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,OR Oregon,OR Baker County 41001,9,Housing Choice Vouchers,3,A,Baker County,41001,203.0,99,192,96,5.30038759689924,7,2.02604166666667,405.787202380952,272.092391304349,370.467391304349,11002.09375,5430.33933161955,7,45,28,13,7,19,11,68,28,95,64,9,29,73,31,56,61,31,5,45,26,24,1,11,1,5,0,5,7.81428571428571,66.5496527777779,80,159.895424836602,26,51,23,31,15,5,55,A,A,A,-1,-1,OR,-1,A,89.0
County,OR Oregon,OR Benton County 41003,9,Housing Choice Vouchers,3,A,Benton County,41003,686.0,100,655,96,4.33339388306821,2,2.1357243523634,1459.2248662026,305.594166052921,514.401606217108,12056.5592960106,5645.18510203285,11,38,26,13,13,16,13,67,21,98,81,8,34,76,37,53,61,30,2,60,19,19,2,10,2,2,2,5,27.9695576831062,73.9396978485783,88,124.936045470202,28,44,28,23,20,16,37,A,A,A,-1,-1,OR,-1,A,90.0
County,OR Oregon,OR Clackamas County 41005,9,Housing Choice Vouchers,3,A,Clackamas County,41005,1541.0,100,1575,100,5.22561634865903,8,2.30611823842899,3543.13665594683,312.859671747736,616.624219764856,12014.7598585892,5209.94962807027,10,38,24,14,13,21,9,70,21,99,81,6,40,79,41,45,50,23,1,59,18,22,2,11,4,2,1,4,62.1551378446116,68.1681454320007,99,89.6564588743741,23,48,30,22,8,13,51,A,A,A,-1,-1,OR,-1,A,89.0
County,OR Oregon,OR Clatsop County 41007,9,Housing Choice Vouchers,3,A,Clatsop County,41007,370.0,100,338,90,3.5202380952381,1,1.90828402366864,717.833163784332,315.798816568049,434.583333333335,11002.0857988166,5765.43410852715,10,44,25,14,7,13,9,74,25,97,69,6,28,72,30,54,51,30,2,44,30,24,1,7,1,2,1,3,9.68333333333333,66.3383629191324,82,86.4584837545127,45,37,17,12,17,12,47,A,A,A,-1,-1,OR,-1,A,93.0
County,OR Oregon,OR Columbia County 41009,9,Housing Choice Vouchers,3,A,Columbia County,41009,540.0,100,493,90,3.63597650513952,1,2.13184584178501,1169.67853509664,265.886409736311,566.067622950824,10827.4421906695,5078.90485252141,14,41,24,11,10,17,15,65,19,99,86,8,35,79,39,44,56,24,2,59,16,22,1,5,0,1,1,4,16.0666666666667,58.8236646382696,99,94.3086419753093,29,45,26,23,11,8,57,A,A,A,-1,-1,OR,-1,A,95.0
County,OR Oregon,OR Coos County 41011,9,Housing Choice Vouchers,3,A,Coos County,41011,640.0,94,615,100,4.73471645919777,16,1.83739837398373,1099.52282157676,298.321951219513,356.268092105265,10846.2487804878,5903.0469026549,6,49,27,13,5,14,13,71,28,96,66,7,23,70,25,55,60,33,4,44,24,27,1,7,0,3,2,2,9.94191419141913,47.6966937669378,96,85.8440677966105,45,42,13,20,17,11,51,A,A,A,-1,-1,OR,-1,A,93.0
County,OR Oregon,OR Crook County 41013,9,Housing Choice Vouchers,3,A,Crook County,41013,79.0,96,75,98,5.21466666666667,4,1.89333333333333,144.508341511286,245.4,464.44,9473.28,5003.49295774648,11,53,24,9,3,12,16,72,24,97,79,1,37,81,39,48,67,32,1,45,25,28,5,3,0,3,0,0,3.14444444444444,69.8822222222222,96,121.097222222222,39,36,25,21,11,10,56,A,A,A,-1,-1,OR,-1,A,97.0
County,OR Oregon,OR Curry County 41015,9,Housing Choice Vouchers,3,A,Curry County,41015,112.0,94,108,100,4.68313725490196,12,1.68518518518518,177.091286307054,316.916666666666,359.3738317757,11468.4907407407,6805.47802197802,5,43,35,9,8,12,7,80,30,90,63,5,22,74,23,65,53,41,3,32,37,28,3,5,2,3,0,0,13.0285714285714,58.3376543209875,94,96.9411764705881,32,48,19,36,12,9,50,A,A,A,-1,-1,OR,-1,A,95.0
County,OR Oregon,OR Deschutes County 41017,9,Housing Choice Vouchers,3,A,Deschutes County,41017,966.0,96,911,98,5.3962388143208,3,2.21520391393506,2053.76249563379,271.250230076197,589.311274173713,10711.1585346597,4835.29234815795,16,39,22,14,9,20,18,59,21,97,79,6,40,78,41,44,59,24,3,61,16,20,2,6,1,1,1,4,2.68222222222222,65.286172118879,97,112.303490031924,21,41,37,28,11,8,52,A,A,A,-1,-1,OR,-1,A,94.0
County,OR Oregon,OR Douglas County 41019,9,Housing Choice Vouchers,3,A,Douglas County,41019,685.0,100,743,100,5.06970649895178,25,2.06864064602961,1417.00795250895,282.151351351355,356.88751714678,10601.6837146704,5124.9518542616,8,47,26,13,5,16,11,72,26,97,65,3,38,77,38,47,57,26,6,51,23,20,1,5,1,1,0,3,14.9600713012477,39.9933602512342,92,83.5793304221255,35,45,19,22,14,8,49,A,A,A,-1,-1,OR,-1,A,95.0
