gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,PA Pennsylvania,PA Adams County 42001,9,Housing Choice Vouchers,3,A,Adams County,42001,600.0,86,544,100,4.7531468531469,15,2.02941176470589,1051.23529411764,321.458563535915,433.181636726552,13236.8602941178,6522.51086956527,6,34,30,15,15,19,8,71,25,98,69,6,35,81,36,50,41,26,4,47,19,30,3,18,10,0,1,8,16.1137254901961,62.3743872549026,87,132.944915254239,41,39,21,16,9,9,55,A,A,A,-1,-1,PA,-1,A,82.0
County,PA Pennsylvania,PA Allegheny County 42003,9,Housing Choice Vouchers,3,A,Allegheny County,42003,13031.0,99,11092,86,7.88457534367782,11,2.34051766217144,30085.9394777451,314.901397192628,497.96882441977,10726.3196020843,4582.88342593955,22,33,19,12,12,30,9,59,22,97,75,2,53,85,52,34,72,23,4,65,19,12,1,73,72,0,0,1,27.3674145787326,77.0917336129674,91,195.534188195189,30,35,35,13,20,39,44,A,A,A,-1,-1,PA,-1,A,27.0
County,PA Pennsylvania,PA Armstrong County 42005,9,Housing Choice Vouchers,3,A,Armstrong County,42005,247.0,98,261,100,4.91538163405951,11,1.96568465258556,476.997756297631,271.659361513745,429.007572422541,10967.7500519693,5579.60812154832,10,44,28,13,5,14,0,86,26,97,70,5,33,74,34,63,71,40,2,47,26,25,2,3,2,0,0,0,25.3955400224303,73.8921562900116,84,170.159321432499,24,45,31,34,13,3,58,A,A,A,-1,-1,PA,-1,A,97.0
County,PA Pennsylvania,PA Beaver County 42007,9,Housing Choice Vouchers,3,A,Beaver County,42007,648.0,93,591,98,5.39870276367739,6,2.04737732656514,1232.52115059221,290.694017094017,402.523396880417,12756.766497462,6230.7842975207,7,35,27,19,12,28,5,66,25,98,71,4,39,85,41,48,35,26,4,52,19,24,5,38,36,0,1,1,14.5184210526316,86.5953750705021,81,141.460416666666,31,36,32,25,16,18,54,A,A,A,-1,-1,PA,-1,A,62.0
County,PA Pennsylvania,PA Bedford County 42009,9,Housing Choice Vouchers,3,A,Bedford County,42009,356.0,88,313,99,5.449616146412,10,1.95136859187363,612.885099914926,290.043389309984,343.154792948969,11124.4914374576,5700.86629649822,8,45,28,13,5,18,5,77,26,98,72,8,29,76,30,49,38,25,3,47,26,24,1,1,0,0,0,0,20.2842828491313,77.1739261499931,94,133.73436803424,50,33,17,8,11,2,62,A,A,A,-1,-1,PA,-1,A,99.0
County,PA Pennsylvania,PA Berks County 42011,9,Housing Choice Vouchers,3,A,Berks County,42011,1289.0,77,1147,99,6.50309468298704,9,2.54133626222651,2526.38589030466,351.464285668002,512.508552598273,13164.6192532095,5180.19572965748,9,31,24,21,14,19,17,61,24,97,70,5,49,90,51,35,33,18,2,56,14,27,6,61,17,0,1,47,19.9900000767947,63.9002258217769,89,190.577176794794,34,23,44,14,19,34,25,A,A,A,-1,-1,PA,-1,A,39.0
County,PA Pennsylvania,PA Blair County 42013,9,Housing Choice Vouchers,3,A,Blair County,42013,1311.0,94,1139,93,5.8957694208532,14,1.93297829190235,2370.24524772315,257.568123617044,366.445416348498,10730.4192018692,5551.23626934721,11,44,25,14,6,25,5,69,25,97,73,4,33,70,32,49,70,29,6,55,20,19,1,9,7,0,0,1,13.3068080998839,39.4489761672268,85,108.198241572296,42,31,26,17,22,5,50,A,A,A,-1,-1,PA,-1,A,91.0
County,PA Pennsylvania,PA Bradford County 42015,9,Housing Choice Vouchers,3,A,Bradford County,42015,263.0,94,241,98,6.97150760719227,10,1.82572614107884,449.090909090908,256.535864978904,285.978902953587,10939.1618257262,5991.67727272729,5,47,32,14,3,15,6,80,26,100,73,5,23,73,24,64,50,36,2,44,25,29,5,2,1,0,0,0,25.6478260869565,63.6040110650071,83,90.0050251256284,60,30,10,5,12,3,56,A,A,A,-1,-1,PA,-1,A,98.0
County,PA Pennsylvania,PA Bucks County 42017,9,Housing Choice Vouchers,3,A,Bucks County,42017,3350.0,89,2777,93,6.5252262984285,3,1.8047895715681,5365.76824336328,370.903578525493,621.184910510211,14077.3924933955,7800.01874742898,4,34,26,17,19,16,4,80,23,98,76,2,29,76,29,57,54,37,2,42,22,34,4,32,23,0,2,8,18.4640350877193,86.7446559478837,98,107.597273397194,55,35,10,8,8,16,43,A,A,A,-1,-1,PA,-1,A,68.0
County,PA Pennsylvania,PA Butler County 42019,9,Housing Choice Vouchers,3,A,Butler County,42019,1488.0,92,1396,100,5.50811843361971,13,2.06446991404006,2837.88074815345,285.015239477495,484.460235640633,11603.3531518621,5620.49999999998,13,37,26,15,10,21,5,74,23,98,76,3,37,73,35,52,57,31,2,56,24,17,2,6,4,0,0,2,25.3009208103131,65.0979703915927,79,131.647058823526,35,29,36,24,16,4,50,A,A,A,-1,-1,PA,-1,A,94.0
County,PA Pennsylvania,PA Cambria County 42021,9,Housing Choice Vouchers,3,A,Cambria County,42021,588.0,96,566,100,4.98195719093522,14,2.22585210379683,1251.09184528034,263.064828788421,386.227581434361,10122.9049598847,4547.87851475719,16,43,22,13,6,20,20,56,23,98,78,5,46,84,47,36,78,22,7,60,19,14,1,22,19,0,0,3,14.2514403292181,69.1136698566092,89,201.333170757738,21,43,37,27,19,9,50,A,A,A,-1,-1,PA,-1,A,78.0
County,PA Pennsylvania,PA Cameron County 42023,9,Housing Choice Vouchers,3,A,Cameron County,42023,21.0,71,14,92,4.62619047619048,0,2.14285714285714,32.4827586206897,292.928571428572,352.642857142857,11698.6428571429,5459.36666666667,7,36,36,14,7,29,7,64,27,100,64,7,43,71,29,50,0,20,0,64,21,14,0,7,7,0,0,7,-1.0,46.1928571428572,93,184.0,29,29,43,21,12,1,54,A,A,A,-1,-1,PA,-1,A,93.0
County,PA Pennsylvania,PA Carbon County 42025,9,Housing Choice Vouchers,3,A,Carbon County,42025,448.0,96,412,96,2.6613849372343,3,1.85833372115482,796.06031069443,320.68145149861,450.720830447104,11965.1887778818,6438.66526322643,9,32,33,17,9,13,9,76,22,100,80,7,27,74,29,57,51,34,1,44,25,30,3,5,3,1,0,2,14.8333333333333,75.2855754812354,87,200.150203303206,46,34,20,14,11,3,45,A,A,A,-1,-1,PA,-1,A,95.0
County,PA Pennsylvania,PA Centre County 42027,9,Housing Choice Vouchers,3,A,Centre County,42027,624.0,96,609,100,5.5939792008758,8,2.05090311986863,1234.64367816092,310.473684210527,500.242524916944,12519.9228243022,6104.59007205767,7,40,27,13,13,23,7,68,23,99,75,4,31,72,29,49,55,27,2,54,23,21,1,10,8,0,1,1,23.7222222222222,78.5795292829777,82,141.602409638553,37,31,31,24,21,9,45,A,A,A,-1,-1,PA,-1,A,90.0
County,PA Pennsylvania,PA Chester County 42029,9,Housing Choice Vouchers,3,A,Chester County,42029,1657.0,80,1127,85,9.51220318605333,5,2.49778172138419,3323.19469026553,394.761140819956,766.364620938613,14403.2058562553,5766.39893428059,12,28,24,13,24,27,11,60,22,97,77,2,47,80,43,37,51,20,0,53,20,26,3,73,63,0,3,10,12.5863095238095,101.65165778567,88,193.949748743715,29,24,48,23,15,42,28,A,A,A,-1,-1,PA,-1,A,27.0
County,PA Pennsylvania,PA Clarion County 42031,9,Housing Choice Vouchers,3,A,Clarion County,42031,422.0,100,409,97,4.69573005043254,15,1.94419735517977,818.000707373299,287.896444654135,318.624072001235,11389.024131983,5857.95680754327,11,38,29,13,8,28,5,67,26,96,66,9,28,70,32,48,77,31,5,57,25,13,0,4,1,0,0,2,8.59841269841269,52.0289495389855,92,188.670432904624,25,55,21,32,18,2,58,A,A,A,-1,-1,PA,-1,A,96.0
County,PA Pennsylvania,PA Clearfield County 42033,9,Housing Choice Vouchers,3,A,Clearfield County,42033,314.0,98,301,97,5.12115890209382,12,1.84340077675771,569.371901045813,294.489128698522,345.415738284038,11560.9897456751,6271.55521004459,7,47,24,15,7,23,3,74,27,97,67,6,29,78,30,54,57,35,4,50,19,27,2,3,1,1,0,1,13.0827678572553,66.0694666225494,76,201.118827254401,48,30,22,14,14,2,61,A,A,A,-1,-1,PA,-1,A,97.0
County,PA Pennsylvania,PA Clinton County 42035,9,Housing Choice Vouchers,3,A,Clinton County,42035,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,PA,-1,A,
