Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2021-12-31,County,PA Pennsylvania,PA Adams County 42001,9,Housing Choice Vouchers,3,,Adams County,42001,619,79,480,98,5,11,1.8,851,372,517,15625,8813,6,13,34,23,24,19,1,76,24,96,73,2,26,78,25,52,63,36,2,34,27,37,3,20,11,1,0,80,1,8,-1,8,2,25,86,89,114,59,26,15,5,10,12,63,,,,,,PA,,,80.0
2021-12-31,County,PA Pennsylvania,PA Allegheny County 42003,9,Housing Choice Vouchers,3,,Allegheny County,42003,14024,81,11369,100,10,6,2.3,25949,363,629,13758,6028,11,28,26,13,22,26,4,63,20,96,81,1,48,83,48,33,76,25,3,57,21,20,1,77,75,0,0,23,1,1,0,1,0,42,114,90,179,35,33,32,11,24,46,53,,,,,,PA,,,23.0
2021-12-31,County,PA Pennsylvania,PA Armstrong County 42005,9,Housing Choice Vouchers,3,,Armstrong County,42005,281,99,284,100,5,16,1.8,506,314,454,12600,7072,6,28,38,14,13,12,1,82,24,98,73,3,27,75,25,52,66,39,3,30,23,44,2,5,4,0,-1,95,-1,-1,-1,0,0,16,92,72,139,36,43,21,32,14,3,67,,,,,,PA,,,95.0
2021-12-31,County,PA Pennsylvania,PA Beaver County 42007,9,Housing Choice Vouchers,3,,Beaver County,42007,797,76,615,100,6,12,2.1,1278,343,502,14824,7134,6,23,33,16,22,27,1,67,22,98,80,3,39,80,39,49,51,28,2,47,21,30,3,44,43,0,0,56,0,1,-1,1,3,34,106,82,176,34,31,35,23,23,24,64,,,,,,PA,,,56.0
2021-12-31,County,PA Pennsylvania,PA Bedford County 42009,9,Housing Choice Vouchers,3,,Bedford County,42009,308,84,267,100,6,16,1.6,429,315,433,12355,7689,6,24,46,14,10,16,1,79,25,98,76,3,20,74,19,64,51,38,3,32,27,39,1,3,2,-1,-1,97,-1,1,-1,1,0,10,87,97,163,70,18,12,2,12,3,72,,,,,,PA,,,97.0
2021-12-31,County,PA Pennsylvania,PA Berks County 42011,9,Housing Choice Vouchers,3,,Berks County,42011,1313,81,1225,100,5,8,2.3,2804,363,759,14263,6231,7,24,27,17,25,19,2,70,21,98,76,3,43,86,43,40,62,27,2,49,20,29,3,72,15,0,0,28,6,46,5,57,3,12,107,88,161,36,24,39,20,24,47,28,,,,,,PA,,,28.0
2021-12-31,County,PA Pennsylvania,PA Blair County 42013,9,Housing Choice Vouchers,3,,Blair County,42013,1436,84,1209,100,6,18,1.8,2208,291,477,12253,6709,12,27,35,15,12,16,2,78,23,98,75,5,25,66,26,44,63,30,3,44,24,29,1,19,16,0,0,81,0,2,0,3,0,7,73,79,140,47,29,24,20,26,7,60,,,,,,PA,,,81.0
2021-12-31,County,PA Pennsylvania,PA Bradford County 42015,9,Housing Choice Vouchers,3,,Bradford County,42015,265,69,181,99,7,11,1.5,275,315,329,13509,8892,2,25,45,19,9,7,1,93,27,99,71,2,17,78,18,74,43,45,-1,28,22,50,6,2,1,1,-1,98,-1,1,-1,1,0,26,99,78,92,69,19,12,7,14,4,68,,,,,,PA,,,98.0
2021-12-31,County,PA Pennsylvania,PA Bucks County 42017,9,Housing Choice Vouchers,3,,Bucks County,42017,3633,69,2520,100,6,6,1.7,4301,404,785,16241,9516,3,22,32,17,26,17,1,79,22,97,79,2,23,74,24,56,73,42,0,35,24,41,4,36,25,1,2,64,1,7,0,9,2,20,125,98,106,60,30,10,11,8,22,61,,,,,,PA,,,64.0
2021-12-31,County,PA Pennsylvania,PA Butler County 42019,9,Housing Choice Vouchers,3,,Butler County,42019,1573,84,1591,100,10,29,1.7,2668,340,628,13757,8203,6,26,34,18,16,14,1,81,21,98,82,2,23,68,21,54,52,38,1,33,27,40,2,9,5,0,0,91,0,3,-1,4,1,70,82,66,158,52,23,25,23,22,6,57,,,,,,PA,,,91.0
2021-12-31,County,PA Pennsylvania,PA Cambria County 42021,9,Housing Choice Vouchers,3,,Cambria County,42021,953,69,642,97,5,16,2.2,1388,296,455,11447,5295,12,25,37,15,10,19,5,68,22,97,77,7,37,81,40,39,69,26,5,47,22,25,2,40,36,0,-1,60,1,4,-1,4,1,11,82,83,141,22,41,37,32,29,14,57,,,,,,PA,,,60.0
2021-12-31,County,PA Pennsylvania,PA Cameron County 42023,9,Housing Choice Vouchers,3,,Cameron County,42023,19,71,14,100,5,14,1.8,25,281,414,11223,6285,21,14,43,14,7,7,14,79,22,100,86,7,21,64,21,64,67,48,-1,50,29,21,-1,14,14,-1,-1,86,-1,-1,-1,0,7,4,47,79,168,21,43,36,57,22,2,59,,,,,,PA,,,86.0
2021-12-31,County,PA Pennsylvania,PA Carbon County 42025,9,Housing Choice Vouchers,3,,Carbon County,42025,441,88,414,100,5,11,1.9,797,324,609,13933,7237,5,18,38,18,20,11,1,81,22,98,76,7,25,71,28,56,55,33,1,36,25,39,3,8,3,0,-1,92,0,4,-1,4,0,14,98,86,197,42,32,26,22,16,5,51,,,,,,PA,,,92.0
2021-12-31,County,PA Pennsylvania,PA Centre County 42027,9,Housing Choice Vouchers,3,,Centre County,42027,691,89,667,100,5,11,1.7,1134,385,649,15927,9368,3,20,34,19,24,20,1,77,23,98,76,4,19,71,21,55,53,36,2,37,23,38,3,14,10,0,1,86,0,3,-1,3,0,18,103,71,117,41,34,25,31,18,10,53,,,,,,PA,,,86.0
2021-12-31,County,PA Pennsylvania,PA Chester County 42029,9,Housing Choice Vouchers,3,,Chester County,42029,2268,75,1668,98,7,12,2.1,3548,400,876,14923,7016,6,22,28,17,28,20,2,67,20,97,81,4,33,69,34,56,72,34,1,42,21,36,2,65,53,1,1,35,1,8,1,10,0,22,106,89,138,40,29,31,23,18,47,32,,,,,,PA,,,35.0
2021-12-31,County,PA Pennsylvania,PA Clarion County 42031,9,Housing Choice Vouchers,3,,Clarion County,42031,489,66,480,100,6,27,1.6,770,341,505,12925,8057,5,27,37,17,14,18,0,77,26,98,68,5,18,65,19,64,75,46,4,40,28,29,0,6,4,1,-1,94,0,0,-1,1,1,6,67,85,160,35,46,19,40,22,5,61,,,,,,PA,,,94.0
2021-12-31,County,PA Pennsylvania,PA Clearfield County 42033,9,Housing Choice Vouchers,3,,Clearfield County,42033,323,96,310,100,5,14,1.5,475,312,383,12316,8038,5,29,44,13,9,13,-1,85,25,99,75,3,17,75,18,66,59,45,3,30,28,39,2,5,3,-1,-1,95,-1,3,0,3,1,12,81,78,136,57,27,15,19,17,4,69,,,,,,PA,,,95.0
2021-12-31,County,PA Pennsylvania,PA Clinton County 42035,9,Housing Choice Vouchers,3,,Clinton County,42035,4,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,PA,,,
2021-12-31,County,PA Pennsylvania,PA Columbia County 42037,9,Housing Choice Vouchers,3,,Columbia County,42037,411,92,355,94,6,9,1.6,585,338,374,14253,8649,2,19,37,25,17,11,0,86,28,98,60,2,21,79,21,63,47,36,1,33,17,49,7,7,3,0,1,93,-1,3,0,3,0,22,86,65,142,60,22,18,14,22,7,49,,,,,,PA,,,93.0
2021-12-31,County,PA Pennsylvania,PA Crawford County 42039,9,Housing Choice Vouchers,3,,Crawford County,42039,306,81,245,98,5,15,1.5,374,287,360,11488,7525,5,31,42,14,8,12,2,78,23,98,80,1,20,60,17,67,56,44,2,34,33,31,1,12,6,0,1,88,-1,4,0,5,1,12,103,84,119,64,21,16,14,22,8,56,,,,,,PA,,,88.0
2021-12-31,County,PA Pennsylvania,PA Cumberland County 42041,9,Housing Choice Vouchers,3,,Cumberland County,42041,1177,92,1100,100,5,7,2.0,2190,428,544,16298,8186,3,16,34,19,28,20,1,75,24,97,71,2,30,76,30,55,59,31,1,42,22,35,4,31,21,1,1,69,1,5,1,8,2,34,94,83,136,43,32,25,20,12,14,44,,,,,,PA,,,69.0
2021-12-31,County,PA Pennsylvania,PA Dauphin County 42043,9,Housing Choice Vouchers,3,,Dauphin County,42043,2639,84,2186,99,6,8,2.5,5523,412,695,14714,5824,10,23,27,14,26,28,2,64,20,97,80,3,52,85,52,35,83,26,2,59,17,22,1,82,60,0,0,18,3,18,1,22,0,24,106,92,171,26,28,46,19,22,56,26,,,,,,PA,,,18.0
2021-12-31,County,PA Pennsylvania,PA Delaware County 42045,9,Housing Choice Vouchers,3,,Delaware County,42045,4529,89,4579,100,6,6,2.5,11524,453,968,16232,6450,6,23,26,14,31,29,2,61,20,96,80,2,48,85,47,30,77,22,2,51,23,24,1,80,74,0,0,20,2,3,0,5,1,27,123,99,175,28,25,47,18,23,61,18,,,,,,PA,,,20.0
2021-12-31,County,PA Pennsylvania,PA Elk County 42047,9,Housing Choice Vouchers,3,,Elk County,42047,201,72,149,100,5,26,1.8,272,306,410,12347,6763,8,26,36,16,13,13,1,80,23,99,75,3,35,77,33,57,60,37,-1,44,28,28,1,3,2,1,-1,97,-1,1,-1,1,1,12,67,71,113,36,36,28,30,11,2,77,,,,,,PA,,,97.0
2021-12-31,County,PA Pennsylvania,PA Erie County 42049,9,Housing Choice Vouchers,3,,Erie County,42049,2221,85,1902,100,5,14,2.2,4175,324,473,13495,6148,6,24,36,16,18,21,2,71,24,96,73,4,39,77,40,48,69,28,3,52,22,23,1,35,27,0,0,65,1,6,0,7,1,15,82,87,142,41,29,30,11,25,22,55,,,,,,PA,,,65.0
2021-12-31,County,PA Pennsylvania,PA Fayette County 42051,9,Housing Choice Vouchers,3,,Fayette County,42051,1157,77,905,100,6,10,1.9,1698,303,547,12224,6515,9,29,34,15,13,14,1,80,19,99,88,2,29,83,30,44,63,33,2,38,22,38,3,20,19,0,0,80,0,0,-1,1,2,35,124,89,179,28,41,32,39,22,14,67,,,,,,PA,,,80.0
2021-12-31,County,PA Pennsylvania,PA Forest County 42053,9,Housing Choice Vouchers,3,,Forest County,42053,22,66,22,100,6,18,1.5,32,368,505,13049,8971,9,5,55,23,9,9,-1,91,27,100,68,-1,23,68,18,77,56,50,-1,18,41,41,-1,5,-1,5,-1,95,-1,-1,-1,0,5,7,81,86,160,27,50,23,50,21,22,78,,,,,,PA,,,95.0
2021-12-31,County,PA Pennsylvania,PA Franklin County 42055,9,Housing Choice Vouchers,3,,Franklin County,42055,360,86,358,100,5,15,1.7,617,376,512,14135,8201,3,15,48,17,17,12,1,84,24,97,74,2,23,75,23,72,71,43,1,35,24,40,4,35,22,1,1,65,2,8,1,11,4,18,77,90,107,44,32,25,27,14,20,49,,,,,,PA,,,65.0
2021-12-31,County,PA Pennsylvania,PA Fulton County 42057,9,Housing Choice Vouchers,3,,Fulton County,42057,155,91,142,100,6,9,1.7,248,342,426,12020,6882,10,28,37,15,11,19,2,75,24,96,73,5,27,70,27,49,77,35,4,37,30,30,1,10,6,1,1,90,-1,3,-1,3,1,4,79,90,173,22,46,32,47,13,4,71,,,,,,PA,,,90.0
2021-12-31,County,PA Pennsylvania,PA Greene County 42059,9,Housing Choice Vouchers,3,,Greene County,42059,30,100,29,97,5,14,1.2,35,307,404,13337,11051,3,31,41,10,14,14,-1,86,26,97,79,-1,7,83,7,88,24,37,-1,7,21,72,7,0,-1,-1,-1,100,-1,-1,-1,0,0,13,72,100,141,66,28,7,28,16,5,64,,,,,,PA,,,100.0
2021-12-31,County,PA Pennsylvania,PA Huntingdon County 42061,9,Housing Choice Vouchers,3,,Huntingdon County,42061,157,91,144,100,5,23,1.8,257,344,426,13267,7433,2,30,38,19,11,23,-1,74,26,97,69,3,24,73,23,57,44,31,3,36,28,33,3,4,3,-1,-1,96,-1,1,-1,1,1,6,64,92,150,30,45,25,38,17,8,64,,,,,,PA,,,96.0
2021-12-31,County,PA Pennsylvania,PA Indiana County 42063,9,Housing Choice Vouchers,3,,Indiana County,42063,573,87,479,96,7,16,1.4,660,316,425,13131,9530,5,24,42,17,14,11,1,86,27,96,67,2,13,71,14,67,64,52,1,29,28,42,5,11,7,1,0,89,0,2,-1,2,1,10,79,46,162,45,42,13,36,13,9,63,,,,,,PA,,,89.0
2021-12-31,County,PA Pennsylvania,PA Jefferson County 42065,9,Housing Choice Vouchers,3,,Jefferson County,42065,309,81,275,100,9,15,1.6,439,335,450,12493,7826,5,24,42,17,12,10,0,85,25,97,69,2,20,76,19,65,55,42,2,35,27,37,6,1,1,-1,0,99,0,-1,-1,0,0,11,82,78,204,64,23,13,7,19,3,68,,,,,,PA,,,99.0
2021-12-31,County,PA Pennsylvania,PA Juniata County 42067,9,Housing Choice Vouchers,3,,Juniata County,42067,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,PA,,,
2021-12-31,County,PA Pennsylvania,PA Lackawanna County 42069,9,Housing Choice Vouchers,3,,Lackawanna County,42069,2072,78,1594,99,6,13,1.9,3013,360,530,13852,7329,5,22,35,19,19,16,1,77,25,96,69,2,30,79,30,43,54,28,1,39,21,39,4,31,15,0,1,69,2,13,0,15,1,18,95,88,182,44,29,27,20,19,15,54,,,,,,PA,,,69.0
2021-12-31,County,PA Pennsylvania,PA Lancaster County 42071,9,Housing Choice Vouchers,3,,Lancaster County,42071,1885,86,1663,100,5,9,2.4,3921,371,741,14682,6227,6,25,29,17,23,22,3,67,21,96,79,3,43,82,44,41,81,28,1,52,22,25,1,74,22,0,0,26,2,49,1,51,0,34,113,89,141,35,27,38,13,20,43,26,,,,,,PA,,,26.0
2021-12-31,County,PA Pennsylvania,PA Lawrence County 42073,9,Housing Choice Vouchers,3,,Lawrence County,42073,433,56,226,94,5,14,1.6,356,304,352,13627,8651,6,23,40,16,16,17,3,80,27,95,68,1,23,75,23,52,22,27,3,29,24,44,5,20,17,1,-1,80,0,1,-1,2,0,5,110,91,120,54,36,9,13,21,15,69,,,,,,PA,,,80.0
2021-12-31,County,PA Pennsylvania,PA Lebanon County 42075,9,Housing Choice Vouchers,3,,Lebanon County,42075,773,64,420,84,9,7,2.0,822,354,491,13683,6991,9,20,40,12,19,18,1,76,22,96,80,3,31,72,31,47,69,33,1,40,25,35,0,62,11,1,-1,38,1,49,1,50,2,22,115,95,138,50,22,28,13,21,32,35,,,,,,PA,,,38.0
2021-12-31,County,PA Pennsylvania,PA Lehigh County 42077,9,Housing Choice Vouchers,3,,Lehigh County,42077,3253,77,2488,99,5,7,2.2,5359,379,751,15226,7069,6,24,33,15,23,20,1,75,23,95,77,3,34,82,35,45,68,32,1,43,22,34,3,68,15,0,0,32,3,49,1,52,1,36,137,90,135,42,23,35,17,23,50,22,,,,,,PA,,,32.0
2021-12-31,County,PA Pennsylvania,PA Luzerne County 42079,9,Housing Choice Vouchers,3,,Luzerne County,42079,2583,72,1786,96,6,8,2.3,4135,351,569,13791,5957,8,24,32,16,20,22,1,69,24,95,74,4,44,84,45,34,61,22,1,52,20,26,2,44,25,0,0,56,3,15,0,19,2,20,108,90,201,28,28,43,22,22,19,50,,,,,,PA,,,56.0
2021-12-31,County,PA Pennsylvania,PA Lycoming County 42081,9,Housing Choice Vouchers,3,,Lycoming County,42081,676,73,491,99,5,8,2.0,989,349,547,14164,7032,6,20,44,13,18,18,2,77,26,94,74,3,34,80,36,47,79,34,1,42,22,35,3,44,38,1,-1,56,2,2,1,5,4,33,106,80,185,37,28,35,26,23,17,54,,,,,,PA,,,56.0
2021-12-31,County,PA Pennsylvania,PA McKean County 42083,9,Housing Choice Vouchers,3,,Mc Kean County,42083,482,83,399,100,5,18,1.8,702,334,451,13006,7392,4,31,35,15,15,14,2,79,26,96,69,5,21,64,19,48,53,33,3,38,26,33,4,5,1,0,0,95,2,2,-1,3,2,13,79,78,134,47,29,25,23,24,5,72,,,,,,PA,,,95.0
2021-12-31,County,PA Pennsylvania,PA Mercer County 42085,9,Housing Choice Vouchers,3,,Mercer County,42085,389,92,352,99,5,11,2.1,736,335,426,13511,6462,4,26,36,15,19,18,1,75,25,97,68,2,36,84,36,52,69,31,1,43,27,30,1,52,49,0,-1,48,-1,2,0,2,2,38,97,88,154,25,33,42,37,25,26,72,,,,,,PA,,,48.0
2021-12-31,County,PA Pennsylvania,PA Mifflin County 42087,9,Housing Choice Vouchers,3,,Mifflin County,42087,223,83,196,100,5,17,1.6,310,296,394,11346,7173,10,24,41,20,5,13,4,78,23,100,73,4,24,78,26,55,49,37,1,36,24,39,3,11,5,1,-1,89,1,5,-1,5,0,7,75,85,152,49,31,19,23,18,5,57,,,,,,PA,,,89.0
2021-12-31,County,PA Pennsylvania,PA Monroe County 42089,9,Housing Choice Vouchers,3,,Monroe County,42089,506,91,635,100,7,3,2.7,1708,453,1179,16654,6191,5,17,29,18,30,22,1,71,24,94,71,6,42,86,44,40,55,23,0,49,23,28,3,69,38,1,0,31,13,17,-1,30,6,49,139,90,249,26,17,56,24,13,37,76,,,,,,PA,,,31.0
2021-12-31,County,PA Pennsylvania,PA Montgomery County 42091,9,Housing Choice Vouchers,3,,Montgomery County,42091,2996,73,2270,100,5,5,2.5,5632,397,1104,15877,6399,5,22,28,15,30,26,1,60,20,95,79,1,47,87,46,34,68,21,1,53,22,24,2,72,64,0,1,28,0,6,0,7,0,18,141,96,166,36,27,37,8,15,45,29,,,,,,PA,,,28.0
2021-12-31,County,PA Pennsylvania,PA Montour County 42093,9,Housing Choice Vouchers,3,,Montour County,42093,154,63,92,94,5,18,1.5,135,382,391,15489,10555,3,17,36,22,22,25,1,74,26,97,68,1,21,71,21,51,35,31,2,26,32,40,5,11,2,-1,1,89,-1,8,-1,8,0,5,83,73,145,54,35,11,21,13,7,51,,,,,,PA,,,89.0
