sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Abbeville County,45001,-1,-1,48.0,-1.0,4.0,10.0,2.0,97.0,217.0,347.0,8.8,4.3,21.0,52.0,17.0,10.0,0.0,21.0,13.0,60.0,22.0,100.0,79.0,6.0,42.0,83.0,48.0,38.0,78.0,24.0,4.0,58.0,19.0,19.0,0.0,75.0,75.0,0.0,0.0,0.0,11.0,61.0,100.0,159.0,31.0,31.0,38.0,21.0,37,15,57,-1,-1,-1,-1,-1,SC,-1,-1,25.0
9,3,VO,-1,Aiken County,45003,-1,-1,887.0,-1.0,5.0,15.0,2.8,2503.0,250.0,448.0,11.2,4.0,20.0,33.0,25.0,14.0,9.0,47.0,10.0,37.0,22.0,97.0,73.0,15.0,56.0,94.0,69.0,16.0,35.0,7.0,7.0,69.0,13.0,11.0,1.0,91.0,88.0,0.0,0.0,3.0,19.0,58.0,96.0,157.0,9.0,35.0,56.0,21.0,38,17,52,-1,-1,-1,-1,-1,SC,-1,-1,9.0
9,3,VO,-1,Allendale County,45005,-1,-1,40.0,-1.0,7.0,20.0,3.2,127.0,254.0,461.0,8.3,2.6,38.0,30.0,15.0,13.0,5.0,40.0,0.0,60.0,20.0,95.0,80.0,18.0,55.0,98.0,73.0,25.0,100.0,12.0,8.0,70.0,13.0,10.0,0.0,95.0,95.0,0.0,0.0,0.0,9.0,52.0,100.0,201.0,0.0,10.0,90.0,28.0,72,34,48,-1,-1,-1,-1,-1,SC,-1,-1,5.0
9,3,VO,-1,Anderson County,45007,-1,-1,965.0,-1.0,4.0,5.0,2.5,2393.0,248.0,462.0,10.7,4.4,20.0,35.0,24.0,13.0,8.0,27.0,17.0,51.0,22.0,97.0,75.0,11.0,45.0,89.0,55.0,32.0,69.0,17.0,4.0,60.0,16.0,20.0,2.0,74.0,72.0,0.0,0.0,2.0,24.0,68.0,98.0,165.0,9.0,43.0,47.0,33.0,36,20,51,-1,-1,-1,-1,-1,SC,-1,-1,26.0
9,3,VO,-1,Bamberg County,45009,-1,-1,28.0,-1.0,7.0,7.0,2.7,75.0,265.0,378.0,9.5,3.5,21.0,36.0,32.0,0.0,11.0,14.0,0.0,86.0,23.0,100.0,71.0,14.0,46.0,96.0,61.0,44.0,100.0,19.0,0.0,71.0,18.0,11.0,0.0,96.0,96.0,0.0,0.0,0.0,-2.0,70.0,100.0,193.0,11.0,32.0,57.0,25.0,63,26,44,-1,-1,-1,-1,-1,SC,-1,-1,4.0
9,3,VO,-1,Barnwell County,45011,-1,-1,57.0,-1.0,7.0,21.0,3.2,184.0,261.0,421.0,9.2,2.8,26.0,33.0,23.0,12.0,5.0,35.0,5.0,60.0,17.0,98.0,89.0,28.0,47.0,93.0,72.0,26.0,75.0,10.0,5.0,74.0,14.0,7.0,0.0,82.0,82.0,0.0,0.0,0.0,3.0,44.0,100.0,169.0,2.0,23.0,75.0,26.0,44,21,45,-1,-1,-1,-1,-1,SC,-1,-1,18.0
9,3,VO,-1,Beaufort County,45013,-1,-1,559.0,-1.0,6.0,20.0,2.5,1394.0,305.0,541.0,13.6,5.5,6.0,34.0,23.0,20.0,17.0,57.0,1.0,41.0,25.0,97.0,69.0,7.0,61.0,92.0,67.0,19.0,30.0,9.0,13.0,64.0,14.0,9.0,1.0,90.0,88.0,0.0,0.0,2.0,13.0,54.0,100.0,156.0,16.0,33.0,51.0,23.0,40,12,48,-1,-1,-1,-1,-1,SC,-1,-1,10.0
9,3,VO,-1,Berkeley County,45015,-1,-1,313.0,-1.0,5.0,14.0,3.0,945.0,266.0,634.0,11.5,3.8,23.0,30.0,21.0,12.0,14.0,45.0,7.0,45.0,21.0,96.0,75.0,15.0,61.0,95.0,76.0,16.0,83.0,8.0,4.0,75.0,13.0,8.0,1.0,86.0,83.0,1.0,0.0,1.0,22.0,56.0,100.0,179.0,6.0,34.0,60.0,16.0,35,11,58,-1,-1,-1,-1,-1,SC,-1,-1,14.0
9,3,VO,-1,Calhoun County,45017,-1,-1,5.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,SC,-1,-1,
9,3,VO,-1,Charleston County,45019,-1,-1,3764.0,-1.0,5.0,14.0,2.7,10119.0,279.0,558.0,11.8,4.4,17.0,34.0,21.0,15.0,13.0,45.0,8.0,43.0,23.0,97.0,73.0,13.0,51.0,93.0,63.0,19.0,75.0,12.0,7.0,63.0,16.0,15.0,1.0,95.0,95.0,0.0,0.0,1.0,22.0,58.0,98.0,160.0,15.0,38.0,47.0,19.0,67,28,35,-1,-1,-1,-1,-1,SC,-1,-1,5.0
9,3,VO,-1,Cherokee County,45021,-1,-1,214.0,-1.0,4.0,14.0,1.7,368.0,234.0,371.0,9.7,5.8,19.0,43.0,24.0,12.0,2.0,10.0,13.0,71.0,22.0,98.0,76.0,6.0,27.0,70.0,30.0,58.0,72.0,37.0,5.0,42.0,29.0,25.0,0.0,77.0,77.0,0.0,0.0,0.0,47.0,33.0,100.0,152.0,27.0,50.0,23.0,38.0,36,18,49,-1,-1,-1,-1,-1,SC,-1,-1,23.0
9,3,VO,-1,Chester County,45023,-1,-1,268.0,-1.0,4.0,15.0,2.2,587.0,245.0,306.0,9.8,4.5,17.0,46.0,24.0,9.0,5.0,27.0,7.0,65.0,26.0,96.0,68.0,10.0,43.0,79.0,49.0,45.0,89.0,25.0,12.0,51.0,22.0,14.0,0.0,78.0,78.0,0.0,0.0,0.0,12.0,64.0,93.0,127.0,28.0,49.0,23.0,15.0,49,19,55,-1,-1,-1,-1,-1,SC,-1,-1,22.0
9,3,VO,-1,Chesterfield County,45025,-1,-1,167.0,-1.0,5.0,12.0,2.2,365.0,229.0,300.0,9.6,4.4,19.0,43.0,25.0,7.0,6.0,25.0,16.0,59.0,25.0,98.0,68.0,10.0,38.0,83.0,46.0,45.0,50.0,22.0,4.0,52.0,23.0,22.0,4.0,81.0,81.0,0.0,0.0,1.0,12.0,70.0,100.0,156.0,22.0,46.0,32.0,27.0,43,21,53,-1,-1,-1,-1,-1,SC,-1,-1,19.0
9,3,VO,-1,Clarendon County,45027,-1,-1,182.0,-1.0,4.0,5.0,2.6,480.0,217.0,373.0,8.8,3.3,26.0,41.0,18.0,13.0,3.0,26.0,27.0,46.0,22.0,99.0,80.0,18.0,50.0,95.0,68.0,33.0,76.0,20.0,5.0,58.0,23.0,14.0,1.0,96.0,95.0,1.0,0.0,1.0,4.0,68.0,100.0,160.0,3.0,38.0,59.0,32.0,62,29,46,-1,-1,-1,-1,-1,SC,-1,-1,4.0
9,3,VO,-1,Colleton County,45029,-1,-1,145.0,-1.0,4.0,6.0,2.9,415.0,258.0,364.0,10.7,3.7,14.0,39.0,23.0,15.0,8.0,30.0,21.0,49.0,26.0,97.0,65.0,15.0,51.0,86.0,61.0,39.0,79.0,20.0,6.0,66.0,12.0,17.0,2.0,86.0,85.0,1.0,0.0,1.0,14.0,50.0,100.0,166.0,14.0,33.0,53.0,17.0,51,23,50,-1,-1,-1,-1,-1,SC,-1,-1,14.0
9,3,VO,-1,Darlington County,45031,-1,-1,245.0,-1.0,6.0,17.0,2.6,628.0,216.0,342.0,9.7,3.8,22.0,43.0,19.0,13.0,4.0,33.0,7.0,56.0,24.0,97.0,74.0,7.0,62.0,89.0,67.0,26.0,52.0,14.0,14.0,60.0,17.0,9.0,1.0,87.0,86.0,0.0,0.0,1.0,14.0,46.0,100.0,135.0,23.0,53.0,24.0,4.0,55,28,47,-1,-1,-1,-1,-1,SC,-1,-1,13.0
9,3,VO,-1,Dillon County,45033,-1,-1,190.0,-1.0,4.0,14.0,2.8,535.0,210.0,366.0,9.0,3.2,23.0,43.0,21.0,11.0,3.0,31.0,25.0,42.0,22.0,99.0,79.0,17.0,55.0,91.0,70.0,32.0,55.0,13.0,11.0,62.0,16.0,12.0,1.0,92.0,89.0,2.0,0.0,0.0,8.0,57.0,100.0,124.0,13.0,29.0,59.0,14.0,56,30,37,-1,-1,-1,-1,-1,SC,-1,-1,8.0
9,3,VO,-1,Dorchester County,45035,-1,-1,632.0,-1.0,4.0,7.0,2.8,1782.0,276.0,568.0,12.3,4.3,17.0,29.0,24.0,16.0,14.0,37.0,14.0,46.0,23.0,96.0,70.0,16.0,55.0,91.0,68.0,33.0,74.0,16.0,4.0,70.0,17.0,9.0,0.0,88.0,87.0,0.0,0.0,0.0,31.0,60.0,99.0,171.0,8.0,41.0,52.0,21.0,35,10,54,-1,-1,-1,-1,-1,SC,-1,-1,12.0
9,3,VO,-1,Edgefield County,45037,-1,-1,204.0,-1.0,5.0,6.0,2.3,469.0,222.0,425.0,10.1,4.4,21.0,37.0,24.0,14.0,4.0,25.0,14.0,56.0,22.0,98.0,73.0,10.0,42.0,92.0,51.0,28.0,67.0,19.0,5.0,49.0,13.0,32.0,2.0,86.0,85.0,0.0,0.0,0.0,25.0,62.0,100.0,162.0,20.0,32.0,48.0,29.0,43,16,54,-1,-1,-1,-1,-1,SC,-1,-1,14.0
9,3,VO,-1,Fairfield County,45039,-1,-1,148.0,-1.0,4.0,5.0,2.2,332.0,202.0,405.0,8.9,4.0,16.0,56.0,18.0,7.0,3.0,15.0,21.0,62.0,18.0,99.0,92.0,9.0,41.0,80.0,51.0,52.0,91.0,30.0,3.0,63.0,19.0,15.0,1.0,91.0,91.0,0.0,0.0,0.0,15.0,91.0,100.0,166.0,14.0,37.0,49.0,38.0,57,23,48,-1,-1,-1,-1,-1,SC,-1,-1,9.0
9,3,VO,-1,Florence County,45041,-1,-1,751.0,-1.0,5.0,15.0,2.7,2022.0,239.0,389.0,9.7,3.6,22.0,42.0,20.0,10.0,5.0,36.0,17.0,42.0,22.0,97.0,78.0,14.0,53.0,93.0,66.0,28.0,40.0,13.0,5.0,70.0,15.0,11.0,1.0,93.0,93.0,0.0,0.0,0.0,12.0,64.0,100.0,124.0,6.0,36.0,58.0,28.0,62,23,49,-1,-1,-1,-1,-1,SC,-1,-1,7.0
