gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,SC South Carolina,SC Abbeville County 45001,9,Housing Choice Vouchers,3,A,Abbeville County,45001,57.0,98,58,100,5.04758739643985,28,2.17235594508807,121.588725512016,245.107402852729,403.581262675278,8801.84136859026,4051.74915671262,19,47,22,10,2,21,16,60,23,98,78,0,52,84,52,31,78,19,2,62,21,16,0,84,83,0,2,0,41.7570217456216,59.1341757200842,100,190.434704717662,28,28,45,24,28,39,61,A,A,A,-1,-1,SC,-1,A,16.0
County,SC South Carolina,SC Aiken County 45003,9,Housing Choice Vouchers,3,A,Aiken County,45003,963.0,98,980,100,4.58481697085941,12,2.72713273944104,2584.67245817077,293.635535710572,491.470030694554,11339.5714790104,4158.05630397536,20,29,23,17,11,35,17,45,23,97,73,2,66,95,66,22,44,10,3,72,15,11,1,90,88,0,0,2,24.6743829698406,65.9151299728279,97,188.426197612883,8,37,55,24,23,48,64,A,A,A,-1,-1,SC,-1,A,10.0
County,SC South Carolina,SC Allendale County 45005,9,Housing Choice Vouchers,3,A,Allendale County,45005,46.0,94,43,99,7.31317829457365,5,2.93023255813953,127.179775280899,322.232558139535,488.142857142857,8956.97674418605,3056.74603174603,28,33,23,12,5,29,0,71,21,95,84,0,67,91,67,33,100,13,5,74,14,7,0,100,100,0,0,0,12.35,66.2100775193798,100,246.720930232558,0,12,88,49,45,80,63,A,A,A,-1,-1,SC,-1,A,0.0
County,SC South Carolina,SC Anderson County 45007,9,Housing Choice Vouchers,3,A,Anderson County,45007,1089.0,98,1066,98,5.32802664384386,8,2.37079586422942,2531.99011995565,277.218718247037,508.733110624482,10826.115415156,4566.4477395547,19,33,26,13,10,23,18,57,23,97,73,1,51,90,52,31,50,17,3,59,16,22,2,75,74,0,0,2,30.5018584678081,77.0436751199834,96,185.197770364274,11,40,48,36,28,44,68,A,A,A,-1,-1,SC,-1,A,25.0
County,SC South Carolina,SC Bamberg County 45009,9,Housing Choice Vouchers,3,A,Bamberg County,45009,25.0,94,23,99,7.71449275362319,9,3.17391304347826,73.6835205992509,318.173913043478,462.434782608696,10519.0869565217,3314.23287671233,17,43,22,9,9,26,0,74,24,100,74,0,65,100,65,45,100,15,0,65,30,4,0,96,96,0,0,0,12.9,90.8231884057971,100,250.173913043478,4,35,61,22,31,70,70,A,A,A,-1,-1,SC,-1,A,4.0
County,SC South Carolina,SC Barnwell County 45011,9,Housing Choice Vouchers,3,A,Barnwell County,45011,59.0,94,55,99,9.02181818181818,2,3.03636363636364,168.563670411985,308.781818181818,456.254545454546,10046.9636363636,3308.88023952096,27,33,15,13,13,31,5,64,22,96,69,0,64,95,62,33,75,14,2,71,20,7,0,93,93,0,0,0,154.766666666667,67.3321212121212,100,206.090909090909,2,33,65,33,30,53,57,A,A,A,-1,-1,SC,-1,A,7.0
County,SC South Carolina,SC Beaufort County 45013,9,Housing Choice Vouchers,3,A,Beaufort County,45013,525.0,94,521,100,5.33326935380685,18,2.53742802303266,1256.0932748538,357.46833013436,573.534749034755,15088.6410748562,5946.43116490167,3,29,25,20,23,57,1,43,25,97,71,1,66,92,66,18,43,10,5,71,15,10,0,81,79,1,0,2,30.0487455197132,52.520345489444,100,178.213051823418,13,43,45,21,12,44,56,A,A,A,-1,-1,SC,-1,A,19.0
County,SC South Carolina,SC Berkeley County 45015,9,Housing Choice Vouchers,3,A,Berkeley County,45015,394.0,90,350,99,5.7025212478192,4,3.0146172717304,1066.53195238414,342.745314209416,660.589331343724,13125.8948609651,4354.08334718085,18,28,18,15,21,43,8,48,23,96,71,3,68,96,70,21,92,11,0,71,18,10,1,85,82,1,1,3,28.7114325331646,57.1575190739721,99,200.41606112437,6,31,64,23,13,41,64,A,A,A,-1,-1,SC,-1,A,15.0
County,SC South Carolina,SC Calhoun County 45017,9,Housing Choice Vouchers,3,A,Calhoun County,45017,6.0,95,6,99,4.89549053103589,-4,-4.0,-4.0,-4.0,-4.0,-4.0,2031.14985420688,-4,-4,-4,-4,-4,-4,-4,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,83,-4,-4,-4,-4,-1.0,48.3713081754748,-4,-4.0,-4,-4,-4,-4,17,54,67,A,A,A,-1,-1,SC,-1,A,17.0
County,SC South Carolina,SC Charleston County 45019,9,Housing Choice Vouchers,3,A,Charleston County,45019,3961.0,90,3530,98,5.91672439491806,10,2.56237243650541,9119.26372534884,308.528701595919,592.347759000715,11887.8881375799,4639.40681230269,16,33,22,15,14,37,10,50,22,97,75,1,56,90,56,22,74,14,1,61,19,18,1,94,93,0,0,1,38.180961737428,60.3017032170537,97,168.357036144309,16,39,45,24,29,69,50,A,A,A,-1,-1,SC,-1,A,6.0
