gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,SC South Carolina,SC Abbeville County 45001,9,Housing Choice Vouchers,3,,Abbeville County,45001,53,99,53,100,5,15,2.1,111,260,522,9872,4714,14,46,20,14,6,26,-1,68,25,94,70,-1,47,81,47,42,50,21,2,62,21,15,-1,81,81,-1,-1,19,-1,-1,-1,0,2,39,77,100,180,26,40,34,28,25,38,69,,,,,,SC,,,19.0
County,SC South Carolina,SC Aiken County 45003,9,Housing Choice Vouchers,3,,Aiken County,45003,971,93,907,100,5,11,2.7,2457,294,583,11911,4397,16,27,25,17,15,40,1,54,25,94,66,2,63,95,64,25,51,12,3,67,18,11,0,91,90,0,-1,9,0,1,0,1,0,42,84,97,202,9,35,56,26,26,48,64,,,,,,SC,,,9.0
County,SC South Carolina,SC Allendale County 45005,9,Housing Choice Vouchers,3,,Allendale County,45005,41,83,35,100,8,-1,3.0,105,295,665,9152,3051,26,40,17,14,3,23,-1,77,22,97,77,-1,71,91,71,33,100,12,3,71,20,6,-1,100,100,-1,-1,-1,-1,-1,-1,0,0,-1,87,100,268,-1,14,86,40,37,80,63,,,,,,SC,,,0.0
County,SC South Carolina,SC Anderson County 45007,9,Housing Choice Vouchers,3,,Anderson County,45007,1072,101,1089,100,5,15,2.3,2556,303,498,11549,4920,11,34,29,14,12,27,1,68,26,95,64,1,48,90,48,34,46,18,2,56,18,25,2,75,74,0,0,25,-1,1,-1,1,0,29,86,98,183,14,41,45,36,29,44,68,,,,,,SC,,,25.0
County,SC South Carolina,SC Bamberg County 45009,9,Housing Choice Vouchers,3,,Bamberg County,45009,31,83,26,100,7,8,3.0,78,331,665,11964,3988,19,46,8,15,12,27,-1,73,28,88,73,-1,62,100,62,48,100,19,-1,62,19,19,-1,96,96,-1,-1,4,-1,-1,-1,0,0,30,108,100,269,8,35,58,19,28,70,71,,,,,,SC,,,4.0
County,SC South Carolina,SC Barnwell County 45011,9,Housing Choice Vouchers,3,,Barnwell County,45011,52,83,44,100,8,11,2.7,117,286,665,10063,3784,30,32,14,18,7,30,7,64,24,93,66,-1,59,93,57,32,67,15,-1,66,27,7,-1,95,95,-1,-1,5,-1,-1,-1,0,0,33,96,100,213,5,34,61,41,32,54,57,,,,,,SC,,,5.0
County,SC South Carolina,SC Beaufort County 45013,9,Housing Choice Vouchers,3,,Beaufort County,45013,567,87,504,100,5,19,2.5,1276,353,672,15142,5981,5,25,27,17,26,52,1,46,28,94,62,1,64,91,64,19,46,10,7,65,17,10,0,88,86,-1,0,12,0,2,-1,2,0,19,67,100,176,11,46,43,24,14,46,54,,,,,,SC,,,12.0
County,SC South Carolina,SC Berkeley County 45015,9,Housing Choice Vouchers,3,,Berkeley County,45015,394,83,333,100,6,10,3.0,998,345,664,12716,4243,17,28,19,16,19,44,1,53,23,97,74,4,66,95,66,20,85,11,2,68,18,12,1,88,85,1,0,12,1,1,1,2,0,34,75,100,218,5,32,63,25,16,42,64,,,,,,SC,,,12.0
County,SC South Carolina,SC Calhoun County 45017,9,Housing Choice Vouchers,3,,Calhoun County,45017,2,-4,2,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SC,,,
County,SC South Carolina,SC Charleston County 45019,9,Housing Choice Vouchers,3,,Charleston County,45019,3985,91,3625,100,5,15,2.6,9244,335,643,12072,4734,14,33,23,16,15,41,0,56,23,96,73,1,54,89,55,23,72,15,3,58,20,20,1,94,92,0,0,6,1,0,0,1,0,22,74,98,189,18,41,41,24,31,71,49,,,,,,SC,,,6.0
