Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,SC South Carolina,SC Abbeville County 45001,9,Housing Choice Vouchers,3,,Abbeville County,45001,42,97,40,100,5,5,1.8,70,304,453,10879,6217,3,42,45,-1,11,10,-1,85,28,98,60,-1,28,75,28,64,47,36,-1,45,18,38,-1,88,88,-1,-1,13,-1,-1,-1,0,3,2,104,100,179,45,35,20,25,24,35,67,,,,,,SC,,,12.0
2018-12-31,County,SC South Carolina,SC Aiken County 45003,9,Housing Choice Vouchers,3,,Aiken County,45003,970,93,896,99,5,8,2.7,2454,321,539,12545,4580,19,26,20,17,19,42,1,53,23,94,70,1,61,95,61,21,53,11,1,68,15,16,0,92,91,0,0,8,0,1,0,1,1,16,95,97,208,7,30,62,33,26,47,65,,,,,,SC,,,8.0
2018-12-31,County,SC South Carolina,SC Allendale County 45005,9,Housing Choice Vouchers,3,,Allendale County,45005,52,89,45,98,7,7,3.1,139,324,600,11112,3597,27,24,20,13,16,47,-1,53,26,89,62,2,69,93,71,21,100,10,2,76,16,7,-1,100,100,-1,-1,-1,-1,-1,-1,0,0,25,89,100,265,-1,9,91,36,32,81,62,,,,,,SC,,,0.0
2018-12-31,County,SC South Carolina,SC Anderson County 45007,9,Housing Choice Vouchers,3,,Anderson County,45007,1011,97,987,100,6,13,2.2,2188,316,636,12449,5616,11,30,30,13,15,27,0,69,26,95,63,1,43,89,44,37,50,20,2,52,18,27,2,77,76,-1,0,23,0,1,-1,1,0,14,96,97,181,15,44,41,41,29,47,69,,,,,,SC,,,23.0
2018-12-31,County,SC South Carolina,SC Bamberg County 45009,9,Housing Choice Vouchers,3,,Bamberg County,45009,37,89,32,98,8,-1,2.9,93,295,600,12119,4170,9,47,19,9,16,41,-1,59,28,97,69,-1,69,100,69,38,100,17,6,56,19,19,-1,97,97,-1,-1,3,-1,-1,-1,0,0,-1,110,100,233,6,31,63,31,25,66,61,,,,,,SC,,,3.0
2018-12-31,County,SC South Carolina,SC Barnwell County 45011,9,Housing Choice Vouchers,3,,Barnwell County,45011,46,89,40,98,8,18,2.3,93,314,600,11651,5011,13,38,20,20,10,48,-1,53,30,93,55,-1,53,98,53,30,80,20,-1,58,18,25,-1,98,98,-1,-1,3,-1,-1,-1,0,0,110,87,100,213,3,45,53,55,29,54,56,,,,,,SC,,,2.0
2018-12-31,County,SC South Carolina,SC Beaufort County 45013,9,Housing Choice Vouchers,3,,Beaufort County,45013,582,94,545,99,6,13,2.5,1361,386,619,16963,6793,1,26,21,19,32,52,0,47,28,93,64,1,63,94,63,18,52,11,6,65,14,15,1,89,87,-1,0,11,-1,2,-1,2,0,20,70,100,178,10,42,48,30,18,47,55,,,,,,SC,,,11.0
2018-12-31,County,SC South Carolina,SC Berkeley County 45015,9,Housing Choice Vouchers,3,,Berkeley County,45015,476,93,434,99,5,11,2.9,1261,369,611,14624,5033,13,25,19,15,28,47,1,47,22,95,72,2,68,95,68,16,70,10,2,73,14,11,-1,93,90,0,-1,7,1,1,0,3,0,8,78,100,194,7,39,53,22,15,41,65,,,,,,SC,,,7.0
2018-12-31,County,SC South Carolina,SC Calhoun County 45017,9,Housing Choice Vouchers,3,,Calhoun County,45017,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SC,,,
2018-12-31,County,SC South Carolina,SC Charleston County 45019,9,Housing Choice Vouchers,3,,Charleston County,45019,4018,93,3687,99,5,10,2.5,9146,351,624,14264,5750,12,28,20,15,25,43,1,53,23,96,73,1,52,87,52,20,62,14,2,56,18,24,1,93,92,0,0,7,1,0,0,1,0,17,84,97,168,21,41,38,25,30,73,47,,,,,,SC,,,7.0
