Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2022-12-31,County,SC South Carolina,SC Abbeville County 45001,9,Housing Choice Vouchers,3,,Abbeville County,45001,68,92,62,99,5,23,2.0,123,283,490,11164,5627,6,15,56,15,9,16,-1,71,24,98,71,2,34,71,27,54,63,30,-1,52,23,26,2,79,79,-1,-1,21,-1,-1,-1,0,3,12,84,100,140,31,39,31,31,9,20,32,,,,,,SC,,,21.0
2022-12-31,County,SC South Carolina,SC Aiken County 45003,9,Housing Choice Vouchers,3,,Aiken County,45003,1069,86,942,100,5,10,2.7,2558,336,690,14515,5345,16,14,30,13,26,39,2,52,23,93,73,1,61,93,60,19,62,11,1,66,14,19,0,93,91,0,-1,7,1,1,-1,2,1,51,97,98,196,7,32,61,37,9,18,32,,,,,,SC,,,7.0
2022-12-31,County,SC South Carolina,SC Allendale County 45005,9,Housing Choice Vouchers,3,,Allendale County,45005,46,78,37,100,7,3,3.1,113,342,716,13098,4289,27,8,38,3,24,43,3,54,26,81,68,-1,68,97,68,26,100,14,-1,78,14,8,-1,100,100,-1,-1,-1,-1,-1,-1,0,0,31,111,100,274,-1,5,95,32,0,0,0,,,,,,SC,,,0.0
2022-12-31,County,SC South Carolina,SC Anderson County 45007,9,Housing Choice Vouchers,3,,Anderson County,45007,1000,89,885,100,6,8,2.1,1879,336,516,13320,6274,10,11,46,16,17,23,0,72,23,96,75,1,40,89,40,36,58,22,2,47,20,31,2,76,75,-1,0,24,0,1,-1,1,0,11,109,98,169,15,46,39,43,18,35,50,,,,,,SC,,,24.0
2022-12-31,County,SC South Carolina,SC Bamberg County 45009,9,Housing Choice Vouchers,3,,Bamberg County,45009,32,78,26,100,7,4,3.1,81,356,716,13492,4331,19,12,23,23,23,31,-1,69,27,92,62,-1,73,100,73,20,100,12,8,54,15,23,-1,96,96,-1,-1,4,-1,-1,-1,0,0,-1,120,100,265,8,27,65,23,1,3,4,,,,,,SC,,,4.0
2022-12-31,County,SC South Carolina,SC Barnwell County 45011,9,Housing Choice Vouchers,3,,Barnwell County,45011,37,78,30,100,8,-1,2.3,68,362,716,12466,5500,20,23,17,27,13,43,3,53,28,97,57,-1,43,97,43,23,88,21,-1,63,10,27,-1,100,100,-1,-1,-1,-1,-1,-1,0,0,-1,126,100,220,3,43,53,53,31,52,51,,,,,,SC,,,0.0
2022-12-31,County,SC South Carolina,SC Beaufort County 45013,9,Housing Choice Vouchers,3,,Beaufort County,45013,624,76,522,100,5,13,2.4,1253,450,771,19475,8113,1,15,29,15,40,43,0,56,27,92,64,1,57,91,57,23,44,13,4,57,17,22,2,85,82,-1,0,15,0,2,-1,3,0,25,85,100,147,12,38,50,34,15,42,55,,,,,,SC,,,15.0
2022-12-31,County,SC South Carolina,SC Berkeley County 45015,9,Housing Choice Vouchers,3,,Berkeley County,45015,651,88,586,100,5,14,2.7,1581,379,795,16103,5969,18,12,27,11,33,40,0,56,21,95,74,1,64,95,63,19,71,13,4,67,13,15,-1,92,88,0,0,8,2,1,1,4,0,24,85,100,178,9,44,47,25,12,36,58,,,,,,SC,,,8.0
2022-12-31,County,SC South Carolina,SC Calhoun County 45017,9,Housing Choice Vouchers,3,,Calhoun County,45017,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SC,,,
2022-12-31,County,SC South Carolina,SC Charleston County 45019,9,Housing Choice Vouchers,3,,Charleston County,45019,4172,88,3651,100,5,15,2.4,8691,379,821,15713,6601,13,14,32,12,29,35,1,60,21,96,77,1,49,86,48,22,64,17,3,52,17,28,1,94,92,0,0,6,1,0,0,2,0,22,93,98,165,21,41,38,29,26,69,44,,,,,,SC,,,6.0
2022-12-31,County,SC South Carolina,SC Cherokee County 45021,9,Housing Choice Vouchers,3,,Cherokee County,45021,171,92,156,99,6,7,2.1,322,373,491,13036,6315,6,9,51,17,16,15,1,76,29,90,56,-1,43,87,42,47,80,30,1,48,19,33,1,81,81,-1,-1,19,-1,-1,-1,0,0,12,102,100,157,13,49,37,41,26,46,55,,,,,,SC,,,19.0
