sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Aurora County,46003,-1,-1,8.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,SD,-1,-1,
9,3,VO,-1,Beadle County,46005,-1,-1,186.0,-1.0,6.0,10.0,1.4,268.0,212.0,257.0,9.6,6.8,8.0,61.0,23.0,6.0,3.0,11.0,0.0,88.0,24.0,99.0,77.0,5.0,13.0,62.0,16.0,78.0,41.0,53.0,6.0,52.0,21.0,21.0,5.0,10.0,1.0,8.0,0.0,1.0,2.0,60.0,50.0,62.0,66.0,23.0,11.0,16.0,5,13,55,-1,-1,-1,-1,-1,SD,-1,-1,90.0
9,3,VO,-1,Bennett County,46007,-1,-1,1.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,SD,-1,-1,
9,3,VO,-1,Bon Homme County,46009,-1,-1,3.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,SD,-1,-1,
9,3,VO,-1,Brookings County,46011,-1,-1,201.0,-1.0,3.0,36.0,1.8,366.0,259.0,309.0,11.3,6.2,23.0,27.0,27.0,15.0,8.0,39.0,1.0,53.0,21.0,99.0,76.0,11.0,31.0,78.0,39.0,35.0,38.0,21.0,18.0,49.0,13.0,19.0,4.0,10.0,3.0,6.0,0.0,1.0,1.0,41.0,90.0,66.0,55.0,32.0,12.0,0.0,5,17,39,-1,-1,-1,-1,-1,SD,-1,-1,90.0
9,3,VO,-1,Brown County,46013,-1,-1,342.0,-1.0,5.0,33.0,1.7,570.0,225.0,312.0,9.8,5.9,18.0,41.0,28.0,10.0,2.0,32.0,2.0,61.0,21.0,99.0,79.0,4.0,29.0,74.0,31.0,34.0,39.0,22.0,16.0,49.0,13.0,22.0,4.0,16.0,3.0,9.0,1.0,4.0,3.0,51.0,63.0,59.0,48.0,40.0,12.0,17.0,5,12,49,-1,-1,-1,-1,-1,SD,-1,-1,84.0
9,3,VO,-1,Brule County,46015,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,SD,-1,-1,
9,3,VO,-1,Buffalo County,46017,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,SD,-1,-1,
9,3,VO,-1,Butte County,46019,-1,-1,83.0,-1.0,2.0,19.0,2.6,214.0,272.0,355.0,11.3,4.4,14.0,40.0,22.0,16.0,8.0,34.0,1.0,59.0,23.0,93.0,70.0,17.0,46.0,80.0,55.0,34.0,60.0,18.0,14.0,53.0,20.0,12.0,1.0,17.0,0.0,4.0,1.0,12.0,10.0,40.0,87.0,145.0,19.0,34.0,47.0,19.0,7,11,48,-1,-1,-1,-1,-1,SD,-1,-1,83.0
9,3,VO,-1,Campbell County,46021,-1,-1,3.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,SD,-1,-1,
