gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,SD South Dakota,SD Aurora County 46003,9,Housing Choice Vouchers,3,A,Aurora County,46003,6.0,65,5,100,4.45333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,2650.17647058824,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,58.4866666666667,-4,-4.0,-4,-4,-4,-4,11,6,70,A,A,A,-1,-1,SD,-1,A,100.0
County,SD South Dakota,SD Beadle County 46005,9,Housing Choice Vouchers,3,A,Beadle County,46005,234.0,93,199,91,1.87992424242425,1,1.47738693467337,322.823529411765,267.728643216081,263.635416666667,10736.2211055277,7267.03401360544,7,54,24,9,7,14,1,85,26,95,72,2,18,56,17,77,60,52,6,55,20,20,2,16,3,10,1,4,2.04444444444444,60.7691792294808,40,149.20253164557,65,22,13,16,13,5,56,A,A,A,-1,-1,SD,-1,A,84.0
County,SD South Dakota,SD Bennett County 46007,9,Housing Choice Vouchers,3,A,Bennett County,46007,2.0,93,2,94,6.6,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8481.5,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,48.8833333333333,-4,-4.0,-4,-4,-4,-4,36,59,45,A,A,A,-1,-1,SD,-1,A,100.0
County,SD South Dakota,SD Bon Homme County 46009,9,Housing Choice Vouchers,3,A,Bon Homme County,46009,2.0,91,2,98,7.35,-4,-4.0,-4.0,-4.0,-4.0,-4.0,10520.0,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,65.65,-4,-4.0,-4,-4,-4,-4,15,3,71,A,A,A,-1,-1,SD,-1,A,100.0
County,SD South Dakota,SD Brookings County 46011,9,Housing Choice Vouchers,3,A,Brookings County,46011,278.0,89,209,85,4.44019138755981,8,2.03827751196172,503.906614785991,253.921951219513,378.745000000001,11116.7607655503,5453.99765258217,20,29,26,16,9,47,5,48,21,98,75,9,37,74,40,28,47,16,14,55,16,15,2,14,4,7,1,2,1.46041666666667,40.6149920255184,81,96.3964497041422,47,30,22,3,17,5,39,A,A,A,-1,-1,SD,-1,A,86.0
County,SD South Dakota,SD Brown County 46013,9,Housing Choice Vouchers,3,A,Brown County,46013,432.0,85,314,85,3.03486092659775,5,1.78503376594621,655.413328121943,241.207251852514,335.495306576712,9521.48394591777,5334.0637737856,23,35,26,12,4,29,2,69,21,98,78,2,34,72,34,36,41,22,13,52,11,24,4,20,4,12,2,3,8.08958333333334,55.0440122455374,65,85.7254065226176,46,40,14,16,12,5,48,A,A,A,-1,-1,SD,-1,A,80.0
County,SD South Dakota,SD Brule County 46015,9,Housing Choice Vouchers,3,A,Brule County,46015,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,SD,-1,A,
County,SD South Dakota,SD Buffalo County 46017,9,Housing Choice Vouchers,3,A,Buffalo County,46017,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,SD,-1,A,
County,SD South Dakota,SD Butte County 46019,9,Housing Choice Vouchers,3,A,Butte County,46019,110.0,93,102,99,3.65718421088218,16,2.56221424566047,261.347945747946,288.728283204015,383.614573229131,10506.6370503933,4100.60831883518,23,34,22,15,7,41,1,58,23,98,73,14,43,73,48,28,65,15,6,60,21,14,1,8,0,4,4,0,3.80076928669869,32.4396462618905,82,162.112223381133,33,30,37,5,12,7,50,A,A,A,-1,-1,SD,-1,A,92.0
County,SD South Dakota,SD Campbell County 46021,9,Housing Choice Vouchers,3,A,Campbell County,46021,3.0,95,3,93,2.34444444444444,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3274.0,-4,-4,-4,-4,-4,-4,-4,-4,21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,-4,-4,-4,-4,-1.0,43.8111111111111,-4,-4.0,-4,-4,-4,-4,14,1,71,A,A,A,-1,-1,SD,-1,A,67.0
