Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,SD South Dakota,SD Aurora County 46003,9,Housing Choice Vouchers,3,,Aurora County,46003,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
2018-12-31,County,SD South Dakota,SD Beadle County 46005,9,Housing Choice Vouchers,3,,Beadle County,46005,258,73,191,100,5,24,1.7,327,261,357,11005,6428,3,48,31,6,12,13,-1,78,22,100,82,4,19,68,21,73,74,46,4,47,27,22,3,27,5,8,5,73,-1,8,1,9,1,13,79,48,118,60,21,18,14,27,19,72,,,,,,SD,,,73.0
2018-12-31,County,SD South Dakota,SD Bennett County 46007,9,Housing Choice Vouchers,3,,Bennett County,46007,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
2018-12-31,County,SD South Dakota,SD Bon Homme County 46009,9,Housing Choice Vouchers,3,,Bon Homme County,46009,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
2018-12-31,County,SD South Dakota,SD Brookings County 46011,9,Housing Choice Vouchers,3,,Brookings County,46011,321,62,193,97,4,16,2.4,456,300,444,13641,5773,15,25,22,15,23,35,2,59,24,93,70,8,44,78,45,30,63,19,5,65,14,16,1,26,8,9,2,74,1,7,1,8,0,6,46,78,121,44,24,32,1,18,8,52,,,,,,SD,,,74.0
2018-12-31,County,SD South Dakota,SD Brown County 46013,9,Housing Choice Vouchers,3,,Brown County,46013,480,71,334,99,6,15,1.7,582,292,359,12278,7046,11,30,30,16,13,22,0,74,22,98,78,1,32,75,31,43,54,28,4,46,22,29,3,24,11,7,2,76,0,3,1,4,2,22,66,55,99,51,34,16,14,14,9,55,,,,,,SD,,,76.0
2018-12-31,County,SD South Dakota,SD Butte County 46019,9,Housing Choice Vouchers,3,,Butte County,46019,108,77,86,100,4,17,2.4,203,333,458,12203,5170,8,32,25,18,17,21,1,66,22,97,74,3,43,76,43,36,100,24,3,40,35,22,2,8,1,5,-1,92,-1,2,-1,2,0,11,59,80,191,41,30,29,10,12,8,66,,,,,,SD,,,92.0
2018-12-31,County,SD South Dakota,SD Campbell County 46021,9,Housing Choice Vouchers,3,,Campbell County,46021,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
2018-12-31,County,SD South Dakota,SD Charles Mix County 46023,9,Housing Choice Vouchers,3,,Charles Mix County,46023,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
2018-12-31,County,SD South Dakota,SD Clark County 46025,9,Housing Choice Vouchers,3,,Clark County,46025,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,
