sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Anderson County,47001,-1,-1,650,-1,5,30,2.3,1523,223,408,9.3,3.9,20,47,20,8,5,24,21,54,20,99,83,9,47,83,52,47,89,25,8,64,17,11,1,17,16,0,0,0,6,54,98,124,12,47,41,26,13,17,54,-1,-1,-1,-1,-1,TN,-1,-1,83.0
9,3,VO,-1,Bedford County,47003,-1,-1,61,-1,4,38,2.4,146,255,362,10.4,4.3,11,44,23,20,2,30,21,49,26,98,64,16,34,85,49,34,55,17,13,52,16,18,2,46,43,0,0,3,4,34,100,110,26,36,38,20,25,15,56,-1,-1,-1,-1,-1,TN,-1,-1,54.0
9,3,VO,-1,Benton County,47005,-1,-1,24,-1,7,4,1.4,34,199,188,8.2,5.8,4,83,13,0,0,4,17,79,25,100,88,13,8,50,17,79,80,56,0,38,21,42,0,17,17,0,0,0,-2,75,96,101,63,21,17,17,6,16,54,-1,-1,-1,-1,-1,TN,-1,-1,83.0
9,3,VO,-1,Bledsoe County,47007,-1,-1,23,-1,4,30,2.0,45,200,238,8.7,4.4,26,39,26,4,4,17,26,57,25,91,61,17,26,70,35,39,80,31,13,39,26,22,0,13,4,0,4,4,9,33,96,88,13,65,22,30,2,11,35,-1,-1,-1,-1,-1,TN,-1,-1,87.0
9,3,VO,-1,Blount County,47009,-1,-1,476,-1,5,29,2.3,1085,240,393,10.0,4.4,20,41,22,11,7,28,21,49,22,98,78,11,44,84,51,39,77,22,5,63,19,14,0,16,14,1,0,2,19,52,96,98,12,54,35,29,10,12,57,-1,-1,-1,-1,-1,TN,-1,-1,84.0
9,3,VO,-1,Bradley County,47011,-1,-1,173,-1,5,21,2.5,440,225,347,9.7,3.8,24,40,20,10,6,29,24,42,21,97,80,7,63,88,67,29,96,19,9,61,14,15,1,36,30,1,0,6,10,60,96,90,10,50,40,18,13,20,47,-1,-1,-1,-1,-1,TN,-1,-1,64.0
9,3,VO,-1,Campbell County,47013,-1,-1,183,-1,6,38,2.6,468,206,315,7.6,3.0,30,49,19,2,1,16,30,53,20,99,86,20,42,80,54,44,100,20,5,67,20,8,0,1,1,0,0,1,5,46,98,151,7,48,45,29,3,25,56,-1,-1,-1,-1,-1,TN,-1,-1,99.0
9,3,VO,-1,Cannon County,47015,-1,-1,8,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,TN,-1,-1,
9,3,VO,-1,Carroll County,47017,-1,-1,19,-1,5,37,1.8,35,228,242,9.3,5.1,11,47,32,11,0,11,26,63,26,100,68,11,32,74,42,36,88,37,0,58,0,42,5,42,37,0,0,5,8,28,89,81,32,42,26,37,6,6,31,-1,-1,-1,-1,-1,TN,-1,-1,58.0
9,3,VO,-1,Carter County,47019,-1,-1,214,-1,5,33,2.1,458,200,321,8.7,4.2,26,43,16,13,1,25,20,52,22,99,77,12,34,80,39,42,35,20,7,55,19,19,0,4,2,0,0,1,12,41,95,127,22,49,29,23,3,17,53,-1,-1,-1,-1,-1,TN,-1,-1,96.0
9,3,VO,-1,Cheatham County,47021,-1,-1,21,-1,5,19,1.9,39,215,520,8.3,4.5,14,48,33,5,0,14,24,62,17,100,100,10,48,86,52,70,100,38,10,57,29,5,0,10,10,0,0,0,45,54,95,133,14,67,19,33,4,8,57,-1,-1,-1,-1,-1,TN,-1,-1,90.0
9,3,VO,-1,Chester County,47023,-1,-1,34,-1,4,53,3.1,106,214,487,9.3,3.0,21,44,18,15,3,38,35,26,20,100,82,12,74,88,76,19,100,11,18,68,9,6,0,50,44,0,0,6,8,22,100,136,3,21,76,24,17,17,58,-1,-1,-1,-1,-1,TN,-1,-1,50.0
9,3,VO,-1,Claiborne County,47025,-1,-1,79,-1,6,33,2.4,187,217,280,9.1,3.8,16,51,24,6,3,18,19,62,25,96,80,16,35,75,42,60,92,32,5,57,23,15,1,4,4,0,0,0,10,40,97,105,10,49,41,29,3,21,52,-1,-1,-1,-1,-1,TN,-1,-1,96.0
9,3,VO,-1,Clay County,47027,-1,-1,5,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,TN,-1,-1,
9,3,VO,-1,Cocke County,47029,-1,-1,47,-1,5,40,2.1,101,215,253,9.6,4.5,21,43,21,9,6,21,32,47,27,94,64,11,43,79,43,34,42,17,11,49,15,26,0,17,13,0,0,4,8,35,100,102,19,55,26,15,6,24,50,-1,-1,-1,-1,-1,TN,-1,-1,83.0
9,3,VO,-1,Coffee County,47031,-1,-1,222,-1,6,31,2.0,450,217,318,9.2,4.5,17,52,21,7,3,25,21,54,24,98,75,7,41,84,45,35,35,19,8,53,19,21,2,21,20,0,0,1,5,43,98,93,27,49,24,22,11,18,56,-1,-1,-1,-1,-1,TN,-1,-1,79.0
9,3,VO,-1,Crockett County,47033,-1,-1,9,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,TN,-1,-1,
9,3,VO,-1,Cumberland County,47035,-1,-1,297,-1,4,38,2.0,583,208,270,9.2,4.7,18,49,25,6,2,24,16,57,26,98,66,13,29,77,37,47,22,22,7,53,20,20,2,3,1,0,0,3,8,30,96,106,32,39,28,25,3,19,48,-1,-1,-1,-1,-1,TN,-1,-1,97.0
9,3,VO,-1,Davidson County,47037,-1,-1,5647,-1,5,20,2.7,15334,307,478,12.7,4.7,17,31,20,16,17,41,13,41,23,97,72,13,52,87,61,30,84,15,9,68,14,9,0,88,87,0,0,1,4,57,98,133,26,37,37,4,56,20,43,-1,-1,-1,-1,-1,TN,-1,-1,12.0
9,3,VO,-1,Decatur County,47039,-1,-1,4,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,TN,-1,-1,
9,3,VO,-1,DeKalb County,47041,-1,-1,28,-1,6,36,2.2,61,214,278,8.8,4.0,11,61,25,4,0,4,21,75,25,100,75,14,29,75,32,74,100,39,0,61,21,18,0,4,4,0,0,0,12,38,93,109,7,50,43,54,8,19,61,-1,-1,-1,-1,-1,TN,-1,-1,96.0
9,3,VO,-1,Dickson County,47043,-1,-1,652,-1,4,32,2.1,1337,267,404,11.2,5.5,1,52,28,12,7,27,0,72,23,98,81,8,41,84,46,40,35,22,12,48,17,23,3,11,11,0,0,0,7,49,91,75,47,36,17,1,9,12,58,-1,-1,-1,-1,-1,TN,-1,-1,89.0
9,3,VO,-1,Dyer County,47045,-1,-1,97,-1,5,31,2.4,229,253,296,10.2,4.3,10,52,24,9,5,24,20,56,26,96,73,5,47,96,52,35,58,22,3,59,19,20,3,69,68,0,0,1,12,50,99,108,16,38,45,31,19,20,49,-1,-1,-1,-1,-1,TN,-1,-1,31.0
9,3,VO,-1,Fayette County,47047,-1,-1,65,-1,4,40,2.2,143,235,294,10.3,4.7,11,49,25,9,6,29,15,55,23,98,80,8,42,92,48,40,77,24,5,60,15,20,0,60,58,0,0,2,25,37,100,127,23,46,31,26,35,18,56,-1,-1,-1,-1,-1,TN,-1,-1,40.0
9,3,VO,-1,Fentress County,47049,-1,-1,76,-1,5,50,2.3,173,222,269,9.6,4.2,21,45,17,11,7,25,18,54,26,97,71,17,36,78,42,46,89,25,13,62,13,12,0,4,0,0,0,4,6,24,96,100,4,54,42,43,2,25,52,-1,-1,-1,-1,-1,TN,-1,-1,96.0
9,3,VO,-1,Franklin County,47051,-1,-1,12,-1,6,8,1.8,21,286,184,10.0,5.7,0,67,25,0,8,0,8,92,26,100,75,8,25,58,33,67,100,43,0,42,33,25,0,33,33,0,0,0,19,71,100,105,67,25,8,0,9,13,62,-1,-1,-1,-1,-1,TN,-1,-1,67.0
9,3,VO,-1,Gibson County,47053,-1,-1,58,-1,5,22,2.2,125,184,315,7.6,3.5,36,47,9,3,5,28,33,40,20,97,90,3,48,83,50,33,50,18,10,60,22,7,0,79,78,0,0,2,25,47,98,95,24,48,28,14,28,14,60,-1,-1,-1,-1,-1,TN,-1,-1,21.0
9,3,VO,-1,Giles County,47055,-1,-1,124,-1,5,34,2.2,269,223,276,9.0,4.1,23,40,24,11,1,25,23,51,23,99,73,10,42,93,50,34,24,18,9,39,25,27,3,36,32,0,0,4,5,47,99,105,15,47,38,30,12,12,59,-1,-1,-1,-1,-1,TN,-1,-1,64.0
9,3,VO,-1,Grainger County,47057,-1,-1,13,-1,5,38,2.2,29,192,288,8.0,3.6,31,46,8,15,0,15,46,38,21,100,77,8,46,69,46,55,100,28,8,46,31,15,0,0,0,0,0,0,13,71,100,130,8,54,38,31,3,20,57,-1,-1,-1,-1,-1,TN,-1,-1,100.0
9,3,VO,-1,Greene County,47059,-1,-1,141,-1,4,57,2.1,293,198,333,8.3,4.0,23,48,23,6,1,22,17,57,22,100,77,13,35,82,45,44,52,23,11,53,18,18,1,13,12,0,0,1,6,24,97,85,27,48,26,19,10,22,45,-1,-1,-1,-1,-1,TN,-1,-1,87.0
9,3,VO,-1,Grundy County,47061,-1,-1,7,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,TN,-1,-1,
9,3,VO,-1,Hamblen County,47063,-1,-1,313,-1,5,34,2.2,689,246,290,9.9,4.5,15,46,24,11,4,27,19,53,26,95,68,9,44,87,50,38,75,23,12,55,17,16,1,17,16,0,0,1,7,41,99,92,18,56,27,19,18,24,53,-1,-1,-1,-1,-1,TN,-1,-1,83.0
9,3,VO,-1,Hamilton County,47065,-1,-1,2984,-1,5,29,2.5,7603,271,444,11.0,4.3,26,32,19,13,10,33,21,37,22,95,72,11,50,90,59,26,69,15,9,61,16,14,1,80,78,0,0,2,7,46,87,150,18,44,38,18,54,24,45,-1,-1,-1,-1,-1,TN,-1,-1,20.0
9,3,VO,-1,Hancock County,47067,-1,-1,11,-1,6,18,2.4,26,210,279,8.7,3.7,9,82,9,0,0,9,18,73,24,100,82,9,36,91,45,75,100,35,9,55,9,27,0,0,0,0,0,0,8,75,100,119,0,55,45,55,3,25,55,-1,-1,-1,-1,-1,TN,-1,-1,100.0
9,3,VO,-1,Hardeman County,47069,-1,-1,40,-1,5,13,2.8,111,195,356,8.3,3.0,20,58,13,8,3,18,35,48,22,100,85,8,53,98,58,31,63,18,15,50,15,20,5,88,88,0,0,0,27,63,100,126,13,30,58,25,47,20,58,-1,-1,-1,-1,-1,TN,-1,-1,12.0
