gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,TN Tennessee,TN Anderson County 47001,9,Housing Choice Vouchers,3,A,Anderson County,47001,768.0,86,668,99,5.76341709621573,7,2.33746356167177,1550.74884104826,287.369810829717,494.298827352581,10894.8719492296,4660.98044387801,15,40,24,13,8,20,16,61,22,98,80,5,47,82,49,46,75,25,3,61,22,13,0,25,23,1,0,1,25.3823550376581,74.4564389626237,93,184.31215605495,11,48,42,33,23,16,65,A,A,A,-1,-1,TN,-1,A,75.0
County,TN Tennessee,TN Bedford County 47003,9,Housing Choice Vouchers,3,A,Bedford County,47003,42.0,99,41,98,5.43414634146341,2,2.34146341463415,98.1832722425858,362.731707317073,453.205128205128,10953.1707317073,4677.91666666667,10,44,32,7,7,12,10,68,27,93,68,2,41,90,44,38,67,23,0,51,20,29,2,41,41,0,0,0,63.2,85.9292682926829,100,184.80487804878,22,29,49,34,30,31,62,A,A,A,-1,-1,TN,-1,A,59.0
County,TN Tennessee,TN Benton County 47005,9,Housing Choice Vouchers,3,A,Benton County,47005,15.0,99,15,98,6.41777777777778,0,1.0,15.341136287904,322.933333333333,193.466666666667,9248.93333333334,9248.93333333334,0,87,13,0,0,7,0,93,28,100,87,0,0,40,0,83,89,87,0,27,13,60,0,20,20,0,0,0,-1.0,146.622222222222,93,184.0,80,7,13,20,21,8,69,A,A,A,-1,-1,TN,-1,A,80.0
County,TN Tennessee,TN Bledsoe County 47007,9,Housing Choice Vouchers,3,A,Bledsoe County,47007,21.0,86,17,95,4.51316885961294,23,2.8717327153562,51.0137939119222,240.566983390948,390.812248749729,9249.30676867542,3220.81046025489,30,18,35,18,0,11,30,53,22,100,70,24,52,94,70,27,100,13,0,76,12,12,0,12,6,0,0,6,7.7,35.3279483606338,100,146.197423457688,6,48,46,23,23,6,65,A,A,A,-1,-1,TN,-1,A,88.0
County,TN Tennessee,TN Blount County 47009,9,Housing Choice Vouchers,3,A,Blount County,47009,543.0,93,500,99,5.20788966326805,7,2.36344802252816,1189.62196675757,274.000066523889,476.302128025504,10698.762718778,4526.76031662148,16,39,25,11,9,20,17,60,21,99,79,7,44,86,48,43,54,21,2,57,26,15,1,19,16,0,0,3,34.1107862980637,70.8747200551135,96,135.819863298397,12,51,36,31,14,13,71,A,A,A,-1,-1,TN,-1,A,81.0
County,TN Tennessee,TN Bradley County 47011,9,Housing Choice Vouchers,3,A,Bradley County,47011,208.0,95,189,96,4.75202821869487,1,2.56084656084656,504.486772486774,254.555555555555,455.37634408602,10757.8624338624,4200.90082644627,20,34,25,13,8,24,20,51,26,95,68,6,56,90,59,34,100,21,3,68,14,15,1,45,42,0,1,4,41.1,84.8365079365078,97,112.96174863388,12,46,42,21,24,18,64,A,A,A,-1,-1,TN,-1,A,55.0
County,TN Tennessee,TN Campbell County 47013,9,Housing Choice Vouchers,3,A,Campbell County,47013,158.0,85,132,98,5.27408170845696,5,2.18790149057939,293.667517432029,291.924456954084,344.471554109303,9660.15698727852,4415.26139493618,13,52,23,10,2,11,16,71,26,98,73,8,33,77,33,66,87,35,0,45,36,18,1,0,0,0,0,0,17.4523809523809,78.6365905221204,98,192.650729631054,7,52,41,52,26,4,68,A,A,A,-1,-1,TN,-1,A,100.0
County,TN Tennessee,TN Cannon County 47015,9,Housing Choice Vouchers,3,A,Cannon County,47015,4.0,99,4,98,5.55,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5243.57142857143,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,68.0333333333333,-4,-4.0,-4,-4,-4,-4,13,5,74,A,A,A,-1,-1,TN,-1,A,100.0
County,TN Tennessee,TN Carroll County 47017,9,Housing Choice Vouchers,3,A,Carroll County,47017,10.0,99,10,98,7.49,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5627.75,-4,-4,-4,-4,-4,-4,-4,-4,28,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,-4,-4,-4,-4,-1.0,73.1233333333334,-4,-4.0,-4,-4,-4,-4,23,15,74,A,A,A,-1,-1,TN,-1,A,40.0
County,TN Tennessee,TN Carter County 47019,9,Housing Choice Vouchers,3,A,Carter County,47019,230.0,95,212,97,5.06856267645227,11,2.13995041927701,467.145210951153,241.471648749639,413.638025948768,9818.93526632481,4588.39381411564,18,43,24,10,5,17,18,63,25,96,70,9,35,83,39,50,66,26,4,52,25,19,1,3,2,0,0,0,14.4968690523832,58.4494237082138,98,168.354017808892,22,52,26,29,25,5,66,A,A,A,-1,-1,TN,-1,A,97.0
County,TN Tennessee,TN Cheatham County 47021,9,Housing Choice Vouchers,3,A,Cheatham County,47021,38.0,99,37,98,5.06576576576577,3,2.5945945945946,98.1832722425858,295.918918918919,641.888888888889,10775.1891891892,4152.9375,24,41,14,8,14,16,24,57,19,95,81,11,51,84,54,41,80,21,0,57,30,14,0,22,22,0,0,0,10.1333333333333,62.909009009009,97,204.75,8,51,41,32,17,8,64,A,A,A,-1,-1,TN,-1,A,78.0
County,TN Tennessee,TN Chester County 47023,9,Housing Choice Vouchers,3,A,Chester County,47023,28.0,99,27,98,6.6679012345679,7,3.25925925925926,90.001332889037,304.814814814815,552.5,11995.7777777778,3680.52272727273,7,44,30,11,7,19,19,48,25,96,67,11,67,93,74,40,100,16,7,78,7,7,0,59,59,0,0,0,5.48333333333333,54.7765432098766,100,241.37037037037,0,19,81,19,17,19,75,A,A,A,-1,-1,TN,-1,A,41.0
County,TN Tennessee,TN Claiborne County 47025,9,Housing Choice Vouchers,3,A,Claiborne County,47025,44.0,91,40,100,6.19630332887945,0,2.07157932318338,82.4903006690078,317.459639997693,331.915122677805,9980.81546930155,4817.97407301985,10,53,25,8,5,10,7,83,27,97,75,10,32,73,35,71,89,39,0,50,27,23,0,5,5,0,0,0,-1.0,83.2888448140937,85,202.814505528894,18,45,38,30,21,3,65,A,A,A,-1,-1,TN,-1,A,95.0
