Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2019-12-31,County,TN Tennessee,TN Anderson County 47001,9,Housing Choice Vouchers,3,,Anderson County,47001,779,84,651,100,5,13,2.1,1398,300,479,11954,5566,11,40,25,13,11,25,1,72,21,98,82,3,43,83,43,44,70,26,3,49,26,22,1,27,25,0,1,73,0,1,-1,1,1,12,91,98,147,16,52,33,35,21,18,60,,,,,,TN,,,73.0
2019-12-31,County,TN Tennessee,TN Bedford County 47003,9,Housing Choice Vouchers,3,,Bedford County,47003,111,98,112,100,6,21,2.3,263,310,591,12612,5371,13,32,26,11,18,22,1,76,29,90,58,2,46,90,46,44,69,24,4,50,22,23,1,41,38,-1,-1,59,1,2,-1,3,0,13,60,100,122,26,44,30,25,23,33,61,,,,,,TN,,,59.0
2019-12-31,County,TN Tennessee,TN Benton County 47005,9,Housing Choice Vouchers,3,,Benton County,47005,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TN,,,
2019-12-31,County,TN Tennessee,TN Bledsoe County 47007,9,Housing Choice Vouchers,3,,Bledsoe County,47007,16,83,13,98,7,31,2.6,34,266,422,10038,3838,10,30,30,10,20,23,-1,54,22,100,69,15,38,62,31,40,67,18,8,62,8,23,-1,15,8,-1,-1,85,-1,8,-1,8,0,15,56,92,176,8,54,38,38,19,6,65,,,,,,TN,,,85.0
2019-12-31,County,TN Tennessee,TN Blount County 47009,9,Housing Choice Vouchers,3,,Blount County,47009,484,93,455,100,5,9,2.3,1044,301,515,12298,5360,11,36,26,13,14,24,0,73,22,98,80,4,43,84,44,42,63,23,2,48,23,27,1,18,15,0,-1,82,0,2,-1,2,1,40,95,97,122,18,48,34,29,15,13,73,,,,,,TN,,,82.0
2019-12-31,County,TN Tennessee,TN Bradley County 47011,9,Housing Choice Vouchers,3,,Bradley County,47011,206,93,195,100,5,6,2.5,478,294,515,11916,4861,15,37,22,13,14,23,1,71,25,94,71,3,51,91,50,36,88,22,1,56,18,25,2,51,45,-1,1,49,1,5,-1,6,4,22,105,97,97,15,38,47,31,23,17,65,,,,,,TN,,,49.0
2019-12-31,County,TN Tennessee,TN Campbell County 47013,9,Housing Choice Vouchers,3,,Campbell County,47013,131,78,102,99,5,13,1.9,193,289,458,10017,5294,12,48,24,11,4,12,-1,83,25,100,73,1,31,69,26,52,75,36,1,35,28,35,-1,1,1,-1,-1,99,-1,-1,-1,0,0,9,97,100,178,6,53,41,56,19,4,67,,,,,,TN,,,99.0
2019-12-31,County,TN Tennessee,TN Cannon County 47015,9,Housing Choice Vouchers,3,,Cannon County,47015,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TN,,,
2019-12-31,County,TN Tennessee,TN Carroll County 47017,9,Housing Choice Vouchers,3,,Carroll County,47017,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TN,,,
2019-12-31,County,TN Tennessee,TN Carter County 47019,9,Housing Choice Vouchers,3,,Carter County,47019,282,93,264,100,5,16,2.0,535,252,393,10576,5219,16,34,30,14,6,16,1,80,25,97,66,9,31,81,38,46,53,25,3,41,24,32,1,7,6,-1,0,93,0,0,-1,1,0,13,68,99,136,30,51,19,28,23,5,66,,,,,,TN,,,93.0
