Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2016-12-31,County,TX Texas,"TX Anderson County, Texas 48001",9,Housing Choice Vouchers,3,,Anderson County,48001,400,58,238,100,5,15,2.0,477,303,460,12753,6363,6,38,26,17,14,27,-1,71,30,94,58,2,40,84,39,48,63,29,5,44,24,27,2,65,61,-1,0,35,-1,3,1,3,0,10,68,91,99,23,58,19,32,25,46,72,,,,,,TX,,,35.0
2016-12-31,County,TX Texas,"TX Andrews County, Texas 48003",9,Housing Choice Vouchers,3,,Andrews County,48003,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Angelina County, Texas 48005",9,Housing Choice Vouchers,3,,Angelina County,48005,1113,93,1027,99,5,9,2.5,2570,312,526,12965,5181,7,39,22,15,16,32,0,66,29,90,61,2,56,88,57,36,82,22,6,61,18,15,0,80,73,1,0,20,1,5,0,6,0,22,84,95,95,14,32,54,34,24,54,71,,,,,,TX,,,20.0
2016-12-31,County,TX Texas,"TX Aransas County, Texas 48007",9,Housing Choice Vouchers,3,,Aransas County,48007,90,89,74,93,6,12,2.0,147,302,545,12565,6325,4,39,30,18,9,27,-1,73,27,97,69,8,26,85,30,48,71,30,1,32,28,38,3,41,4,-1,1,59,-1,35,-1,35,0,12,78,99,87,50,27,23,8,21,30,66,,,,,,TX,,,59.0
2016-12-31,County,TX Texas,"TX Armstrong County, Texas 48011",9,Housing Choice Vouchers,3,,Armstrong County,48011,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Atascosa County, Texas 48013",9,Housing Choice Vouchers,3,,Atascosa County,48013,140,71,101,100,5,27,1.8,177,290,433,12513,7140,4,44,31,14,8,20,3,77,29,97,62,2,28,74,27,46,78,36,6,28,22,45,4,67,1,-1,-1,33,1,65,-1,66,1,3,50,100,100,49,38,14,20,14,56,67,,,,,,TX,,,33.0
2016-12-31,County,TX Texas,"TX Austin County, Texas 48015",9,Housing Choice Vouchers,3,,Austin County,48015,42,50,21,100,7,-1,2.0,43,289,700,11190,5465,11,26,37,11,16,33,-1,57,20,100,81,-1,43,90,43,35,75,26,-1,52,29,19,-1,86,81,-1,-1,14,-1,5,-1,5,0,-1,99,100,105,10,90,-1,43,5,38,71,,,,,,TX,,,14.0
2016-12-31,County,TX Texas,"TX Bailey County, Texas 48017",9,Housing Choice Vouchers,3,,Bailey County,48017,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Bandera County, Texas 48019",9,Housing Choice Vouchers,3,,Bandera County,48019,15,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Bastrop County, Texas 48021",9,Housing Choice Vouchers,3,,Bastrop County,48021,121,75,130,100,5,11,2.5,324,374,1162,15597,6258,6,29,22,16,27,34,-1,65,24,98,76,5,48,88,50,35,75,21,-1,55,23,22,2,65,47,-1,-1,35,-1,18,-1,18,0,9,96,98,160,12,42,47,41,15,42,72,,,,,,TX,,,35.0
2016-12-31,County,TX Texas,"TX Bee County, Texas 48025",9,Housing Choice Vouchers,3,,Bee County,48025,268,60,160,99,6,21,2.5,396,303,569,12806,5174,9,43,18,14,16,31,1,68,29,89,64,9,43,76,47,32,57,18,13,51,18,19,1,80,4,-1,-1,20,1,75,-1,76,0,7,44,99,101,36,41,23,4,25,76,71,,,,,,TX,,,20.0
2016-12-31,County,TX Texas,"TX Bell County, Texas 48027",9,Housing Choice Vouchers,3,,Bell County,48027,3228,67,2320,100,6,17,2.7,6179,352,634,13026,4891,11,31,22,17,20,31,1,61,25,94,66,3,57,88,57,28,67,19,3,62,19,16,1,85,69,1,1,15,2,12,0,14,1,34,79,100,128,16,32,52,24,19,60,59,,,,,,TX,,,15.0
2016-12-31,County,TX Texas,"TX Bexar County, Texas 48029",9,Housing Choice Vouchers,3,,Bexar County,48029,15311,92,14400,100,11,6,2.6,37554,333,678,12167,4666,12,40,21,13,14,28,2,69,23,96,76,5,48,80,49,43,85,26,3,57,23,17,1,90,24,0,0,10,1,64,0,66,0,15,96,87,135,32,30,38,11,27,84,59,,,,,,TX,,,10.0
2016-12-31,County,TX Texas,"TX Blanco County, Texas 48031",9,Housing Choice Vouchers,3,,Blanco County,48031,4,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Bosque County, Texas 48035",9,Housing Choice Vouchers,3,,Bosque County,48035,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2016-12-31,County,TX Texas,"TX Bowie County, Texas 48037",9,Housing Choice Vouchers,3,,Bowie County,48037,1352,75,1035,100,5,17,2.5,2638,340,512,13237,5194,10,34,19,21,16,39,1,60,29,92,59,2,60,93,61,28,70,17,6,66,16,12,0,90,90,0,0,10,-1,0,-1,0,0,15,80,100,135,21,33,45,15,29,55,66,,,,,,TX,,,10.0
2016-12-31,County,TX Texas,"TX Brazoria County, Texas 48039",9,Housing Choice Vouchers,3,,Brazoria County,48039,586,102,601,100,5,19,2.1,1271,374,563,13953,6598,7,35,24,16,19,26,-1,73,21,99,82,2,40,86,39,46,74,30,3,42,24,31,2,75,53,-1,0,25,0,21,-1,22,0,19,83,100,80,38,38,24,17,17,51,60,,,,,,TX,,,25.0
2016-12-31,County,TX Texas,"TX Brazos County, Texas 48041",9,Housing Choice Vouchers,3,,Brazos County,48041,1693,78,1346,100,4,13,2.1,2798,305,673,12258,5897,10,39,22,15,14,24,1,73,26,95,67,3,38,78,38,47,73,31,6,49,22,23,1,78,65,0,1,22,1,11,0,12,1,8,61,99,149,28,55,17,30,34,56,43,,,,,,TX,,,22.0
