Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2020-12-31,County,TX Texas,TX Anderson County 48001,9,Housing Choice Vouchers,3,,Anderson County,48001,398,52,211,100,6,9,1.8,386,306,433,12987,7099,7,31,29,20,13,21,-1,77,28,94,62,2,32,82,32,43,68,32,2,38,23,36,3,68,64,-1,0,32,0,3,-1,3,0,12,83,93,108,26,55,19,36,20,46,71,,,,,,TX,,,32.0
2020-12-31,County,TX Texas,TX Andrews County 48003,9,Housing Choice Vouchers,3,,Andrews County,48003,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Angelina County 48005,9,Housing Choice Vouchers,3,,Angelina County,48005,1186,84,970,97,6,10,2.4,2348,407,565,14063,5810,7,33,25,17,20,30,0,67,28,92,61,2,50,86,50,32,83,24,3,58,18,21,1,81,74,0,0,19,2,4,-1,6,1,14,97,96,204,12,32,56,42,22,53,68,,,,,,TX,,,19.0
2020-12-31,County,TX Texas,TX Aransas County 48007,9,Housing Choice Vouchers,3,,Aransas County,48007,49,79,30,77,8,13,1.5,45,345,392,13202,8801,-1,43,30,13,13,17,-1,80,29,97,63,3,20,90,23,36,63,33,3,27,17,53,3,40,3,-1,3,60,-1,33,-1,33,0,14,71,93,112,50,43,7,17,22,30,64,,,,,,TX,,,60.0
2020-12-31,County,TX Texas,TX Armstrong County 48011,9,Housing Choice Vouchers,3,,Armstrong County,48011,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Atascosa County 48013,9,Housing Choice Vouchers,3,,Atascosa County,48013,139,63,90,100,5,22,1.5,137,336,407,13501,8869,2,36,31,19,12,21,1,78,28,98,60,1,19,83,19,40,87,47,3,18,18,61,4,66,1,-1,-1,34,-1,64,-1,64,0,2,63,100,134,52,40,8,23,13,56,73,,,,,,TX,,,34.0
2020-12-31,County,TX Texas,TX Austin County 48015,9,Housing Choice Vouchers,3,,Austin County,48015,42,-5,17,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Bandera County 48019,9,Housing Choice Vouchers,3,,Bandera County,48019,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Bastrop County 48021,9,Housing Choice Vouchers,3,,Bastrop County,48021,122,72,118,100,6,6,2.5,292,395,1255,16220,6555,4,23,27,21,25,25,1,74,20,98,87,4,47,91,49,35,61,21,-1,53,19,28,1,64,47,-1,-1,36,-1,18,-1,18,0,35,114,99,176,18,35,47,36,10,41,74,,,,,,TX,,,36.0
2020-12-31,County,TX Texas,TX Bee County 48025,9,Housing Choice Vouchers,3,,Bee County,48025,280,62,173,100,5,22,2.5,427,367,444,12955,5249,8,40,21,15,16,28,1,71,26,97,68,3,43,75,43,30,77,20,6,49,20,25,-1,83,6,-1,-1,17,-1,75,2,77,1,18,48,98,118,50,34,16,2,28,75,74,,,,,,TX,,,17.0
2020-12-31,County,TX Texas,TX Bell County 48027,9,Housing Choice Vouchers,3,,Bell County,48027,3360,69,2472,100,6,14,2.7,6720,374,578,13296,4891,11,31,23,15,20,27,1,67,24,95,71,2,58,88,58,26,68,18,3,65,16,17,1,88,74,1,1,12,2,10,0,12,1,15,81,99,132,17,30,53,23,19,61,59,,,,,,TX,,,12.0
2020-12-31,County,TX Texas,TX Bexar County 48029,9,Housing Choice Vouchers,3,,Bexar County,48029,15831,88,14865,100,11,6,2.6,38357,367,667,12768,4948,13,37,22,13,16,28,1,70,21,97,80,4,46,81,47,40,85,27,2,54,22,23,1,90,24,0,0,10,1,64,1,66,0,20,110,89,130,33,30,37,11,25,83,59,,,,,,TX,,,10.0
2020-12-31,County,TX Texas,TX Blanco County 48031,9,Housing Choice Vouchers,3,,Blanco County,48031,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Bowie County 48037,9,Housing Choice Vouchers,3,,Bowie County,48037,1633,86,1443,100,6,9,2.4,3491,351,496,14180,5861,7,34,23,17,20,32,0,66,27,94,67,2,53,88,53,32,73,23,4,60,18,18,1,90,89,0,0,10,0,1,-1,1,0,24,73,100,138,30,31,40,14,30,56,62,,,,,,TX,,,10.0
2020-12-31,County,TX Texas,TX Brazoria County 48039,9,Housing Choice Vouchers,3,,Brazoria County,48039,583,99,593,100,5,12,1.8,1076,435,621,15454,8517,2,34,25,15,24,21,0,78,20,99,85,1,29,82,29,52,75,38,2,36,23,40,3,74,53,0,1,26,1,19,0,20,1,29,92,100,108,42,40,18,23,14,50,58,,,,,,TX,,,26.0
2020-12-31,County,TX Texas,TX Brazos County 48041,9,Housing Choice Vouchers,3,,Brazos County,48041,1746,92,1648,100,5,19,2.0,3321,323,550,12487,6197,9,34,26,15,15,20,0,75,24,97,72,2,37,78,37,42,66,28,7,46,20,27,1,78,63,0,1,22,1,13,0,14,1,11,58,98,131,31,55,14,29,32,51,42,,,,,,TX,,,22.0
2020-12-31,County,TX Texas,TX Brewster County 48043,9,Housing Choice Vouchers,3,,Brewster County,48043,120,-5,45,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Briscoe County 48045,9,Housing Choice Vouchers,3,,Briscoe County,48045,12,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Brooks County 48047,9,Housing Choice Vouchers,3,,Brooks County,48047,156,-5,78,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Brown County 48049,9,Housing Choice Vouchers,3,,Brown County,48049,478,78,373,100,5,23,1.9,700,298,445,11890,6336,7,35,35,14,9,29,-1,70,26,98,71,6,30,80,34,36,50,23,8,40,20,32,2,37,15,1,0,63,-1,20,0,21,1,8,57,98,121,47,36,18,17,26,35,65,,,,,,TX,,,63.0
2020-12-31,County,TX Texas,TX Burleson County 48051,9,Housing Choice Vouchers,3,,Burleson County,48051,53,92,50,100,6,12,2.2,109,285,550,11762,5395,11,38,21,11,19,28,-1,66,22,100,76,2,50,78,52,28,100,22,4,52,22,22,-1,54,50,-1,-1,46,-1,4,-1,4,0,9,69,96,129,14,44,42,44,15,37,65,,,,,,TX,,,46.0
2020-12-31,County,TX Texas,TX Burnet County 48053,9,Housing Choice Vouchers,3,,Burnet County,48053,234,77,185,100,7,14,1.9,344,312,499,12452,6697,9,38,27,10,16,19,1,78,23,96,77,3,26,79,28,43,61,29,2,32,18,48,5,23,4,-1,-1,77,-1,16,3,18,0,21,88,100,112,51,24,25,14,12,28,60,,,,,,TX,,,77.0
2020-12-31,County,TX Texas,TX Caldwell County 48055,9,Housing Choice Vouchers,3,,Caldwell County,48055,30,-5,13,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Calhoun County 48057,9,Housing Choice Vouchers,3,,Calhoun County,48057,85,80,69,100,5,23,2.5,172,440,440,17096,6858,1,22,25,26,26,30,-1,70,28,96,58,6,52,80,54,33,87,20,6,52,22,20,1,77,14,-1,-1,23,-1,62,-1,62,1,9,53,96,99,14,38,48,33,14,62,71,,,,,,TX,,,23.0
2020-12-31,County,TX Texas,TX Callahan County 48059,9,Housing Choice Vouchers,3,,Callahan County,48059,98,54,54,100,7,26,2.2,117,262,549,11158,5150,12,41,20,14,14,33,-1,61,21,96,81,2,44,91,46,23,80,19,6,52,15,28,2,19,6,-1,-1,81,-1,13,-1,13,0,3,63,98,154,30,37,33,20,15,11,71,,,,,,TX,,,81.0
2020-12-31,County,TX Texas,TX Cameron County 48061,9,Housing Choice Vouchers,3,,Cameron County,48061,4954,95,4759,100,5,10,2.5,12027,325,467,12668,5013,8,41,24,13,14,30,1,67,25,95,72,10,37,80,44,22,53,18,3,45,15,38,4,98,0,-1,0,2,0,97,0,98,0,21,92,95,115,35,34,31,10,34,91,60,,,,,,TX,,,2.0
2020-12-31,County,TX Texas,TX Camp County 48063,9,Housing Choice Vouchers,3,,Camp County,48063,62,67,42,100,5,2,2.9,123,373,425,14708,5022,15,20,20,24,22,38,-1,60,28,93,50,2,81,95,79,19,100,12,2,79,7,12,-1,93,90,2,-1,7,-1,-1,-1,0,0,2,67,100,150,10,40,50,14,20,55,77,,,,,,TX,,,7.0
2020-12-31,County,TX Texas,TX Carson County 48065,9,Housing Choice Vouchers,3,,Carson County,48065,12,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Cass County 48067,9,Housing Choice Vouchers,3,,Cass County,48067,78,70,55,100,5,2,2.6,145,352,469,14050,5329,4,42,15,16,24,36,-1,64,27,95,65,4,62,98,65,28,88,17,-1,67,18,15,-1,87,87,-1,-1,13,-1,-1,-1,0,0,17,110,100,206,7,44,49,24,27,33,76,,,,,,TX,,,13.0
2020-12-31,County,TX Texas,TX Castro County 48069,9,Housing Choice Vouchers,3,,Castro County,48069,49,67,33,100,7,-1,2.2,71,288,521,12218,5679,18,39,18,6,18,30,-1,70,25,91,70,-1,39,82,39,11,60,20,-1,45,9,45,6,91,9,-1,-1,9,-1,82,-1,82,0,-1,87,88,109,27,33,39,30,17,71,73,,,,,,TX,,,9.0
2020-12-31,County,TX Texas,TX Chambers County 48071,9,Housing Choice Vouchers,3,,Chambers County,48071,18,65,12,100,6,-1,3.8,45,448,875,15199,4053,17,17,17,17,33,25,-1,75,20,100,83,8,75,92,83,33,-1,16,-1,83,17,-1,-1,100,100,-1,-1,-1,-1,-1,-1,0,8,-1,128,100,263,-1,25,75,8,14,32,80,,,,,,TX,,,0.0
2020-12-31,County,TX Texas,TX Cherokee County 48073,9,Housing Choice Vouchers,3,,Cherokee County,48073,342,67,221,97,5,10,2.4,522,345,485,13763,5827,4,29,30,15,22,31,-1,64,28,95,59,2,52,88,52,37,69,23,2,61,13,24,1,71,66,-1,-1,29,-1,5,-1,5,1,11,79,99,136,24,36,40,23,22,50,68,,,,,,TX,,,29.0
2020-12-31,County,TX Texas,TX Childress County 48075,9,Housing Choice Vouchers,3,,Childress County,48075,62,67,42,100,6,2,1.7,71,268,521,11517,6813,10,48,21,17,5,26,-1,74,24,95,79,-1,31,79,31,47,60,32,7,38,31,24,-1,40,12,-1,-1,60,-1,29,-1,29,0,9,69,90,137,38,43,19,29,15,33,74,,,,,,TX,,,60.0
2020-12-31,County,TX Texas,TX Clay County 48077,9,Housing Choice Vouchers,3,,Clay County,48077,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Cochran County 48079,9,Housing Choice Vouchers,3,,Cochran County,48079,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Coleman County 48083,9,Housing Choice Vouchers,3,,Coleman County,48083,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Collin County 48085,9,Housing Choice Vouchers,3,,Collin County,48085,2806,73,2242,100,5,5,3.0,6720,461,1212,18567,6195,9,25,18,13,35,31,1,66,24,93,72,6,51,86,53,26,75,18,1,58,16,25,2,81,74,0,2,19,1,4,0,5,1,10,121,99,213,25,23,51,18,9,44,64,,,,,,TX,,,19.0
2020-12-31,County,TX Texas,TX Collingsworth County 48087,9,Housing Choice Vouchers,3,,Collingsworth County,48087,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Colorado County 48089,9,Housing Choice Vouchers,3,,Colorado County,48089,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Comal County 48091,9,Housing Choice Vouchers,3,,Comal County,48091,303,78,236,99,6,0,1.6,387,392,587,14634,8924,1,32,27,21,18,20,-1,79,27,97,68,2,22,84,23,51,49,35,1,29,26,44,2,52,9,0,-1,48,-1,43,-1,43,0,3,90,97,125,44,39,17,26,10,31,65,,,,,,TX,,,48.0
2020-12-31,County,TX Texas,TX Comanche County 48093,9,Housing Choice Vouchers,3,,Comanche County,48093,29,69,20,100,6,25,2.0,39,381,487,15411,7903,-1,25,35,20,20,40,-1,60,32,90,45,-1,45,90,45,33,20,21,5,60,10,25,-1,25,-1,-1,-1,75,-1,25,-1,25,0,7,68,100,151,25,50,25,25,17,29,77,,,,,,TX,,,75.0
2020-12-31,County,TX Texas,TX Cooke County 48097,9,Housing Choice Vouchers,3,,Cooke County,48097,398,66,175,66,6,18,2.2,392,391,400,14884,6645,6,22,25,21,25,25,-1,74,25,100,63,5,40,81,41,36,59,23,6,50,14,31,3,37,27,1,-1,63,-1,9,-1,9,1,13,59,99,154,35,35,29,14,36,42,70,,,,,,TX,,,63.0
2020-12-31,County,TX Texas,TX Coryell County 48099,9,Housing Choice Vouchers,3,,Coryell County,48099,206,68,140,100,6,14,2.3,316,376,531,14061,6230,6,39,15,19,21,26,1,70,27,95,66,1,48,86,46,38,66,27,3,51,21,25,1,70,47,2,-1,30,2,19,-1,21,1,11,81,100,131,19,36,44,31,13,39,62,,,,,,TX,,,30.0
2020-12-31,County,TX Texas,TX Crockett County 48105,9,Housing Choice Vouchers,3,,Crockett County,48105,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Dallam County 48111,9,Housing Choice Vouchers,3,,Dallam County,48111,24,67,16,100,6,-1,1.6,26,310,521,12839,7901,6,44,19,13,19,25,-1,75,28,100,63,-1,31,56,31,17,70,38,6,19,13,63,-1,38,-1,-1,-1,63,-1,38,-1,38,0,-1,108,88,82,44,31,25,31,14,46,71,,,,,,TX,,,62.0
2020-12-31,County,TX Texas,TX Dallas County 48113,9,Housing Choice Vouchers,3,,Dallas County,48113,25138,81,21107,100,5,4,2.4,50569,394,1079,15426,6439,11,29,21,13,26,29,1,67,21,95,78,2,45,85,45,30,80,23,2,53,20,25,2,93,85,0,2,7,1,4,0,6,0,16,132,86,163,31,30,38,19,24,78,51,,,,,,TX,,,7.0
2020-12-31,County,TX Texas,TX Dawson County 48115,9,Housing Choice Vouchers,3,,Dawson County,48115,113,85,87,91,8,33,1.8,155,352,348,12536,7037,2,42,26,20,9,31,-1,67,28,94,66,2,29,71,26,14,28,13,8,32,18,41,5,84,10,-1,-1,16,-1,74,-1,74,0,38,45,92,120,31,54,15,34,24,62,86,,,,,,TX,,,16.0
2020-12-31,County,TX Texas,TX Deaf Smith County 48117,9,Housing Choice Vouchers,3,,Deaf Smith County,48117,162,67,110,100,7,2,2.3,255,315,521,13169,5681,10,37,22,14,17,39,-1,61,25,98,65,2,48,87,46,26,93,20,5,48,20,26,1,94,4,-1,-1,6,-1,90,-1,90,0,4,82,90,99,30,40,30,20,19,76,75,,,,,,TX,,,6.0
2020-12-31,County,TX Texas,TX Delta County 48119,9,Housing Choice Vouchers,3,,Delta County,48119,17,70,12,100,5,-1,2.1,25,333,469,11772,5651,-1,42,33,25,-1,17,-1,83,25,100,75,-1,50,92,42,29,80,28,-1,50,8,42,-1,42,42,-1,-1,58,-1,-1,-1,0,0,-1,131,100,161,8,67,25,33,41,24,78,,,,,,TX,,,58.0
2020-12-31,County,TX Texas,TX Denton County 48121,9,Housing Choice Vouchers,3,,Denton County,48121,3297,76,2787,100,5,5,2.7,7626,399,1182,16113,5889,9,26,20,15,30,27,1,66,22,95,76,4,49,87,50,33,77,22,1,58,18,23,2,80,68,0,3,20,1,8,0,9,0,29,115,98,171,26,26,49,20,12,44,59,,,,,,TX,,,20.0
2020-12-31,County,TX Texas,TX DeWitt County 48123,9,Housing Choice Vouchers,3,,DeWitt County,48123,106,-5,45,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Dimmit County 48127,9,Housing Choice Vouchers,3,,Dimmit County,48127,161,69,110,99,5,27,2.7,297,226,522,9748,3610,24,35,28,7,6,28,1,71,20,99,85,10,50,84,59,15,77,13,13,50,15,23,2,98,1,-1,-1,2,1,96,-1,97,0,4,53,100,122,31,29,40,7,30,88,74,,,,,,TX,,,2.0
2020-12-31,County,TX Texas,TX Donley County 48129,9,Housing Choice Vouchers,3,,Donley County,48129,24,67,16,100,5,6,2.4,39,281,521,12491,5124,13,38,31,13,6,25,-1,75,25,94,75,-1,44,88,44,33,100,21,6,44,25,25,-1,38,25,-1,-1,63,-1,13,-1,13,0,11,94,100,176,6,63,31,31,18,18,76,,,,,,TX,,,62.0
2020-12-31,County,TX Texas,TX Duval County 48131,9,Housing Choice Vouchers,3,,Duval County,48131,112,76,85,100,5,24,2.7,233,303,380,13473,4915,1,27,45,18,9,35,-1,65,26,96,74,8,64,87,71,24,82,14,8,65,15,12,-1,94,-1,-1,-1,6,1,93,-1,94,0,7,50,98,143,27,28,45,1,26,90,83,,,,,,TX,,,6.0
2020-12-31,County,TX Texas,TX Eastland County 48133,9,Housing Choice Vouchers,3,,Eastland County,48133,53,83,47,100,6,19,1.7,79,305,430,11903,7081,7,43,28,13,9,32,-1,66,26,96,68,2,32,89,34,36,37,23,9,26,26,40,4,15,11,-1,-1,85,-1,4,-1,4,0,3,52,100,104,26,60,15,36,23,19,72,,,,,,TX,,,85.0
2020-12-31,County,TX Texas,TX Ector County 48135,9,Housing Choice Vouchers,3,,Ector County,48135,1037,64,714,100,6,17,2.3,1618,369,922,15011,6624,11,33,19,14,23,28,1,71,25,93,70,1,46,85,45,33,67,23,3,46,22,28,2,82,33,0,0,18,1,48,-1,48,0,21,93,98,165,33,29,38,16,15,72,64,,,,,,TX,,,18.0
2020-12-31,County,TX Texas,TX Ellis County 48139,9,Housing Choice Vouchers,3,,Ellis County,48139,636,57,381,100,5,2,2.7,1030,468,1028,17831,6596,8,25,20,14,33,33,1,62,24,91,73,2,57,93,58,27,84,21,1,62,17,20,2,90,86,0,-1,10,0,3,-1,3,0,52,121,100,198,10,36,53,27,16,50,74,,,,,,TX,,,10.0
2020-12-31,County,TX Texas,TX El Paso County 48141,9,Housing Choice Vouchers,3,,El Paso County,48141,6604,90,6153,100,6,9,2.5,15537,326,534,11416,4521,14,37,23,12,14,30,1,63,23,96,75,6,42,82,44,21,55,16,3,47,19,31,3,96,4,0,0,4,1,90,1,92,0,12,108,88,123,28,38,34,19,27,89,59,,,,,,TX,,,4.0
2020-12-31,County,TX Texas,TX Erath County 48143,9,Housing Choice Vouchers,3,,Erath County,48143,49,84,42,100,5,40,2.0,84,385,364,14804,7402,5,33,14,26,21,21,-1,79,29,95,52,5,31,81,31,46,25,19,2,48,12,38,10,29,7,-1,-1,71,-1,21,-1,21,0,7,32,98,66,38,31,31,24,31,22,62,,,,,,TX,,,71.0
2020-12-31,County,TX Texas,TX Falls County 48145,9,Housing Choice Vouchers,3,,Falls County,48145,31,-5,13,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Fannin County 48147,9,Housing Choice Vouchers,3,,Fannin County,48147,198,70,126,91,7,10,1.6,199,297,496,12092,7656,6,37,34,14,9,10,-1,84,26,96,65,2,17,59,16,66,73,46,1,28,37,35,1,37,27,2,1,63,-1,6,1,6,1,16,91,93,112,60,29,12,17,14,25,74,,,,,,TX,,,63.0
2020-12-31,County,TX Texas,TX Fayette County 48149,9,Housing Choice Vouchers,3,,Fayette County,48149,89,-5,40,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,
2020-12-31,County,TX Texas,TX Floyd County 48153,9,Housing Choice Vouchers,3,,Floyd County,48153,48,61,26,89,6,8,1.9,50,268,418,11375,5915,12,42,23,19,4,15,-1,85,25,100,62,8,15,85,23,43,67,34,-1,27,27,46,-1,54,12,-1,-1,46,-1,42,-1,42,0,4,80,100,161,42,35,23,15,20,58,88,,,,,,TX,,,46.0
2020-12-31,County,TX Texas,TX Fort Bend County 48157,9,Housing Choice Vouchers,3,,Fort Bend County,48157,1607,96,1562,100,8,5,3.3,5178,453,809,17402,5250,11,21,19,14,34,39,1,58,24,93,69,3,67,93,68,20,71,16,2,70,14,14,1,97,86,0,1,3,1,8,0,10,0,31,115,98,194,14,20,65,17,14,83,77,,,,,,TX,,,3.0
2020-12-31,County,TX Texas,TX Franklin County 48159,9,Housing Choice Vouchers,3,,Franklin County,48159,38,70,27,100,6,-1,2.7,72,341,469,13681,5130,-1,31,35,19,15,26,-1,70,25,96,78,4,63,85,59,38,83,25,4,56,19,22,-1,44,44,-1,-1,56,-1,-1,-1,0,0,-1,119,100,207,7,37,56,41,14,29,77,,,,,,TX,,,56.0
