gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,UT Utah,UT Beaver County 49001,9,Housing Choice Vouchers,3,A,Beaver County,49001,19.0,95,19,100,3.99298245614035,11,2.21052631578947,39.7894736842105,226.263157894737,603.052631578947,9731.0,4402.11904761905,32,26,26,5,11,16,5,79,22,100,79,16,26,68,32,71,100,40,0,58,16,26,0,21,11,11,0,0,8.88888888888889,43.380701754386,95,117.444444444444,32,32,37,32,8,10,70,A,A,A,-1,-1,UT,-1,A,79.0
County,UT Utah,UT Box Elder County 49003,9,Housing Choice Vouchers,3,A,Box Elder County,49003,116.0,99,116,100,5.24240257529328,15,2.30376177233873,264.817415730337,273.907321919595,429.292978894666,11194.1422162054,4859.07108565368,15,39,24,11,11,16,1,82,22,98,78,5,47,80,45,68,100,33,3,72,21,3,0,16,1,5,2,11,19.2456622678397,45.9780564094794,72,144.932889077934,22,39,39,28,8,11,70,A,A,A,-1,-1,UT,-1,A,84.0
County,UT Utah,UT Cache County 49005,9,Housing Choice Vouchers,3,A,Cache County,49005,450.0,99,449,100,4.71102347054944,13,2.55209638469001,1135.17247191011,291.205460309677,416.696626925311,12216.7016624061,4786.92800777194,11,36,27,13,13,25,0,75,25,96,68,20,32,65,36,53,71,24,4,69,18,9,0,10,2,1,2,6,19.9495714877151,45.7567021663571,90,156.252869893495,11,39,50,35,18,15,39,A,A,A,-1,-1,UT,-1,A,90.0
County,UT Utah,UT Carbon County 49007,9,Housing Choice Vouchers,3,A,Carbon County,49007,273.0,76,197,95,5.19340101522841,5,2.27918781725888,471.79187817259,285.994923857867,480.748691099476,9878.4010152284,4334.17594654787,24,36,20,13,8,30,2,68,23,95,74,7,44,77,44,34,79,20,4,57,21,17,1,22,1,3,0,19,28.5933333333333,58.5659898477156,90,163.91011235955,12,46,42,35,16,15,65,A,A,A,-1,-1,UT,-1,A,78.0
County,UT Utah,UT Daggett County 49009,9,Housing Choice Vouchers,3,A,Daggett County,49009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,UT,-1,A,
County,UT Utah,UT Davis County 49011,9,Housing Choice Vouchers,3,A,Davis County,49011,1036.0,95,1004,100,5.23210491367854,14,2.43426294820716,2400.1832669323,321.319721115532,536.174650698593,11801.1553784859,4847.93780687393,14,34,23,16,12,27,9,63,21,99,80,5,45,79,45,46,65,23,3,66,17,13,1,20,5,1,2,13,29.3561904761905,60.7929282868516,93,113.195095948826,21,40,39,26,7,13,62,A,A,A,-1,-1,UT,-1,A,80.0
County,UT Utah,UT Duchesne County 49013,9,Housing Choice Vouchers,3,A,Duchesne County,49013,105.0,68,75,100,5.39789695057835,17,1.998738170347,144.0,266.432807570978,479.722397476341,10340.5457413249,5173.53693181819,13,48,19,11,9,18,3,78,25,95,72,5,39,77,40,52,91,36,15,51,20,15,0,13,0,7,1,5,8.04102564102564,56.1546792849632,89,110.28813559322,7,56,37,51,19,12,63,A,A,A,-1,-1,UT,-1,A,87.0
County,UT Utah,UT Emery County 49015,9,Housing Choice Vouchers,3,A,Emery County,49015,68.0,96,65,100,4.58102564102564,9,2.29230769230769,149.0,311.107692307692,372.694915254237,13005.8615384615,5673.69798657718,2,34,37,15,12,28,0,72,28,94,66,9,38,82,42,51,38,24,2,60,14,25,5,6,0,3,0,3,9.81904761904762,58.4933333333333,95,137.112903225806,9,49,42,43,11,7,65,A,A,A,-1,-1,UT,-1,A,94.0
County,UT Utah,UT Garfield County 49017,9,Housing Choice Vouchers,3,A,Garfield County,49017,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,UT,-1,A,
County,UT Utah,UT Grand County 49019,9,Housing Choice Vouchers,3,A,Grand County,49019,67.0,62,36,87,4.43466666666667,3,1.97222222222222,81.9230769230769,296.916666666667,427.542857142857,11710.4722222222,5937.70422535211,8,50,25,8,8,23,3,74,27,94,67,0,39,67,36,54,50,27,3,56,19,22,3,19,3,8,0,8,13.5333333333333,60.0759259259259,75,121.740740740741,19,56,25,42,15,12,47,A,A,A,-1,-1,UT,-1,A,81.0
