gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,VA Virginia,VA Accomack County 51001,9,Housing Choice Vouchers,3,A,Accomack County,51001,346.0,94,318,98,6.96436058700209,8,2.46540880503145,801.422222222224,312.317610062893,431.0,12040.4622641509,4883.75892857142,12,36,23,15,14,27,12,58,27,95,63,2,50,87,50,41,87,27,3,57,22,19,1,86,85,0,0,1,50.1407407407407,66.8879454926624,100,183.235849056604,20,29,52,24,21,48,55,A,A,A,-1,-1,VA,-1,A,14.0
County,VA Virginia,VA Albemarle County 51003,9,Housing Choice Vouchers,3,A,Albemarle County,51003,494.0,82,409,98,5.26446871736959,5,2.40619189841328,989.161372100783,322.975268919643,667.225466896839,13145.5675030051,5463.22490391296,17,25,21,16,21,41,6,52,22,97,75,3,56,89,56,31,60,18,2,70,13,15,1,64,62,0,1,2,17.5658308443344,70.8420402841747,99,82.6677836896882,21,41,38,18,8,22,39,A,A,A,-1,-1,VA,-1,A,36.0
County,VA Virginia,VA Alexandria city 51510,9,Housing Choice Vouchers,3,A,Alexandria city,51510,1883.0,76,1311,91,5.35577201321983,2,2.2414928196998,3221.79169835632,424.705760507946,1139.59828080235,16669.9674738571,7436.9934747726,16,24,14,11,33,46,12,42,19,96,78,5,41,79,40,27,40,15,2,57,24,17,1,90,81,0,2,10,26.741623718592,84.8014985157095,58,179.411250086478,36,39,24,9,11,55,7,A,A,A,-1,-1,VA,-1,A,10.0
County,VA Virginia,VA Alleghany County 51005,9,Housing Choice Vouchers,3,A,Alleghany County,51005,26.0,83,22,100,4.59090909090909,9,2.09090909090909,45.0612244897959,331.272727272727,367.909090909091,11676.3181818182,5584.32608695652,5,36,36,14,9,23,5,73,26,95,77,14,36,86,41,43,63,24,5,45,14,36,0,41,36,5,0,0,9.78333333333334,25.5409090909091,100,137.272727272727,0,55,45,59,5,2,74,A,A,A,-1,-1,VA,-1,A,59.0
County,VA Virginia,VA Amelia County 51007,9,Housing Choice Vouchers,3,A,Amelia County,51007,1.0,94,1,100,4.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3608.0,-4,-4,-4,-4,-4,-4,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,145.866666666667,-4,-4.0,-4,-4,-4,-4,9,30,64,A,A,A,-1,-1,VA,-1,A,0.0
County,VA Virginia,VA Amherst County 51009,9,Housing Choice Vouchers,3,A,Amherst County,51009,63.0,94,61,100,4.99508196721312,7,2.52459016393443,148.758614356036,224.393442622951,494.540983606558,9029.09836065574,3576.46103896104,25,41,20,10,5,34,12,51,19,98,84,2,56,90,56,40,63,22,2,72,13,13,2,70,69,0,2,2,38.9166666666667,97.9584699453552,100,127.688524590164,8,48,44,33,11,24,64,A,A,A,-1,-1,VA,-1,A,30.0
County,VA Virginia,VA Appomattox County 51011,9,Housing Choice Vouchers,3,A,Appomattox County,51011,61.0,94,60,100,5.71333333333334,3,2.38333333333333,138.13299904489,254.5,384.133333333334,10740.4333333333,4506.47552447553,18,33,22,18,8,29,19,53,22,100,75,3,53,97,55,42,70,24,2,62,20,17,0,72,72,0,0,0,19.55,138.338888888889,100,121.866666666667,3,43,53,30,13,21,64,A,A,A,-1,-1,VA,-1,A,28.0
County,VA Virginia,VA Arlington County 51013,9,Housing Choice Vouchers,3,A,Arlington County,51013,1473.0,93,1254,92,6.82235513024991,2,2.08612440191389,2857.99043062201,402.849282296654,1004.6208,17013.557416268,8155.58142201831,8,29,18,13,32,41,6,52,20,98,79,7,27,73,28,30,38,18,0,43,26,30,3,84,54,0,10,21,68.0423076923077,90.3188995215315,72,95.7574750830586,51,30,19,4,12,63,14,A,A,A,-1,-1,VA,-1,A,16.0
County,VA Virginia,VA Augusta County 51015,9,Housing Choice Vouchers,3,A,Augusta County,51015,87.0,89,77,99,4.94059614141447,5,2.80500539206054,217.207433217189,301.284767980451,486.419490675452,12639.9083349707,4506.19751774718,8,34,31,12,16,31,13,51,24,100,73,6,60,87,62,24,20,9,4,68,16,13,0,13,12,0,0,1,15.9833333333333,40.123492085395,73,118.679695301603,18,31,51,19,5,5,71,A,A,A,-1,-1,VA,-1,A,87.0
County,VA Virginia,VA Bath County 51017,9,Housing Choice Vouchers,3,A,Bath County,51017,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,VA,-1,A,
County,VA Virginia,VA Bedford County 51019,9,Housing Choice Vouchers,3,A,Bedford County,51019,23.0,93,22,100,5.29643817938056,13,2.45372490432622,52.6881781194102,231.617917091122,480.079366625874,8757.24289341613,3568.95871985324,32,32,18,18,0,13,23,59,18,100,86,0,59,86,54,37,67,22,4,73,9,14,0,40,31,0,0,9,53.1,63.6249395106507,91,127.975697796941,23,36,41,23,8,8,65,A,A,A,-1,-1,VA,-1,A,60.0
County,VA Virginia,VA Bedford city 51515,9,Housing Choice Vouchers,3,A,Bedford County,51515,39.0,94,38,100,6.03416720716338,3,2.18694568754278,80.3965990706678,280.043422911501,446.579264762188,10994.895059128,5027.51171268536,8,58,13,11,11,34,11,55,23,97,79,0,47,87,45,45,100,29,5,63,18,13,0,63,63,0,0,0,34.8333333333333,88.0262306361264,100,158.086697901224,8,60,32,34,20,25,57,A,A,A,-1,-1,VA,-1,A,37.0
County,VA Virginia,VA Bland County 51021,9,Housing Choice Vouchers,3,A,Bland County,51021,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,VA,-1,A,
County,VA Virginia,VA Botetourt County 51023,9,Housing Choice Vouchers,3,A,Botetourt County,51023,4.0,92,4,100,4.29166666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,7883.875,-4,-4,-4,-4,-4,-4,-4,-4,31,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-1.0,71.15,-4,-4.0,-4,-4,-4,-4,4,5,83,A,A,A,-1,-1,VA,-1,A,75.0
County,VA Virginia,VA Bristol city 51520,9,Housing Choice Vouchers,3,A,Bristol city,51520,256.0,96,229,93,6.60808490729227,7,2.03452617358281,498.308206885298,261.594841558245,361.95321193337,9967.44577460897,4899.1484621976,13,51,21,14,2,17,13,69,25,98,71,3,37,82,37,44,64,27,3,45,22,30,3,21,20,0,0,0,16.25,79.5984197903256,92,152.752685812922,24,43,33,31,19,10,54,A,A,A,-1,-1,VA,-1,A,79.0
County,VA Virginia,VA Brunswick County 51025,9,Housing Choice Vouchers,3,A,Brunswick County,51025,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,VA,-1,A,
County,VA Virginia,VA Buchanan County 51027,9,Housing Choice Vouchers,3,A,Buchanan County,51027,110.0,94,107,100,6.20560747663551,15,2.09345794392523,216.376166336052,212.691588785046,389.432692307692,9393.20560747662,4486.93303571428,14,61,11,10,4,11,21,67,22,98,85,7,37,92,41,65,94,38,3,56,24,17,1,1,1,0,0,0,18.08125,84.3753894080995,100,139.22429906542,1,58,41,52,26,4,50,A,A,A,-1,-1,VA,-1,A,99.0
County,VA Virginia,VA Buckingham County 51029,9,Housing Choice Vouchers,3,A,Buckingham County,51029,16.0,79,13,100,6.46002475285627,15,2.61599196666222,33.8298251414297,264.823803450245,446.467603889408,12028.0535120287,4597.89390231786,15,38,15,15,15,23,8,69,26,93,69,0,62,100,62,45,50,21,0,69,15,15,0,69,69,0,0,0,26.55,54.5970207338517,100,110.806489732497,0,15,85,31,18,40,56,A,A,A,-1,-1,VA,-1,A,31.0
County,VA Virginia,VA Buena Vista city 51530,9,Housing Choice Vouchers,3,A,Buena Vista city,51530,57.0,94,56,100,4.68988095238096,11,2.48214285714286,134.269138931746,295.857142857143,458.696428571429,11829.0535714286,4765.6618705036,9,45,23,13,11,23,7,64,24,96,75,9,48,91,52,40,71,22,0,54,21,25,0,11,9,0,0,2,27.7055555555556,77.939880952381,96,146.537037037037,13,39,48,23,10,7,66,A,A,A,-1,-1,VA,-1,A,89.0
County,VA Virginia,VA Campbell County 51031,9,Housing Choice Vouchers,3,A,Campbell County,51031,139.0,94,135,100,6.33795781581838,11,2.03795801229218,266.91477697537,215.856451495242,412.51994978231,9076.06263187684,4453.50815725029,17,53,17,10,2,15,16,66,20,100,85,1,42,86,42,50,91,35,1,50,22,27,1,61,58,1,1,3,22.1377777777778,90.026627348423,96,121.172426327365,13,56,32,37,12,20,59,A,A,A,-1,-1,VA,-1,A,39.0
County,VA Virginia,VA Caroline County 51033,9,Housing Choice Vouchers,3,A,Caroline County,51033,11.0,94,11,100,4.04545454545455,9,4.27272727272727,45.4003563294394,197.272727272727,1120.0,11099.2727272727,2597.70212765957,9,55,9,9,18,18,36,27,15,100,91,0,91,100,91,36,-1,13,0,100,0,0,0,100,100,0,0,0,24.6666666666667,41.4939393939394,100,119.363636363636,0,18,82,9,9,41,73,A,A,A,-1,-1,VA,-1,A,0.0
County,VA Virginia,VA Carroll County 51035,9,Housing Choice Vouchers,3,A,Carroll County,51035,133.0,94,130,100,5.92846153846153,11,1.95384615384615,245.35511718463,221.976923076923,389.193798449612,8816.24615384614,4512.25196850393,14,61,18,6,1,10,12,76,21,99,88,5,35,87,35,53,91,37,3,55,18,25,2,5,5,1,0,0,54.902380952381,89.0223076923075,100,148.553846153846,5,37,58,61,13,3,61,A,A,A,-1,-1,VA,-1,A,95.0
County,VA Virginia,VA Charles City County 51036,9,Housing Choice Vouchers,3,A,Charles City County,51036,4.0,94,4,100,6.85,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3033.61538461538,-4,-4,-4,-4,-4,-4,-4,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,54.3083333333333,-4,-4.0,-4,-4,-4,-4,14,59,69,A,A,A,-1,-1,VA,-1,A,0.0
County,VA Virginia,VA Charlotte County 51037,9,Housing Choice Vouchers,3,A,Charlotte County,51037,4.0,89,4,100,6.10047105871192,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3342.13264002429,-4,-4,-4,-4,-4,-4,-4,-4,26,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,75,-4,-4,-4,-4,-1.0,81.8512784869575,-4,-4.0,-4,-4,-4,-4,17,35,60,A,A,A,-1,-1,VA,-1,A,25.0
County,VA Virginia,VA Charlottesville city 51540,9,Housing Choice Vouchers,3,A,Charlottesville city,51540,594.0,82,500,99,5.86871910466604,3,2.04338100681258,1006.3952865955,295.837879086468,648.815931918601,11905.5337443849,5826.3895498158,13,38,21,17,12,29,6,64,20,98,84,2,38,73,37,56,92,34,3,62,25,10,1,65,64,0,1,1,36.0511038553388,98.451261978488,96,86.9826279756534,31,32,37,28,21,36,37,A,A,A,-1,-1,VA,-1,A,35.0
County,VA Virginia,VA Chesapeake city 51550,9,Housing Choice Vouchers,3,A,Chesapeake city,51550,1697.0,77,1338,100,5.13985802246937,2,2.6008615162632,3377.39038076447,357.128911709714,780.950916201944,14106.2697307538,5423.69120483626,13,27,20,17,23,37,12,47,24,94,69,2,55,94,56,27,67,17,0,66,18,15,1,94,92,0,0,2,14.1885172058866,57.9972950223719,98,188.184545743786,7,44,49,31,15,55,49,A,A,A,-1,-1,VA,-1,A,6.0
County,VA Virginia,VA Chesterfield County 51041,9,Housing Choice Vouchers,3,A,Chesterfield County,51041,1188.0,91,1088,98,5.18125147842413,2,3.26553978159047,3525.77601494566,361.990413652549,835.054140107147,14289.6529298454,4375.89307911775,18,23,16,17,26,35,19,42,21,97,75,3,74,96,76,22,70,15,1,81,12,7,1,87,85,0,0,2,48.401030228174,85.0949120658928,98,152.298277092591,4,20,76,24,8,34,70,A,A,A,-1,-1,VA,-1,A,13.0
County,VA Virginia,VA Clarke County 51043,9,Housing Choice Vouchers,3,A,Clarke County,51043,26.0,94,25,100,6.43333333333333,0,1.84,44.4343913011535,315.68,654.958333333333,14008.48,7613.30434782609,16,24,24,12,24,28,8,56,17,100,80,0,36,76,36,12,25,13,0,52,16,32,0,48,48,0,0,0,-1.0,40.032,100,73.44,8,52,40,48,7,9,69,A,A,A,-1,-1,VA,-1,A,52.0
County,VA Virginia,VA Clifton Forge city 51560,9,Housing Choice Vouchers,3,A,Alleghany County,51560,5.0,83,4,100,5.4,-4,-4.0,-4.0,-4.0,-4.0,-4.0,2031.15384615385,-4,-4,-4,-4,-4,-4,-4,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,19.0166666666667,15.6416666666667,-4,-4.0,-4,-4,-4,-4,19,18,60,A,A,A,-1,-1,VA,-1,A,75.0
County,VA Virginia,VA Colonial Heights city 51570,9,Housing Choice Vouchers,3,A,Colonial Heights city,51570,117.0,96,114,100,4.81329282236281,2,2.56054403623216,285.969899335941,328.694252960002,718.328039021109,11992.0159021667,4683.38592598974,19,30,22,14,15,29,20,48,19,98,82,1,63,96,63,28,87,19,3,71,13,13,1,77,76,0,0,1,28.8833333333333,77.9014464616034,97,138.393639812844,3,56,40,25,6,15,56,A,A,A,-1,-1,VA,-1,A,23.0
County,VA Virginia,VA Covington city 51580,9,Housing Choice Vouchers,3,A,Covington city,51580,27.0,83,23,100,4.37101449275362,17,2.52173913043478,56.8163265306122,269.0,398.272727272727,10909.347826087,4326.12068965517,13,39,26,17,4,27,14,50,24,96,74,9,52,91,61,32,100,21,0,52,30,17,4,48,48,0,0,0,4.19166666666667,25.3797101449275,96,165.454545454545,17,43,39,22,15,19,60,A,A,A,-1,-1,VA,-1,A,52.0
County,VA Virginia,VA Craig County 51045,9,Housing Choice Vouchers,3,A,Craig County,51045,24.0,94,23,100,4.10715437887768,26,2.13027243331356,47.3876618167449,220.274934239299,437.541850610385,9489.20014720099,4454.45380544163,30,30,22,9,9,17,22,52,19,100,78,4,30,69,35,39,80,25,4,48,26,22,0,0,0,0,0,0,58.6055555555556,60.1249924485561,100,127.951876310024,22,52,26,26,10,1,65,A,A,A,-1,-1,VA,-1,A,100.0
