gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,VA Virginia,VA Accomack County 51001,9,Housing Choice Vouchers,3,,Accomack County,51001,351,93,320,98,6,10,2.3,727,316,452,12035,5297,6,39,30,15,9,29,1,68,28,95,67,3,45,86,47,46,85,28,3,55,23,19,2,89,87,-1,0,11,-1,2,-1,2,0,34,84,100,172,18,33,49,34,21,46,73,,,,,,VA,,,11.0
County,VA Virginia,VA Albemarle County 51003,9,Housing Choice Vouchers,3,,Albemarle County,51003,480,77,409,100,5,6,2.3,937,371,724,14783,6453,7,26,26,16,26,38,3,54,22,98,75,2,50,88,49,37,75,23,2,61,20,17,2,63,61,0,1,37,0,0,0,1,0,46,103,98,104,21,41,38,20,10,30,45,,,,,,VA,,,37.0
County,VA Virginia,VA Alleghany County 51005,9,Housing Choice Vouchers,3,,Alleghany County,51005,31,83,25,98,5,12,1.8,45,402,411,13963,7757,-1,21,33,33,13,28,-1,68,33,92,36,-1,40,92,40,47,63,29,-1,44,24,32,-1,56,56,-1,-1,44,-1,-1,-1,0,0,6,49,92,126,8,52,40,60,9,5,86,,,,,,VA,,,44.0
County,VA Virginia,VA Amelia County 51007,9,Housing Choice Vouchers,3,,Amelia County,51007,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
County,VA Virginia,VA Amherst County 51009,9,Housing Choice Vouchers,3,,Amherst County,51009,61,90,55,100,7,7,2.4,131,360,694,13117,5507,9,35,26,11,19,33,-1,64,26,95,67,2,45,87,47,47,70,27,-1,55,27,18,2,75,73,-1,-1,25,-1,2,-1,2,0,1,129,100,133,13,53,35,36,13,26,74,,,,,,VA,,,25.0
County,VA Virginia,VA Appomattox County 51011,9,Housing Choice Vouchers,3,,Appomattox County,51011,61,90,55,100,7,5,2.2,123,311,694,11519,5151,13,37,19,17,15,25,2,71,23,100,76,4,42,96,45,40,92,28,2,58,16,24,-1,71,71,-1,-1,29,-1,-1,-1,0,0,118,190,100,147,2,29,69,49,17,22,72,,,,,,VA,,,29.0
County,VA Virginia,VA Arlington County 51013,9,Housing Choice Vouchers,3,,Arlington County,51013,1542,86,1219,91,5,3,2.0,2446,430,967,17725,8833,7,28,18,12,34,42,2,55,20,97,78,6,25,73,27,31,43,20,0,37,27,36,3,85,54,0,8,15,2,20,0,22,1,27,123,75,94,52,31,17,7,13,56,16,,,,,,VA,,,15.0
County,VA Virginia,VA Augusta County 51015,9,Housing Choice Vouchers,3,,Augusta County,51015,122,81,97,98,5,10,2.7,261,354,505,13900,5166,6,26,29,15,23,43,1,54,27,97,62,5,55,89,56,32,50,14,1,68,21,10,-1,26,22,-1,3,74,-1,1,-1,1,2,18,67,94,117,8,41,51,28,10,9,82,,,,,,VA,,,74.0
County,VA Virginia,VA Bedford County 51019,9,Housing Choice Vouchers,3,,Bedford County,51019,66,88,58,100,6,9,2.3,132,259,668,10036,4410,9,52,25,11,4,22,2,72,21,100,86,3,38,83,40,50,100,30,-1,57,22,21,2,45,41,-1,-1,55,-1,3,-1,3,0,67,112,100,156,21,38,41,36,5,4,29,,,,,,VA,,,55.0
County,VA Virginia,VA Botetourt County 51023,9,Housing Choice Vouchers,3,,Botetourt County,51023,2,-4,2,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
County,VA Virginia,VA Buchanan County 51027,9,Housing Choice Vouchers,3,,Buchanan County,51027,119,90,107,100,8,10,2.0,218,224,694,8756,4298,17,58,18,7,-1,14,4,80,21,100,85,7,36,90,38,57,100,37,4,54,22,20,1,3,2,-1,-1,97,-1,1,-1,1,0,29,111,99,146,3,50,47,54,25,5,65,,,,,,VA,,,97.0
County,VA Virginia,VA Buckingham County 51029,9,Housing Choice Vouchers,3,,Buckingham County,51029,64,77,49,99,6,2,2.3,115,298,479,11875,5060,4,47,31,12,6,35,-1,65,28,92,69,-1,49,86,47,27,17,11,4,41,31,24,2,82,82,-1,-1,18,-1,-1,-1,0,2,-1,45,100,96,2,49,49,45,26,42,70,,,,,,VA,,,18.0
County,VA Virginia,VA Campbell County 51031,9,Housing Choice Vouchers,3,,Campbell County,51031,140,90,126,100,7,11,2.1,262,260,692,10034,4826,11,52,24,6,7,17,2,77,21,98,87,2,38,87,39,56,94,37,2,48,24,26,2,64,60,1,-1,36,-1,2,1,3,0,74,103,96,133,13,51,37,39,15,24,71,,,,,,VA,,,36.0
County,VA Virginia,VA Caroline County 51033,9,Housing Choice Vouchers,3,,Caroline County,51033,16,90,14,100,6,-1,4.0,56,316,694,8467,2117,36,18,27,-1,18,21,7,50,12,100,86,7,86,93,93,15,100,7,-1,93,-1,7,-1,86,86,-1,-1,14,-1,-1,-1,0,0,-1,76,100,174,-1,14,86,21,9,44,90,,,,,,VA,,,14.0
County,VA Virginia,VA Carroll County 51035,9,Housing Choice Vouchers,3,,Carroll County,51035,119,90,107,100,6,9,1.9,207,254,694,9471,4896,10,52,27,6,5,19,1,75,23,99,82,3,31,86,30,55,93,37,3,41,31,25,1,8,7,-1,-1,92,-1,2,-1,2,0,48,113,99,139,4,47,50,63,18,5,70,,,,,,VA,,,92.0
County,VA Virginia,VA Charles City County 51036,9,Housing Choice Vouchers,3,,Charles City County,51036,4,-4,4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
County,VA Virginia,VA Charlotte County 51037,9,Housing Choice Vouchers,3,,Charlotte County,51037,5,-4,4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
