Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,VA Virginia,VA Accomack County 51001,9,Housing Choice Vouchers,3,,Accomack County,51001,351,100,358,100,5,14,2.2,799,280,481,12152,5445,9,37,26,15,12,27,1,69,27,95,66,2,47,84,48,44,82,28,3,50,23,24,2,89,87,0,1,11,-1,1,-1,1,0,15,79,100,122,22,33,46,31,22,47,77,,,,,,VA,,,11.0
2018-12-31,County,VA Virginia,VA Albemarle County 51003,9,Housing Choice Vouchers,3,,Albemarle County,51003,622,66,449,100,5,4,2.2,994,382,768,16081,7264,6,24,22,18,29,39,1,57,23,96,74,3,43,84,44,37,81,25,1,57,23,20,1,67,63,0,2,33,0,1,0,2,0,54,116,98,92,28,41,31,21,12,30,38,,,,,,VA,,,33.0
2018-12-31,County,VA Virginia,VA Alleghany County 51005,9,Housing Choice Vouchers,3,,Alleghany County,51005,26,88,23,100,5,30,1.3,29,337,383,12811,10161,4,17,52,22,4,9,-1,91,31,100,52,-1,17,87,13,77,60,55,-1,22,35,43,4,35,35,-1,-1,65,-1,-1,-1,0,0,10,52,74,108,35,43,22,61,22,7,81,,,,,,VA,,,65.0
2018-12-31,County,VA Virginia,VA Amherst County 51009,9,Housing Choice Vouchers,3,,Amherst County,51009,57,92,53,100,5,4,2.3,121,323,737,13591,5953,2,46,23,12,17,28,4,66,26,96,72,2,42,83,42,54,67,31,-1,51,26,23,2,74,72,-1,-1,26,-1,2,-1,2,0,4,138,100,112,57,32,11,2,16,26,77,,,,,,VA,,,26.0
2018-12-31,County,VA Virginia,VA Appomattox County 51011,9,Housing Choice Vouchers,3,,Appomattox County,51011,70,92,65,100,6,2,2.6,169,266,734,11240,4323,15,41,20,15,10,26,3,65,21,95,78,3,52,92,52,43,86,26,2,57,20,22,2,77,77,-1,-1,23,-1,-1,-1,0,0,-1,175,100,112,52,29,18,2,15,22,75,,,,,,VA,,,23.0
2018-12-31,County,VA Virginia,VA Arlington County 51013,9,Housing Choice Vouchers,3,,Arlington County,51013,1684,90,1444,95,5,9,2.0,2822,504,946,20995,10743,4,23,20,13,40,43,0,56,22,95,75,8,21,71,23,28,38,18,1,31,28,41,5,83,56,0,7,17,2,17,0,19,1,28,123,69,92,54,30,15,6,14,58,14,,,,,,VA,,,17.0
2018-12-31,County,VA Virginia,VA Augusta County 51015,9,Housing Choice Vouchers,3,,Augusta County,51015,148,81,116,96,6,10,2.2,258,366,479,14779,6645,6,24,33,16,21,34,1,64,28,94,61,3,55,90,57,27,56,17,2,54,21,23,-1,28,24,-1,2,72,1,1,-1,2,1,8,69,84,98,6,46,48,40,8,9,77,,,,,,VA,,,72.0
2018-12-31,County,VA Virginia,VA Bedford County 51019,9,Housing Choice Vouchers,3,,Bedford County,51019,61,90,55,100,6,11,2.1,115,276,697,11371,5438,8,38,20,24,10,24,4,64,22,100,75,2,40,80,38,38,100,31,7,45,20,27,2,53,49,-1,-1,47,-1,4,-1,4,0,40,121,100,151,47,31,22,18,20,3,67,,,,,,VA,,,47.0
2018-12-31,County,VA Virginia,VA Botetourt County 51023,9,Housing Choice Vouchers,3,,Botetourt County,51023,4,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
2018-12-31,County,VA Virginia,VA Buchanan County 51027,9,Housing Choice Vouchers,3,,Buchanan County,51027,125,92,116,100,6,8,2.1,239,214,737,9287,4508,14,56,24,5,1,15,4,81,21,100,88,5,38,91,41,56,94,35,3,43,28,27,2,1,1,-1,-1,99,-1,-1,-1,0,0,30,121,98,127,64,30,6,4,23,4,58,,,,,,VA,,,99.0
2018-12-31,County,VA Virginia,VA Buckingham County 51029,9,Housing Choice Vouchers,3,,Buckingham County,51029,77,65,63,100,5,37,1.9,119,325,486,12148,6431,2,33,46,11,8,27,-1,73,28,97,60,-1,33,81,32,35,10,13,-1,27,27,46,5,76,76,-1,-1,24,-1,-1,-1,0,2,23,54,100,88,30,35,35,40,16,42,69,,,,,,VA,,,24.0
2018-12-31,County,VA Virginia,VA Campbell County 51031,9,Housing Choice Vouchers,3,,Campbell County,51031,121,92,112,100,6,9,2.0,219,253,731,10517,5379,10,51,21,9,10,17,2,74,21,98,83,1,36,89,35,45,97,36,-1,46,25,29,-1,66,63,1,-1,34,-1,2,1,3,0,39,109,97,108,64,22,13,6,16,24,73,,,,,,VA,,,34.0
2018-12-31,County,VA Virginia,VA Caroline County 51033,9,Housing Choice Vouchers,3,,Caroline County,51033,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
2018-12-31,County,VA Virginia,VA Carroll County 51035,9,Housing Choice Vouchers,3,,Carroll County,51035,110,92,102,100,5,12,2.1,216,242,737,10327,4877,8,52,25,9,6,19,2,76,23,99,75,5,32,83,31,48,78,30,2,44,27,26,3,12,11,-1,-1,88,-1,1,-1,1,0,27,113,99,107,11,52,37,48,14,5,71,,,,,,VA,,,88.0
