Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2022-12-31,County,VA Virginia,VA Accomack County 51001,9,Housing Choice Vouchers,3,,Accomack County,51001,373,89,344,100,6,11,2.0,685,344,507,13728,6894,5,13,50,16,17,20,1,77,27,96,67,2,35,82,35,47,77,34,1,42,19,39,1,88,87,-1,-1,12,-1,1,-1,1,0,11,87,99,150,25,34,41,38,11,22,46,,,,,,VA,,,12.0
2022-12-31,County,VA Virginia,VA Albemarle County 51003,9,Housing Choice Vouchers,3,,Albemarle County,51003,783,66,589,100,5,12,2.2,1282,489,884,19169,8807,5,11,30,15,39,40,4,53,23,96,73,4,41,80,41,36,78,24,2,55,22,22,1,72,68,0,2,28,0,1,0,1,2,23,103,98,94,25,43,31,24,5,9,9,,,,,,VA,,,28.0
2022-12-31,County,VA Virginia,VA Alleghany County 51005,9,Housing Choice Vouchers,3,,Alleghany County,51005,31,76,24,100,6,8,1.2,29,351,486,12557,10392,-1,9,70,13,9,-1,-1,96,26,100,75,-1,8,79,4,92,50,66,-1,17,33,50,4,21,21,-1,-1,79,-1,-1,-1,0,0,5,68,75,116,33,46,21,58,27,7,78,,,,,,VA,,,79.0
2022-12-31,County,VA Virginia,VA Amelia County 51007,9,Housing Choice Vouchers,3,,Amelia County,51007,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
2022-12-31,County,VA Virginia,VA Amherst County 51009,9,Housing Choice Vouchers,3,,Amherst County,51009,78,85,70,100,7,10,2.2,152,363,799,15168,6985,7,13,36,18,25,23,-1,73,24,96,71,-1,41,90,41,55,65,35,-1,49,19,33,1,71,70,-1,-1,29,-1,1,-1,1,0,55,114,93,140,31,41,27,19,10,17,48,,,,,,VA,,,29.0
2022-12-31,County,VA Virginia,VA Appomattox County 51011,9,Housing Choice Vouchers,3,,Appomattox County,51011,78,88,71,100,6,17,2.7,194,306,861,13190,4827,9,22,33,10,25,34,1,59,20,99,80,7,48,89,51,50,69,25,4,56,21,18,-1,82,82,-1,-1,18,-1,-1,-1,0,0,25,147,100,137,35,30,35,6,4,7,21,,,,,,VA,,,18.0
2022-12-31,County,VA Virginia,VA Arlington County 51013,9,Housing Choice Vouchers,3,,Arlington County,51013,1799,86,1582,100,6,4,1.9,3038,516,1219,21470,11180,5,9,32,14,41,38,1,58,19,97,81,7,20,71,20,25,39,18,2,29,25,44,7,83,59,0,7,17,2,15,1,18,1,13,137,64,95,55,31,14,6,10,46,11,,,,,,VA,,,17.0
2022-12-31,County,VA Virginia,VA Augusta County 51015,9,Housing Choice Vouchers,3,,Augusta County,51015,174,79,129,94,5,9,2.1,266,422,558,16190,7852,2,14,32,24,28,29,9,60,26,96,68,2,46,88,46,39,69,24,2,50,24,25,1,46,40,1,2,54,2,1,-1,2,2,16,67,99,165,8,53,39,47,4,3,33,,,,,,VA,,,54.0
2022-12-31,County,VA Virginia,VA Bedford County 51019,9,Housing Choice Vouchers,3,,Bedford County,51019,53,85,47,100,7,-1,2.0,94,347,807,14304,7152,7,9,50,9,26,23,-1,74,23,98,72,2,40,81,38,41,100,33,-1,51,23,26,-1,49,43,-1,2,51,-1,4,-1,4,0,2,129,98,166,26,34,40,38,3,3,23,,,,,,VA,,,51.0
2022-12-31,County,VA Virginia,VA Botetourt County 51023,9,Housing Choice Vouchers,3,,Botetourt County,51023,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,
