gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,VT Vermont,VT Addison County 50001,9,Housing Choice Vouchers,3,A,Addison County,50001,291.0,92,271,100,6.03505535055352,7,2.11439114391145,568.823935558113,313.285185185186,598.573033707868,11567.3616236163,5470.77661431064,11,43,21,12,12,21,15,64,20,98,83,8,37,73,40,48,64,27,7,58,19,15,0,3,1,1,1,0,26.6018518518518,75.2259532595329,84,105.390350877193,44,38,18,6,11,6,51,A,A,A,-1,-1,VT,-1,A,97.0
County,VT Vermont,VT Bennington County 50003,9,Housing Choice Vouchers,3,A,Bennington County,50003,446.0,93,400,96,5.20209328194461,3,1.88586430997155,781.468315641124,327.852697078392,549.037957315459,12363.9521824614,6556.11971502231,3,46,29,13,9,13,9,78,25,97,75,5,28,73,30,64,81,40,7,47,22,24,2,2,1,0,0,1,16.9205128205128,90.6155745007379,83,97.8788590233208,56,28,16,5,16,4,42,A,A,A,-1,-1,VT,-1,A,98.0
County,VT Vermont,VT Caledonia County 50005,9,Housing Choice Vouchers,3,A,Caledonia County,50005,204.0,92,190,100,5.12473684210528,7,1.78947368421053,337.522056003069,297.72131147541,450.494505494507,11287.4473684211,6307.69117647059,6,54,23,10,7,12,7,81,23,98,81,5,22,76,22,68,69,43,2,38,27,33,5,2,1,1,1,1,10.6487179487179,95.5531578947371,72,98.1323529411765,61,22,17,6,14,4,46,A,A,A,-1,-1,VT,-1,A,98.0
County,VT Vermont,VT Chittenden County 50007,9,Housing Choice Vouchers,3,A,Chittenden County,50007,2605.0,96,2452,98,4.05217929947913,5,2.30140304454088,5745.40601522563,375.99889577859,798.505444650767,14990.8261028718,6513.77694942712,5,35,22,16,23,28,11,61,24,96,75,6,39,72,38,49,55,25,4,58,20,19,2,14,9,1,3,2,24.2002268794957,80.1646629131746,80,149.440793060111,35,42,23,11,15,9,36,A,A,A,-1,-1,VT,-1,A,86.0
County,VT Vermont,VT Essex County 50009,9,Housing Choice Vouchers,3,A,Essex County,50009,29.0,92,27,100,5.0641975308642,0,1.55555555555556,41.6939010356732,259.423076923077,451.576923076923,10391.7777777778,6680.42857142857,7,41,44,7,0,8,0,92,22,100,85,4,7,44,7,75,45,48,0,37,22,41,4,0,0,0,0,0,-1.0,87.641975308642,41,76.4545454545454,70,19,11,7,18,3,60,A,A,A,-1,-1,VT,-1,A,100.0
County,VT Vermont,VT Franklin County 50011,9,Housing Choice Vouchers,3,A,Franklin County,50011,605.0,93,560,99,5.39641200914018,8,2.02994292030858,1137.72733329296,319.429444607439,688.930701241153,12902.8143959084,6356.24493025006,5,44,25,11,15,13,13,74,22,98,82,6,32,74,33,57,62,34,3,51,21,25,3,4,0,3,0,1,12.4083399856666,74.0643947798743,68,160.224311249683,48,32,20,8,9,4,53,A,A,A,-1,-1,VT,-1,A,96.0
County,VT Vermont,VT Grand Isle County 50013,9,Housing Choice Vouchers,3,A,Grand Isle County,50013,37.0,92,34,100,4.73235294117647,9,2.14705882352941,72.4679708477177,342.69696969697,750.39393939394,12377.0882352941,5764.67123287671,12,38,18,15,18,19,16,66,20,100,76,6,41,88,44,48,33,26,9,71,12,9,3,3,0,0,0,3,35.8777777777778,72.3019607843137,71,203.333333333333,38,41,21,9,6,3,67,A,A,A,-1,-1,VT,-1,A,97.0
County,VT Vermont,VT Lamoille County 50015,9,Housing Choice Vouchers,3,A,Lamoille County,50015,147.0,92,137,100,5.23649635036496,7,2.05109489051095,278.952052167242,341.977611940298,555.203007518797,13082.7956204379,6378.44483985765,4,42,23,18,14,14,10,76,26,94,73,7,31,74,36,63,67,36,3,55,20,22,2,8,4,2,0,3,13.9333333333333,86.2255474452553,62,137.4,55,26,19,1,11,4,54,A,A,A,-1,-1,VT,-1,A,92.0
County,VT Vermont,VT No county code 50999,9,Housing Choice Vouchers,3,A,Missing County,50999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,VT,-1,A,
County,VT Vermont,VT Orange County 50017,9,Housing Choice Vouchers,3,A,Orange County,50017,127.0,92,118,100,5.18860126855784,7,1.73705188841978,203.543492407056,302.477466818474,509.363419882457,11786.6253161154,6785.4192466512,3,52,25,12,9,9,8,84,24,100,80,8,19,75,24,65,78,46,4,45,17,34,5,3,1,2,0,0,5.74583333333333,82.5417944247662,79,102.910909371186,58,30,11,7,10,3,63,A,A,A,-1,-1,VT,-1,A,97.0
