Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2015-12-31,County,VT VERMONT,VT ESSEX COUNTY 50009,9,Housing Choice Vouchers,3,,Essex County,50009,24,84,21,100,6,5,1.6,34,289,726,11825,7304,-1,33,52,10,5,-1,5,95,24,100,90,5,14,57,14,90,55,47,-1,29,19,52,5,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,99,57,107,48,38,14,24,20,4,79,,,,,,VT,,,100.0
2015-12-31,County,VT VERMONT,VT GRAND ISLE COUNTY 50013,9,Housing Choice Vouchers,3,,Grand Isle County,50013,36,84,32,100,4,19,2.5,80,490,726,17804,7122,-1,25,28,16,31,44,13,44,25,97,75,13,50,75,53,41,33,20,6,75,9,9,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,3,69,94,187,19,41,41,22,7,5,79,,,,,,VT,,,100.0
2015-12-31,County,VT VERMONT,VT CALEDONIA COUNTY 50005,9,Housing Choice Vouchers,3,,Caledonia County,50005,154,84,136,100,5,12,1.7,231,340,726,13193,7768,2,47,25,12,14,15,5,79,26,97,76,7,16,72,19,73,61,44,1,30,37,32,4,1,1,-1,-1,99,-1,-1,-1,0,0,13,114,73,121,53,29,18,17,17,5,54,,,,,,VT,,,99.0
2015-12-31,County,VT VERMONT,VT ORANGE COUNTY 50017,9,Housing Choice Vouchers,3,,Orange County,50017,133,84,117,100,5,13,1.9,219,339,726,13386,7151,1,38,32,20,9,13,7,80,26,98,74,5,19,68,22,68,68,43,-1,42,23,35,3,2,1,1,-1,98,-1,-1,-1,0,1,24,103,79,98,50,32,18,15,16,4,77,,,,,,VT,,,98.0
2015-12-31,County,VT VERMONT,VT ORLEANS COUNTY 50019,9,Housing Choice Vouchers,3,,Orleans County,50019,120,84,106,100,5,8,1.3,138,304,726,11200,8603,4,50,27,17,2,2,5,92,24,100,81,-1,10,62,8,86,78,70,4,27,31,38,2,2,2,-1,-1,98,-1,-1,-1,0,2,27,136,77,121,75,20,6,7,19,5,65,,,,,,VT,,,98.0
2015-12-31,County,VT VERMONT,VT WASHINGTON COUNTY 50023,9,Housing Choice Vouchers,3,,Washington County,50023,595,81,504,100,6,12,1.8,912,337,709,12762,7053,2,41,33,11,13,15,8,75,22,98,82,5,28,71,30,65,67,40,4,48,23,25,1,3,1,0,1,97,-1,1,-1,1,0,15,104,78,123,52,30,19,11,13,6,50,,,,,,VT,,,97.0
2015-12-31,County,VT VERMONT,VT ADDISON COUNTY 50001,9,Housing Choice Vouchers,3,,Addison County,50001,266,84,234,100,5,19,2.0,479,369,726,14292,6982,4,38,24,15,19,24,12,62,24,96,76,10,31,68,36,56,77,33,6,50,26,17,0,4,1,1,1,96,-1,1,-1,1,1,14,102,80,107,50,32,19,8,17,10,56,,,,,,VT,,,96.0
2015-12-31,County,VT VERMONT,VT RUTLAND COUNTY 50021,9,Housing Choice Vouchers,3,,Rutland County,50021,598,89,548,100,6,11,1.8,972,364,671,14058,7926,4,34,26,20,16,17,6,76,28,95,66,5,22,70,25,65,59,40,3,41,27,30,2,4,1,1,1,96,-1,1,0,1,1,17,95,77,101,57,29,14,9,14,5,51,,,,,,VT,,,96.0
2015-12-31,County,VT VERMONT,VT BENNINGTON COUNTY 50003,9,Housing Choice Vouchers,3,,Bennington County,50003,462,83,412,100,6,15,1.9,769,378,655,13802,7394,3,40,27,16,15,16,8,75,27,95,73,5,26,72,28,66,79,41,4,41,30,25,1,5,3,0,-1,95,-1,1,-1,1,0,17,108,85,95,54,30,16,8,24,5,44,,,,,,VT,,,95.0
2015-12-31,County,VT VERMONT,VT LAMOILLE COUNTY 50015,9,Housing Choice Vouchers,3,,Lamoille County,50015,145,84,128,100,5,9,2.1,275,388,726,15875,7389,2,34,24,20,21,17,4,78,28,93,65,8,31,72,35,67,79,41,1,43,32,24,2,5,2,1,-1,95,1,2,-1,2,0,7,119,59,151,51,23,26,5,14,5,65,,,,,,VT,,,95.0
