sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adams County,53001,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,0,0,-1,-1,-1,-1,-1,WA,-1,-1,
9,3,VO,-1,Asotin County,53003,-1,-1,219.0,-1.0,4.0,10.0,2.2,477.0,275.0,404.0,11.1,5.1,7.0,53.0,22.0,10.0,8.0,20.0,10.0,69.0,25.0,95.0,76.0,14.0,29.0,81.0,41.0,58.0,80.0,33.0,4.0,53.0,21.0,22.0,2.0,6.0,1.0,4.0,0.0,2.0,45.0,74.0,96.0,100.0,23.0,46.0,31.0,27.0,6,19,50,-1,-1,-1,-1,-1,WA,-1,-1,94.0
9,3,VO,-1,Benton County,53005,-1,-1,963.0,-1.0,5.0,13.0,2.1,2038.0,314.0,418.0,12.0,5.7,9.0,43.0,23.0,14.0,11.0,25.0,11.0,62.0,23.0,97.0,75.0,12.0,28.0,75.0,35.0,48.0,49.0,26.0,5.0,54.0,22.0,19.0,1.0,18.0,4.0,1.0,1.0,12.0,9.0,60.0,99.0,111.0,37.0,38.0,25.0,17.0,21,14,45,-1,-1,-1,-1,-1,WA,-1,-1,82.0
9,3,VO,-1,Chelan County,53007,-1,-1,292.0,-1.0,5.0,13.0,2.1,599.0,285.0,410.0,11.4,5.6,8.0,45.0,25.0,14.0,8.0,17.0,8.0,73.0,25.0,98.0,72.0,16.0,25.0,78.0,36.0,57.0,80.0,33.0,2.0,48.0,26.0,24.0,3.0,14.0,3.0,2.0,2.0,8.0,15.0,65.0,90.0,43.0,33.0,41.0,26.0,24.0,26,17,46,-1,-1,-1,-1,-1,WA,-1,-1,86.0
9,3,VO,-1,Clallam County,53009,-1,-1,391.0,-1.0,6.0,14.0,1.9,730.0,280.0,455.0,10.7,5.8,8.0,54.0,20.0,10.0,7.0,19.0,18.0,60.0,25.0,97.0,75.0,10.0,28.0,74.0,35.0,57.0,70.0,35.0,5.0,54.0,27.0,15.0,1.0,13.0,1.0,8.0,1.0,3.0,8.0,66.0,85.0,113.0,37.0,38.0,25.0,23.0,10,14,52,-1,-1,-1,-1,-1,WA,-1,-1,87.0
9,3,VO,-1,Clark County,53011,-1,-1,1798.0,-1.0,7.0,7.0,2.2,3983.0,375.0,498.0,12.4,5.6,4.0,46.0,24.0,14.0,12.0,21.0,14.0,65.0,22.0,98.0,82.0,14.0,23.0,71.0,32.0,56.0,77.0,32.0,1.0,49.0,22.0,27.0,2.0,18.0,10.0,1.0,4.0,3.0,54.0,55.0,98.0,112.0,23.0,46.0,31.0,27.0,18,15,42,-1,-1,-1,-1,-1,WA,-1,-1,82.0
9,3,VO,-1,Columbia County,53013,-1,-1,33.0,-1.0,3.0,12.0,1.4,46.0,224.0,376.0,9.6,7.3,6.0,58.0,27.0,6.0,3.0,3.0,9.0,85.0,23.0,100.0,85.0,3.0,12.0,70.0,15.0,76.0,8.0,39.0,0.0,36.0,27.0,36.0,9.0,6.0,0.0,3.0,0.0,3.0,8.0,67.0,97.0,98.0,45.0,39.0,15.0,33.0,10,13,60,-1,-1,-1,-1,-1,WA,-1,-1,94.0
9,3,VO,-1,Cowlitz County,53015,-1,-1,1281.0,-1.0,4.0,17.0,2.1,2750.0,269.0,456.0,10.7,5.0,12.0,49.0,20.0,11.0,7.0,16.0,20.0,60.0,23.0,98.0,78.0,14.0,28.0,77.0,39.0,56.0,67.0,30.0,5.0,57.0,24.0,14.0,1.0,8.0,2.0,1.0,1.0,3.0,22.0,55.0,98.0,107.0,27.0,44.0,29.0,26.0,14,22,38,-1,-1,-1,-1,-1,WA,-1,-1,92.0
9,3,VO,-1,Douglas County,53017,-1,-1,143.0,-1.0,5.0,8.0,2.1,305.0,272.0,458.0,11.2,5.2,7.0,49.0,27.0,10.0,8.0,28.0,5.0,67.0,24.0,97.0,77.0,8.0,38.0,83.0,44.0,44.0,77.0,26.0,8.0,52.0,20.0,21.0,3.0,13.0,1.0,1.0,1.0,10.0,13.0,66.0,97.0,36.0,15.0,52.0,33.0,36.0,18,16,44,-1,-1,-1,-1,-1,WA,-1,-1,87.0
9,3,VO,-1,Ferry County,53019,-1,-1,27.0,-1.0,7.0,11.0,1.5,40.0,226.0,348.0,9.0,6.1,0.0,78.0,22.0,0.0,0.0,7.0,0.0,93.0,23.0,100.0,93.0,4.0,4.0,67.0,7.0,90.0,43.0,58.0,0.0,44.0,30.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,43.0,67.0,75.0,33.0,48.0,19.0,44.0,8,17,50,-1,-1,-1,-1,-1,WA,-1,-1,100.0
9,3,VO,-1,Franklin County,53021,-1,-1,282.0,-1.0,6.0,27.0,3.0,842.0,318.0,326.0,12.4,4.1,7.0,38.0,25.0,16.0,13.0,37.0,22.0,41.0,22.0,99.0,80.0,16.0,43.0,75.0,50.0,29.0,56.0,13.0,6.0,62.0,15.0,17.0,0.0,56.0,8.0,0.0,0.0,47.0,10.0,50.0,100.0,106.0,31.0,41.0,28.0,7.0,60,23,46,-1,-1,-1,-1,-1,WA,-1,-1,44.0
