gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,WA Washington,WA Adams County 53001,9,Housing Choice Vouchers,3,A,Adams County,53001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WA,-1,A,
County,WA Washington,WA Asotin County 53003,9,Housing Choice Vouchers,3,A,Asotin County,53003,218.0,100,222,100,5.32975610061581,8,2.12602235955031,461.341262130147,282.713765459781,428.944518692196,10612.7187949313,4991.81899346349,9,51,24,9,7,18,14,65,24,99,80,3,39,81,41,58,72,32,3,59,20,18,1,8,1,5,1,2,28.9611111111111,71.8833727357703,95,109.494115109857,25,47,28,27,19,6,50,A,A,A,-1,-1,WA,-1,A,92.0
County,WA Washington,WA Benton County 53005,9,Housing Choice Vouchers,3,A,Benton County,53005,1007.0,93,889,94,5.15067756844137,8,2.11978025167869,1994.07903126951,326.53720535191,467.927041042782,12719.9011075336,6000.57534145837,5,41,26,14,13,20,9,70,24,98,76,7,32,73,33,52,54,28,3,52,23,22,1,18,5,0,1,12,17.0352329654931,62.3893926401371,99,109.435527173805,37,40,23,18,15,22,44,A,A,A,-1,-1,WA,-1,A,82.0
County,WA Washington,WA Chelan County 53007,9,Housing Choice Vouchers,3,A,Chelan County,53007,302.0,98,295,99,5.42641509433963,10,2.0406779661017,606.113895216402,310.493197278911,424.615916955017,11707.6779661017,5737.15116279067,6,46,24,14,10,14,4,80,25,96,73,9,26,78,32,60,81,35,1,45,28,25,2,17,3,2,1,11,14.6344444444445,69.1386440677965,88,44.8429118773947,33,45,23,24,17,26,48,A,A,A,-1,-1,WA,-1,A,83.0
County,WA Washington,WA Clallam County 53009,9,Housing Choice Vouchers,3,A,Clallam County,53009,401.0,93,376,100,6.93750000000001,13,2.0159574468085,749.099804305279,305.21186440678,487.056657223796,11522.1303191489,5715.46306068605,4,52,24,11,9,17,15,68,26,96,76,7,35,76,37,59,71,34,2,57,24,16,1,13,2,8,1,3,22.5462585034014,65.3079787234043,80,140.139072847682,34,38,28,23,14,10,54,A,A,A,-1,-1,WA,-1,A,87.0
County,WA Washington,WA Clark County 53011,9,Housing Choice Vouchers,3,A,Clark County,53011,2182.0,100,2060,95,5.29822144608034,3,2.37382822496712,5172.0186311492,348.497481987201,485.974064299238,1232.880175737,519.363685531239,92,3,2,1,2,19,11,69,3,100,98,9,31,74,34,50,91,33,0,51,22,27,2,22,12,1,5,4,-1.0,55.4712552334087,98,94.4207445407702,20,46,34,26,15,18,44,A,A,A,-1,-1,WA,-1,A,78.0
County,WA Washington,WA Columbia County 53013,9,Housing Choice Vouchers,3,A,Columbia County,53013,34.0,95,34,100,6.07352941176471,24,1.52941176470588,50.0740740740741,275.911764705882,380.529411764706,10408.0588235294,6805.26923076923,3,50,32,12,3,3,15,82,24,100,85,6,9,74,15,84,11,48,0,44,29,26,9,9,3,3,0,3,11.3333333333333,64.6852941176471,97,95.939393939394,24,53,24,53,13,10,60,A,A,A,-1,-1,WA,-1,A,91.0
County,WA Washington,WA Cowlitz County 53015,9,Housing Choice Vouchers,3,A,Cowlitz County,53015,1267.0,96,1205,98,5.38417639172662,8,2.11687589846831,2571.77657770802,277.062362824332,509.535424047755,10522.8091306412,4970.91451523213,10,50,24,10,7,10,18,71,22,98,81,8,33,77,37,57,70,32,2,56,25,16,0,8,2,2,2,3,32.0544414564893,64.3306764131427,96,118.56379872816,27,44,30,27,22,14,39,A,A,A,-1,-1,WA,-1,A,92.0
County,WA Washington,WA Douglas County 53017,9,Housing Choice Vouchers,3,A,Douglas County,53017,147.0,98,144,99,5.12957393483708,10,2.3125,335.27562642369,295.548611111111,468.34965034965,11121.1875,4809.16216216216,6,44,31,14,5,19,9,69,23,99,78,9,42,78,47,42,75,23,6,60,18,17,1,18,1,2,1,14,15.1866666666667,66.6865740740739,94,37.1617647058823,15,48,37,30,17,19,45,A,A,A,-1,-1,WA,-1,A,82.0
County,WA Washington,WA Ferry County 53019,9,Housing Choice Vouchers,3,A,Ferry County,53019,28.0,93,24,92,6.41587301587301,17,1.875,48.75,255.0,352.666666666667,10632.0416666667,5670.42222222222,0,58,33,8,0,17,0,83,25,100,79,4,21,67,25,79,80,44,0,46,33,21,0,0,0,0,0,0,35.8083333333333,39.6333333333333,58,120.857142857143,29,46,25,42,17,8,52,A,A,A,-1,-1,WA,-1,A,100.0
