Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2020-12-31,County,WA Washington,WA Asotin County 53003,9,Housing Choice Vouchers,3,,Asotin County,53003,217,90,198,100,6,8,2.1,409,348,531,13493,6532,4,36,32,14,15,15,5,77,25,96,76,3,33,80,35,62,79,37,4,44,26,26,-1,12,3,4,2,88,-1,3,-1,3,0,58,94,97,103,34,35,31,27,16,9,63,,,,,,WA,,,88.0
2020-12-31,County,WA Washington,WA Benton County 53005,9,Housing Choice Vouchers,3,,Benton County,53005,1192,88,966,92,6,10,2.0,1901,351,607,14202,7217,5,33,28,18,17,14,4,81,23,98,79,6,22,66,22,62,77,39,1,40,28,31,2,28,7,1,1,72,1,17,0,18,1,27,100,94,92,47,37,16,18,25,35,48,,,,,,WA,,,72.0
2020-12-31,County,WA Washington,WA Chelan County 53007,9,Housing Choice Vouchers,3,,Chelan County,53007,471,71,330,98,6,21,1.6,543,309,646,12234,7435,7,40,28,11,14,10,5,80,23,97,79,5,19,60,19,74,83,55,0,35,29,36,1,16,2,2,1,84,-1,11,-1,11,1,3,81,86,45,54,31,15,18,14,37,59,,,,,,WA,,,84.0
2020-12-31,County,WA Washington,WA Clallam County 53009,9,Housing Choice Vouchers,3,,Clallam County,53009,513,89,478,100,6,16,1.9,919,340,647,13859,7209,7,32,28,16,18,15,5,75,26,93,71,6,29,71,31,54,77,37,2,43,27,29,1,12,2,5,1,88,0,3,1,4,2,24,97,89,129,35,42,23,23,20,15,67,,,,,,WA,,,88.0
2020-12-31,County,WA Washington,WA Clark County 53011,9,Housing Choice Vouchers,3,,Clark County,53011,3154,77,3139,100,9,7,2.1,6473,464,934,16052,7784,3,30,25,15,26,17,3,77,22,97,81,7,27,70,28,58,82,39,1,41,23,34,3,25,11,1,6,75,0,6,1,7,0,2,187,88,90,39,39,22,19,15,24,50,,,,,,WA,,,75.0
2020-12-31,County,WA Washington,WA Columbia County 53013,9,Housing Choice Vouchers,3,,Columbia County,53013,40,98,36,93,7,11,1.4,51,306,512,12125,8559,-1,50,31,14,6,6,3,92,24,100,81,-1,11,64,11,79,76,61,-1,25,28,47,3,8,-1,6,-1,92,-1,3,-1,3,0,14,84,97,91,39,44,17,42,12,11,82,,,,,,WA,,,92.0
2020-12-31,County,WA Washington,WA Cowlitz County 53015,9,Housing Choice Vouchers,3,,Cowlitz County,53015,1350,91,1232,100,5,12,1.9,2330,366,595,13859,7328,6,34,29,13,18,14,4,79,25,94,73,5,26,72,27,64,79,42,1,42,30,28,0,12,4,3,2,88,0,3,0,3,3,22,94,96,134,36,41,22,27,28,20,53,,,,,,WA,,,88.0
2020-12-31,County,WA Washington,WA Douglas County 53017,9,Housing Choice Vouchers,3,,Douglas County,53017,183,71,128,98,6,1,2.1,273,343,646,13250,6212,8,28,29,17,18,18,4,71,24,95,71,9,31,76,34,61,75,38,-1,45,25,30,2,20,3,3,3,80,-1,10,1,11,2,8,103,96,43,22,41,38,29,15,30,51,,,,,,WA,,,80.0
2020-12-31,County,WA Washington,WA Ferry County 53019,9,Housing Choice Vouchers,3,,Ferry County,53019,38,99,39,100,6,10,1.9,76,329,530,12164,6242,3,28,59,3,8,10,-1,90,23,100,85,10,15,69,18,72,79,42,-1,36,28,36,-1,3,-1,3,-1,97,-1,-1,-1,0,0,7,64,59,155,44,38,18,28,17,12,77,,,,,,WA,,,97.0
2020-12-31,County,WA Washington,WA Franklin County 53021,9,Housing Choice Vouchers,3,,Franklin County,53021,173,108,130,69,6,6,2.6,340,365,468,14663,5607,4,35,23,14,23,24,5,66,22,98,75,10,33,71,35,38,61,21,1,42,24,34,3,55,5,1,2,45,1,47,-1,48,1,24,108,95,111,39,32,28,9,24,71,59,,,,,,WA,,,45.0
