sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Adams County,55001,-1,-1,34,-1,3,29,2.0,68,264,259,10.7,5.9,15,35,38,9,3,9,0,82,23,100,74,12,32,79,44,65,100,37,0,74,18,9,0,9,6,0,0,3,10,40,94,75,41,32,26,18,4,13,59,-1,-1,-1,-1,-1,WI,-1,-1,91.0
9,3,VO,-1,Ashland County,55003,-1,-1,127,-1,4,34,2.0,260,259,306,10.3,5.0,20,29,36,13,2,29,2,61,22,100,73,12,43,78,48,39,43,22,13,57,20,11,1,15,0,14,0,1,6,33,87,83,28,50,21,14,12,13,56,-1,-1,-1,-1,-1,WI,-1,-1,85.0
9,3,VO,-1,Barron County,55005,-1,-1,223,-1,4,24,2.0,435,325,251,11.0,5.7,10,39,35,12,3,22,1,72,24,100,73,12,31,82,40,43,43,23,5,49,13,32,4,4,3,0,0,1,27,50,83,81,26,50,23,30,3,8,59,-1,-1,-1,-1,-1,WI,-1,-1,96.0
9,3,VO,-1,Bayfield County,55007,-1,-1,68,-1,3,25,1.8,122,226,285,9.2,5.1,18,37,40,6,0,24,1,75,22,100,75,6,32,69,34,46,5,18,9,44,15,32,9,9,0,9,0,0,11,40,50,48,50,37,13,12,8,11,71,-1,-1,-1,-1,-1,WI,-1,-1,91.0
9,3,VO,-1,Brown County,55009,-1,-1,2962,-1,5,27,2.2,6520,300,377,12.3,5.6,16,31,26,15,12,34,8,53,22,98,75,11,39,80,45,38,48,21,11,55,16,18,3,27,9,7,5,7,6,55,95,93,32,44,24,16,15,10,47,-1,-1,-1,-1,-1,WI,-1,-1,73.0
9,3,VO,-1,Buffalo County,55011,-1,-1,9,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,WI,-1,-1,
9,3,VO,-1,Burnett County,55013,-1,-1,19,-1,7,21,2.1,39,368,222,12.2,5.9,0,26,58,11,5,26,0,74,29,100,53,11,16,47,16,54,0,18,0,53,16,32,16,0,0,0,0,0,15,66,95,78,47,37,16,16,4,8,58,-1,-1,-1,-1,-1,WI,-1,-1,100.0
9,3,VO,-1,Calumet County,55015,-1,-1,62,-1,6,18,1.8,112,312,314,12.2,6.7,8,34,32,16,10,16,2,79,22,100,87,8,19,69,23,66,72,41,3,42,26,29,3,16,10,0,6,0,20,59,95,91,23,53,24,47,6,4,64,-1,-1,-1,-1,-1,WI,-1,-1,84.0
9,3,VO,-1,Chippewa County,55017,-1,-1,376,-1,4,29,2.1,778,289,291,11.6,5.7,14,33,30,16,7,28,0,68,24,99,69,11,36,81,43,36,40,19,12,48,17,23,2,4,1,1,1,1,8,41,88,78,31,42,27,23,2,10,57,-1,-1,-1,-1,-1,WI,-1,-1,96.0
9,3,VO,-1,Clark County,55019,-1,-1,14,-1,4,14,2.2,31,378,266,11.8,5.3,0,36,50,7,7,29,0,71,26,100,71,7,36,79,43,40,75,26,7,36,29,29,7,0,0,0,0,0,-2,60,100,188,7,50,43,43,2,12,73,-1,-1,-1,-1,-1,WI,-1,-1,100.0
