gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,WI Wisconsin,WI Adams County 55001,9,Housing Choice Vouchers,3,A,Adams County,55001,39.0,92,35,98,5.81809523809524,14,1.6,57.2492307692307,281.428571428572,360.382352941177,10050.0571428571,6281.28571428572,17,29,40,11,3,20,0,80,24,97,66,3,26,86,26,69,67,46,0,54,29,17,3,14,11,0,0,3,20.6,51.1590476190476,94,138.787878787879,31,51,17,40,12,4,60,A,A,A,-1,-1,WI,-1,A,86.0
County,WI Wisconsin,WI Ashland County 55003,9,Housing Choice Vouchers,3,A,Ashland County,55003,126.0,89,114,98,5.18226983605887,14,2.17692248227783,245.716363224295,275.566807403885,343.431426124023,10465.8704688129,4807.64499150282,19,28,37,11,4,27,6,65,22,98,76,7,44,78,43,41,42,20,7,58,23,13,2,13,1,10,1,1,14.3694411108963,42.9151555821489,78,103.890607558876,28,45,26,22,13,12,58,A,A,A,-1,-1,WI,-1,A,87.0
County,WI Wisconsin,WI Barron County 55005,9,Housing Choice Vouchers,3,A,Barron County,55005,231.0,89,209,100,6.73491381064789,12,2.06475981655903,423.387402746769,342.210085904223,285.325421433056,11633.6018660751,5634.36084564197,8,36,34,13,8,25,1,73,25,99,73,7,35,83,38,42,46,22,2,46,18,33,5,10,8,1,0,1,29.6833910403107,60.5353738066063,83,108.56400628113,27,47,26,31,9,3,65,A,A,A,-1,-1,WI,-1,A,90.0
County,WI Wisconsin,WI Bayfield County 55007,9,Housing Choice Vouchers,3,A,Bayfield County,55007,69.0,86,59,98,5.14310344827586,7,1.94915254237288,116.854838709677,260.932203389831,323.898305084746,10277.0338983051,5272.56521739131,20,24,39,14,3,11,9,79,23,100,66,7,36,59,34,49,6,19,3,46,20,31,7,8,0,8,0,0,13.15,55.5638418079096,47,102.642857142857,44,37,19,10,11,9,75,A,A,A,-1,-1,WI,-1,A,92.0
County,WI Wisconsin,WI Brown County 55009,9,Housing Choice Vouchers,3,A,Brown County,55009,3233.0,86,2798,100,5.46151670906317,15,2.18690988403145,6064.3683829472,309.759441741886,419.539615849873,13024.1972883399,5955.52536638158,11,28,26,19,15,25,9,62,24,97,70,8,40,77,43,41,49,22,6,56,18,20,3,25,9,6,5,6,9.25176078249819,64.2718671411964,92,110.101866251943,32,45,23,18,10,14,48,A,A,A,-1,-1,WI,-1,A,75.0
County,WI Wisconsin,WI Buffalo County 55011,9,Housing Choice Vouchers,3,A,Buffalo County,55011,8.0,92,7,98,6.26666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,7325.77777777778,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,13.0,61.4523809523809,-4,-4.0,-4,-4,-4,-4,8,2,69,A,A,A,-1,-1,WI,-1,A,100.0
County,WI Wisconsin,WI Burnett County 55013,9,Housing Choice Vouchers,3,A,Burnett County,55013,33.0,73,22,92,9.86515151515152,0,1.95454545454546,46.9090909090909,383.181818181818,301.0,12433.7272727273,6361.44186046511,5,27,50,9,9,18,0,82,27,100,55,9,32,59,32,41,0,19,0,55,23,23,9,5,0,5,0,0,-1.0,54.769696969697,100,131.5,36,41,23,23,10,5,68,A,A,A,-1,-1,WI,-1,A,95.0
County,WI Wisconsin,WI Calumet County 55015,9,Housing Choice Vouchers,3,A,Calumet County,55015,84.0,93,77,98,6.53342142268849,4,1.93334378155232,151.18388812246,321.815339189768,383.083171093855,11987.6349953395,6200.46735077525,10,32,34,14,9,13,7,78,21,100,86,4,27,70,29,64,78,39,5,40,31,23,1,18,8,1,5,4,24.1444444444444,57.9923393354005,86,131.137624108561,21,57,22,44,4,6,69,A,A,A,-1,-1,WI,-1,A,82.0
County,WI Wisconsin,WI Chippewa County 55017,9,Housing Choice Vouchers,3,A,Chippewa County,55017,390.0,100,387,99,4.55605038013206,12,2.14474454117771,835.599371780376,319.657271887063,328.328321399449,12851.0405204763,5991.87468425472,9,33,28,18,13,28,0,72,25,98,71,7,39,79,40,40,42,20,5,53,20,22,2,4,1,1,1,1,16.3320397969666,43.2353386488616,84,94.3711867584597,29,41,30,24,10,2,59,A,A,A,-1,-1,WI,-1,A,96.0
County,WI Wisconsin,WI Clark County 55019,9,Housing Choice Vouchers,3,A,Clark County,55019,12.0,93,11,98,7.09786145382105,18,2.4551279386863,27.5735234422569,332.966598777268,379.107726199103,12592.147811606,5128.91715873019,0,36,36,18,9,9,0,91,26,100,73,18,36,64,36,50,67,22,9,55,9,27,9,9,0,0,0,9,12.3459497139225,50.346252577478,100,198.843536561785,9,64,27,27,11,2,71,A,A,A,-1,-1,WI,-1,A,91.0
