Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2019-12-31,County,WI Wisconsin,WI Adams County 55001,9,Housing Choice Vouchers,3,,Adams County,55001,50,82,40,97,5,18,1.8,72,347,441,14018,7788,3,10,51,28,8,5,-1,93,26,98,65,10,23,73,28,67,77,43,-1,35,33,33,3,3,3,-1,-1,98,-1,-1,-1,0,0,5,54,85,108,30,48,23,35,19,8,66,,,,,,WI,,,97.0
2019-12-31,County,WI Wisconsin,WI Ashland County 55003,9,Housing Choice Vouchers,3,,Ashland County,55003,130,84,110,100,4,38,2.2,243,341,359,13728,6214,5,8,54,17,16,32,-1,64,25,99,74,7,35,84,35,51,64,28,2,52,25,22,2,27,9,17,-1,73,-1,1,-1,1,2,9,51,83,107,27,44,29,26,14,11,69,,,,,,WI,,,73.0
2019-12-31,County,WI Wisconsin,WI Barron County 55005,9,Housing Choice Vouchers,3,,Barron County,55005,227,70,163,100,5,9,2.1,335,373,308,13915,6770,2,8,53,20,18,20,-1,72,26,99,70,7,27,83,29,56,27,23,1,35,26,39,6,13,12,-1,1,87,-1,1,-1,1,0,25,96,90,109,29,44,27,36,13,6,67,,,,,,WI,,,87.0
2019-12-31,County,WI Wisconsin,WI Bayfield County 55007,9,Housing Choice Vouchers,3,,Bayfield County,55007,71,77,57,100,5,9,1.2,71,259,377,10257,8234,13,11,63,11,2,9,-1,86,21,100,89,2,11,67,12,75,52,54,4,28,25,44,4,16,5,9,-1,84,-1,-1,2,2,0,26,89,44,79,63,30,7,19,11,12,86,,,,,,WI,,,84.0
2019-12-31,County,WI Wisconsin,WI Brown County 55009,9,Housing Choice Vouchers,3,,Brown County,55009,3506,84,2780,94,5,18,2.0,5644,351,425,14116,6953,6,11,42,20,21,25,0,67,22,99,78,5,32,73,34,42,55,25,4,45,22,30,2,33,18,5,3,67,0,6,1,8,1,19,81,87,105,42,39,18,17,16,25,52,,,,,,WI,,,67.0
2019-12-31,County,WI Wisconsin,WI Buffalo County 55011,9,Housing Choice Vouchers,3,,Buffalo County,55011,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WI,,,
2019-12-31,County,WI Wisconsin,WI Burnett County 55013,9,Housing Choice Vouchers,3,,Burnett County,55013,14,82,11,97,4,-1,1.5,16,334,441,12323,8472,9,18,36,36,-1,9,9,82,25,100,64,-1,9,55,9,71,25,38,-1,18,45,36,9,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,121,100,102,64,27,9,9,16,7,79,,,,,,WI,,,100.0
2019-12-31,County,WI Wisconsin,WI Calumet County 55015,9,Housing Choice Vouchers,3,,Calumet County,55015,63,91,57,99,5,7,1.7,96,349,416,12803,7602,7,14,53,14,12,16,-1,84,20,100,91,2,21,72,23,68,90,51,2,39,25,35,-1,19,14,-1,2,81,-1,4,-1,4,2,160,99,89,100,30,47,23,40,7,14,65,,,,,,WI,,,81.0
2019-12-31,County,WI Wisconsin,WI Chippewa County 55017,9,Housing Choice Vouchers,3,,Chippewa County,55017,403,97,396,100,5,22,1.7,683,352,363,14130,8193,4,12,45,21,19,20,-1,77,25,99,70,2,26,71,24,57,50,35,2,39,23,37,4,6,3,1,1,94,-1,1,0,1,1,38,61,83,80,37,38,25,37,14,6,66,,,,,,WI,,,94.0
2019-12-31,County,WI Wisconsin,WI Clark County 55019,9,Housing Choice Vouchers,3,,Clark County,55019,4,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WI,,,
