sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Barbour County,54001,-1,-1,117,-1,4,30,2.5,292,201,300,8.9,3.7,24,46,23,6,1,29,11,46,22,98,74,25,33,85,54,39,92,21,14,64,11,11,0,6,3,3,0,0,8,49,95,154,11,42,47,31,3,23,49,-1,-1,-1,-1,-1,WV,-1,-1,94.0
9,3,VO,-1,Berkeley County,54003,-1,-1,153,-1,2,12,2.0,303,284,390,12.0,6.1,6,42,27,14,11,25,5,69,23,97,81,7,28,76,33,54,14,25,2,48,26,24,1,25,25,0,0,0,14,63,99,96,39,37,24,18,12,14,44,-1,-1,-1,-1,-1,WV,-1,-1,75.0
9,3,VO,-1,Boone County,54005,-1,-1,249,-1,6,39,2.1,535,234,260,8.7,4.1,29,44,24,3,0,15,13,53,21,100,76,15,32,71,37,44,100,26,7,63,21,9,0,1,0,0,0,0,8,42,97,130,12,61,28,36,1,18,45,-1,-1,-1,-1,-1,WV,-1,-1,99.0
9,3,VO,-1,Braxton County,54007,-1,-1,65,-1,4,43,2.4,153,214,280,8.6,3.8,17,54,23,6,0,12,22,60,24,100,74,20,23,80,38,64,60,29,11,52,22,15,2,3,2,0,0,2,11,41,100,121,18,48,34,26,2,20,50,-1,-1,-1,-1,-1,WV,-1,-1,97.0
9,3,VO,-1,Brooke County,54009,-1,-1,159,-1,7,45,2.5,399,257,291,9.4,3.8,18,47,20,14,2,43,8,48,21,100,84,20,45,79,58,26,73,14,16,65,11,7,1,1,1,0,0,0,4,35,96,174,27,43,30,3,3,12,64,-1,-1,-1,-1,-1,WV,-1,-1,99.0
9,3,VO,-1,Cabell County,54011,-1,-1,1152,-1,5,26,2.2,2561,238,382,9.2,4.2,23,45,21,9,3,27,16,50,23,97,76,12,38,76,42,42,92,26,9,61,18,13,1,18,16,0,0,2,9,60,84,154,21,44,35,25,11,24,47,-1,-1,-1,-1,-1,WV,-1,-1,82.0
9,3,VO,-1,Calhoun County,54013,-1,-1,41,-1,6,37,2.0,83,198,281,8.0,3.9,24,56,12,7,0,20,12,63,23,98,83,20,22,73,34,51,100,29,7,59,24,10,0,2,0,2,0,0,4,36,85,119,17,41,41,49,2,21,47,-1,-1,-1,-1,-1,WV,-1,-1,98.0
9,3,VO,-1,Clay County,54015,-1,-1,45,-1,5,27,2.0,89,216,326,9.4,4.9,24,44,24,7,0,18,9,56,18,100,87,13,31,69,38,54,83,30,2,67,18,13,0,0,0,0,0,0,12,40,76,150,27,36,38,40,1,21,42,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Doddridge County,54017,-1,-1,8,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,WV,-1,-1,
9,3,VO,-1,Fayette County,54019,-1,-1,323,-1,4,25,2.2,710,216,284,8.8,4.0,26,48,20,4,2,22,15,51,23,98,75,13,36,76,43,42,84,25,9,60,19,12,0,12,9,1,0,2,12,52,91,119,25,49,27,19,6,15,42,-1,-1,-1,-1,-1,WV,-1,-1,88.0
9,3,VO,-1,Gilmer County,54021,-1,-1,32,-1,6,50,2.3,75,233,262,9.5,4.1,16,56,13,9,6,19,6,72,26,97,72,22,19,72,34,58,50,27,13,44,19,25,0,9,6,0,0,3,2,41,88,125,16,41,44,34,3,20,34,-1,-1,-1,-1,-1,WV,-1,-1,91.0
9,3,VO,-1,Grant County,54023,-1,-1,41,-1,4,29,1.9,77,228,259,10.0,5.3,12,46,24,12,5,29,7,63,28,100,56,5,37,76,37,33,93,31,2,51,12,34,2,0,0,0,0,0,8,50,85,116,56,24,20,0,1,15,50,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Greenbrier County,54025,-1,-1,251,-1,5,17,2.3,585,213,293,8.9,3.9,20,52,21,4,2,25,14,52,23,98,75,20,33,81,47,48,95,28,6,61,18,16,1,10,8,0,0,2,12,64,93,107,29,44,27,12,5,12,42,-1,-1,-1,-1,-1,WV,-1,-1,90.0
9,3,VO,-1,Hampshire County,54027,-1,-1,27,-1,3,11,1.4,39,197,304,7.8,5.4,15,63,22,0,0,4,22,74,17,100,100,7,15,78,22,68,50,44,4,37,30,30,4,7,4,0,0,4,10,60,100,113,44,33,22,30,1,11,41,-1,-1,-1,-1,-1,WV,-1,-1,93.0
9,3,VO,-1,Hancock County,54029,-1,-1,273,-1,7,34,2.3,627,258,283,9.4,4.1,16,47,25,9,4,42,9,49,22,99,81,16,41,80,50,30,42,16,18,56,15,11,3,5,4,0,0,1,4,41,89,149,34,39,28,6,5,11,65,-1,-1,-1,-1,-1,WV,-1,-1,95.0
9,3,VO,-1,Hardy County,54031,-1,-1,22,-1,5,9,1.7,37,265,256,10.0,5.9,5,64,23,5,5,18,14,68,27,95,73,5,23,86,27,60,71,46,0,36,32,32,0,23,18,5,0,0,9,76,100,132,23,50,27,41,5,12,56,-1,-1,-1,-1,-1,WV,-1,-1,77.0
9,3,VO,-1,Harrison County,54033,-1,-1,627,-1,5,38,2.4,1479,230,297,9.1,3.9,25,43,21,8,3,32,13,48,22,97,78,18,41,78,50,35,74,18,13,63,14,9,0,7,3,0,0,3,5,41,93,118,27,47,26,10,5,18,57,-1,-1,-1,-1,-1,WV,-1,-1,93.0
9,3,VO,-1,Jackson County,54035,-1,-1,331,-1,5,42,2.4,808,206,323,8.1,3.4,31,44,16,7,2,24,4,61,18,99,86,24,34,75,44,30,56,15,15,61,14,10,0,1,0,0,0,1,14,35,91,130,13,48,39,26,2,14,53,-1,-1,-1,-1,-1,WV,-1,-1,99.0
9,3,VO,-1,Jefferson County,54037,-1,-1,47,-1,1,4,1.7,80,259,374,11.0,6.5,2,57,23,4,13,15,11,74,21,100,85,6,23,87,30,52,18,23,2,28,23,47,0,38,36,0,0,2,15,66,100,88,49,30,21,17,11,11,51,-1,-1,-1,-1,-1,WV,-1,-1,62.0
9,3,VO,-1,Kanawha County,54039,-1,-1,2387,-1,5,24,2.4,5772,267,392,10.3,4.3,24,38,22,10,6,32,14,43,20,98,79,15,45,82,54,35,67,17,9,67,15,9,0,25,24,0,0,1,13,52,91,158,19,44,37,18,15,16,51,-1,-1,-1,-1,-1,WV,-1,-1,75.0
9,3,VO,-1,Lewis County,54041,-1,-1,85,-1,4,31,2.1,181,251,299,9.2,4.4,14,51,27,7,1,28,8,61,26,98,65,15,28,74,38,51,92,30,5,60,21,14,0,1,1,0,0,0,5,52,92,151,15,51,34,34,1,20,54,-1,-1,-1,-1,-1,WV,-1,-1,99.0
9,3,VO,-1,Lincoln County,54043,-1,-1,195,-1,6,30,2.3,455,222,289,8.8,3.8,24,46,24,7,0,16,13,58,17,100,90,19,33,70,42,50,90,25,11,56,23,10,1,0,0,0,0,0,9,43,96,119,7,58,35,33,1,23,47,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Logan County,54045,-1,-1,279,-1,5,22,2.1,572,181,277,7.8,3.8,32,47,17,3,1,19,19,53,21,98,78,16,30,80,40,42,56,24,10,58,18,14,0,3,3,0,0,0,30,47,96,120,19,57,24,33,2,6,15,-1,-1,-1,-1,-1,WV,-1,-1,97.0
9,3,VO,-1,McDowell County,54047,-1,-1,142,-1,5,25,2.1,303,182,255,8.2,3.9,28,49,18,4,1,22,21,48,22,98,82,15,33,82,43,39,61,23,12,55,20,13,0,27,26,0,0,1,26,41,89,99,14,55,31,34,3,10,14,-1,-1,-1,-1,-1,WV,-1,-1,73.0
9,3,VO,-1,Marion County,54049,-1,-1,328,-1,4,33,2.2,735,229,347,8.9,3.9,31,36,18,12,4,33,19,41,21,97,79,14,42,77,51,30,74,18,16,62,16,6,0,12,11,0,0,0,4,43,85,166,24,44,32,21,13,24,52,-1,-1,-1,-1,-1,WV,-1,-1,88.0
9,3,VO,-1,Marshall County,54051,-1,-1,175,-1,5,31,2.3,410,221,334,9.1,3.9,25,42,23,8,2,36,19,38,21,98,80,15,45,87,55,27,87,15,10,67,15,9,0,4,4,0,0,0,6,42,94,135,9,59,33,27,2,16,66,-1,-1,-1,-1,-1,WV,-1,-1,96.0
9,3,VO,-1,Mason County,54053,-1,-1,100,-1,3,34,2.2,224,225,285,9.6,4.4,26,39,20,10,5,22,3,65,25,90,66,14,41,76,47,40,47,20,12,55,18,15,1,3,2,0,1,0,13,43,94,121,11,52,37,36,2,14,42,-1,-1,-1,-1,-1,WV,-1,-1,97.0
9,3,VO,-1,Mercer County,54055,-1,-1,322,-1,6,31,2.1,671,226,273,8.7,4.2,20,48,27,5,1,25,17,54,24,99,73,11,39,82,46,40,77,25,14,52,22,12,2,33,30,0,0,3,9,46,93,132,17,59,23,29,12,19,50,-1,-1,-1,-1,-1,WV,-1,-1,67.0
9,3,VO,-1,Mineral County,54057,-1,-1,115,-1,4,17,2.0,227,285,257,9.8,5.0,9,57,19,11,4,27,14,59,19,100,90,10,27,80,33,52,63,30,6,46,27,21,1,9,8,0,0,1,10,65,94,123,23,55,22,31,7,18,57,-1,-1,-1,-1,-1,WV,-1,-1,91.0
9,3,VO,-1,Mingo County,54059,-1,-1,211,-1,5,21,2.2,458,190,275,8.5,3.9,24,54,16,4,3,19,19,55,24,97,80,16,30,79,40,46,57,23,10,61,19,10,1,6,5,0,0,0,25,45,97,123,11,55,35,38,3,10,18,-1,-1,-1,-1,-1,WV,-1,-1,94.0
9,3,VO,-1,Monongalia County,54061,-1,-1,538,-1,5,36,2.3,1238,252,394,9.7,4.2,30,33,18,14,4,33,18,38,19,98,78,18,40,79,52,26,54,14,13,67,11,9,1,8,8,0,0,0,3,43,74,125,29,40,30,10,7,17,46,-1,-1,-1,-1,-1,WV,-1,-1,92.0
9,3,VO,-1,Monroe County,54063,-1,-1,35,-1,5,20,2.4,84,213,264,9.4,3.9,11,54,26,9,0,14,14,66,24,100,77,23,20,89,43,63,100,31,3,69,14,14,0,9,6,3,0,0,23,55,97,110,37,34,29,6,4,7,27,-1,-1,-1,-1,-1,WV,-1,-1,91.0
9,3,VO,-1,Morgan County,54065,-1,-1,17,-1,3,6,1.4,23,228,321,9.4,6.9,6,71,18,0,6,0,12,88,20,100,94,6,12,76,18,57,10,22,0,12,29,59,6,6,6,0,0,0,-2,93,94,73,76,12,12,6,2,10,66,-1,-1,-1,-1,-1,WV,-1,-1,94.0
9,3,VO,-1,Nicholas County,54067,-1,-1,174,-1,4,26,2.2,384,209,310,8.6,4.0,26,49,19,4,2,11,18,56,22,97,78,17,37,78,48,46,81,26,14,60,14,12,0,3,1,0,0,2,12,53,92,114,18,48,33,26,1,16,47,-1,-1,-1,-1,-1,WV,-1,-1,97.0
9,3,VO,-1,Ohio County,54069,-1,-1,388,-1,4,25,2.1,805,228,343,9.0,4.4,32,37,21,9,2,30,12,44,20,98,79,8,44,84,50,29,31,16,14,57,16,12,0,20,18,0,1,1,6,40,83,128,27,45,28,21,9,24,48,-1,-1,-1,-1,-1,WV,-1,-1,80.0
9,3,VO,-1,Pendleton County,54071,-1,-1,10,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,WV,-1,-1,
9,3,VO,-1,Pleasants County,54073,-1,-1,11,-1,4,45,2.6,29,175,343,7.8,2.9,36,45,18,0,0,36,9,45,17,100,100,36,45,91,73,30,100,14,9,73,9,9,0,0,0,0,0,0,4,33,100,154,0,82,18,18,2,14,60,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Pocahontas County,54075,-1,-1,23,-1,5,13,2.0,47,257,236,10.9,5.7,4,52,26,13,4,9,0,87,32,96,57,4,35,87,30,59,100,43,0,43,30,26,0,0,0,0,0,0,12,47,91,123,30,43,26,22,2,18,59,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Preston County,54077,-1,-1,60,-1,5,32,1.9,115,209,286,8.9,4.7,15,57,17,10,2,17,10,72,21,98,87,13,28,72,37,48,86,32,12,45,20,23,2,0,0,0,0,0,3,54,92,136,28,57,15,25,2,14,52,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Putnam County,54079,-1,-1,321,-1,5,26,2.4,759,251,411,9.9,4.3,26,40,20,8,6,23,15,51,20,97,82,17,40,84,50,40,58,20,5,68,16,12,1,9,7,1,0,1,11,50,95,141,19,38,42,23,3,8,62,-1,-1,-1,-1,-1,WV,-1,-1,91.0
9,3,VO,-1,Raleigh County,54081,-1,-1,765,-1,5,28,2.1,1643,230,301,9.5,4.5,24,43,23,8,2,27,12,50,23,98,73,13,37,75,43,43,87,25,8,64,18,10,1,27,27,0,0,1,11,51,87,99,24,49,28,23,16,16,49,-1,-1,-1,-1,-1,WV,-1,-1,73.0
9,3,VO,-1,Randolph County,54083,-1,-1,342,-1,4,29,1.9,659,218,274,9.3,4.8,18,53,20,8,1,25,6,59,25,98,71,13,23,74,33,51,82,32,11,54,20,16,1,3,2,0,0,1,7,43,83,92,30,47,23,29,2,17,53,-1,-1,-1,-1,-1,WV,-1,-1,97.0
9,3,VO,-1,Ritchie County,54085,-1,-1,25,-1,5,60,2.5,62,211,291,9.1,3.6,20,44,24,12,0,28,28,40,23,100,80,32,24,76,48,39,100,21,20,68,4,8,0,0,0,0,0,0,3,17,92,143,20,40,40,24,3,20,63,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Roane County,54087,-1,-1,119,-1,5,49,2.4,284,221,309,8.8,3.7,17,54,21,7,2,23,7,67,25,97,71,24,33,70,43,46,38,23,13,66,14,7,1,1,0,0,0,1,9,32,82,148,11,51,38,29,3,26,58,-1,-1,-1,-1,-1,WV,-1,-1,99.0
9,3,VO,-1,Summers County,54089,-1,-1,161,-1,5,21,2.1,343,204,288,8.7,4.0,28,47,17,6,2,14,19,56,23,97,76,16,27,62,33,51,86,29,9,61,22,9,0,11,9,1,0,1,12,64,74,99,35,37,28,20,5,23,50,-1,-1,-1,-1,-1,WV,-1,-1,89.0
9,3,VO,-1,Taylor County,54091,-1,-1,15,-1,5,20,1.8,27,231,303,8.5,4.6,27,40,27,7,0,13,13,67,24,100,67,13,13,80,27,40,80,44,7,47,13,33,0,7,0,0,0,7,4,77,87,201,27,47,27,33,3,21,55,-1,-1,-1,-1,-1,WV,-1,-1,93.0
9,3,VO,-1,Tucker County,54093,-1,-1,28,-1,4,18,2.4,66,249,257,10.7,4.5,11,39,36,14,0,36,4,54,28,96,61,0,50,82,50,45,75,26,11,50,11,29,4,0,0,0,0,0,14,62,82,176,11,25,64,46,1,11,40,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Tyler County,54095,-1,-1,24,-1,4,29,2.5,60,252,266,9.9,4.0,13,42,33,8,4,33,25,42,26,100,54,33,25,54,38,41,50,18,8,58,25,8,0,0,0,0,0,0,3,51,83,150,21,54,25,17,1,15,66,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Upshur County,54097,-1,-1,78,-1,5,35,2.0,156,260,236,9.9,4.9,8,55,26,10,1,31,8,60,29,97,63,14,33,81,45,39,63,24,14,46,15,24,4,4,0,0,0,4,5,47,90,130,21,44,36,32,3,17,56,-1,-1,-1,-1,-1,WV,-1,-1,96.0
