sumlevel,program,program_label,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
9,3,VO,-1,Barbour County,54001,-1,-1,117.0,-1.0,4.0,21.0,2.5,289.0,203.0,327.0,9.3,3.9,27.0,43.0,19.0,9.0,3.0,28.0,14.0,43.0,23.0,96.0,72.0,25.0,35.0,81.0,53.0,39.0,92.0,21.0,15.0,62.0,12.0,11.0,0.0,9.0,3.0,6.0,0.0,0.0,12.0,57.0,96.0,164.0,13.0,43.0,44.0,27.0,3,23,48,-1,-1,-1,-1,-1,WV,-1,-1,91.0
9,3,VO,-1,Berkeley County,54003,-1,-1,186.0,-1.0,3.0,30.0,2.0,374.0,273.0,459.0,11.6,5.8,7.0,42.0,30.0,12.0,9.0,21.0,9.0,68.0,21.0,98.0,83.0,10.0,26.0,75.0,34.0,55.0,13.0,25.0,4.0,47.0,28.0,20.0,1.0,28.0,28.0,0.0,0.0,0.0,6.0,57.0,98.0,99.0,40.0,32.0,28.0,16.0,13,16,48,-1,-1,-1,-1,-1,WV,-1,-1,72.0
9,3,VO,-1,Boone County,54005,-1,-1,262.0,-1.0,5.0,27.0,2.1,540.0,224.0,283.0,8.7,4.2,33.0,40.0,23.0,3.0,0.0,15.0,13.0,52.0,20.0,99.0,74.0,14.0,35.0,72.0,41.0,41.0,100.0,26.0,8.0,62.0,22.0,8.0,0.0,2.0,1.0,0.0,0.0,1.0,8.0,45.0,98.0,134.0,10.0,65.0,26.0,36.0,1,19,47,-1,-1,-1,-1,-1,WV,-1,-1,98.0
9,3,VO,-1,Braxton County,54007,-1,-1,79.0,-1.0,4.0,37.0,2.4,192.0,209.0,323.0,8.5,3.6,27.0,49.0,16.0,5.0,3.0,11.0,24.0,56.0,23.0,99.0,80.0,23.0,27.0,82.0,46.0,52.0,70.0,26.0,14.0,54.0,19.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,40.0,96.0,108.0,19.0,44.0,37.0,32.0,1,18,46,-1,-1,-1,-1,-1,WV,-1,-1,99.0
9,3,VO,-1,Brooke County,54009,-1,-1,134.0,-1.0,7.0,13.0,2.3,305.0,248.0,317.0,9.7,4.3,18.0,46.0,20.0,11.0,5.0,32.0,9.0,59.0,23.0,99.0,77.0,12.0,50.0,78.0,55.0,34.0,67.0,19.0,14.0,59.0,18.0,9.0,1.0,4.0,3.0,0.0,1.0,1.0,7.0,52.0,99.0,170.0,32.0,44.0,24.0,5.0,3,12,64,-1,-1,-1,-1,-1,WV,-1,-1,96.0
9,3,VO,-1,Cabell County,54011,-1,-1,1206.0,-1.0,5.0,20.0,2.2,2672.0,238.0,408.0,9.6,4.4,24.0,42.0,21.0,10.0,3.0,23.0,15.0,52.0,23.0,96.0,73.0,13.0,36.0,75.0,40.0,44.0,87.0,27.0,7.0,60.0,19.0,14.0,1.0,18.0,16.0,0.0,0.0,2.0,9.0,67.0,84.0,147.0,23.0,42.0,34.0,25.0,11,24,47,-1,-1,-1,-1,-1,WV,-1,-1,82.0
9,3,VO,-1,Calhoun County,54013,-1,-1,40.0,-1.0,5.0,25.0,1.8,72.0,210.0,312.0,9.2,5.1,23.0,53.0,13.0,10.0,3.0,13.0,13.0,70.0,27.0,93.0,78.0,8.0,20.0,70.0,23.0,62.0,50.0,38.0,0.0,55.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,75.0,112.0,20.0,38.0,43.0,50.0,2,22,48,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Clay County,54015,-1,-1,52.0,-1.0,5.0,15.0,2.1,108.0,213.0,333.0,9.5,4.7,19.0,46.0,25.0,10.0,0.0,15.0,13.0,60.0,20.0,100.0,85.0,13.0,31.0,65.0,38.0,53.0,89.0,31.0,2.0,67.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,49.0,83.0,146.0,31.0,27.0,42.0,31.0,1,21,44,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Doddridge County,54017,-1,-1,11.0,-1.0,4.0,36.0,2.4,26.0,207.0,332.0,8.6,3.6,36.0,27.0,27.0,9.0,0.0,55.0,18.0,27.0,25.0,91.0,64.0,27.0,27.0,82.0,45.0,30.0,0.0,12.0,18.0,64.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,100.0,164.0,0.0,27.0,73.0,55.0,4,23,65,-1,-1,-1,-1,-1,WV,-1,-1,100.0
9,3,VO,-1,Fayette County,54019,-1,-1,328.0,-1.0,4.0,24.0,2.2,734.0,221.0,326.0,9.1,4.1,25.0,47.0,20.0,7.0,2.0,20.0,14.0,53.0,24.0,96.0,72.0,15.0,37.0,79.0,47.0,43.0,86.0,25.0,9.0,61.0,20.0,11.0,0.0,10.0,7.0,1.0,0.0,2.0,12.0,56.0,91.0,126.0,23.0,48.0,29.0,20.0,6,15,42,-1,-1,-1,-1,-1,WV,-1,-1,90.0
