gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,WV West Virginia,WV Barbour County 54001,9,Housing Choice Vouchers,3,A,Barbour County,54001,106.0,97,94,92,3.7720430107527,7,2.27659574468085,232.906015037594,249.043010752689,347.593406593407,10407.6276595745,4571.57476635515,14,48,28,6,4,24,12,61,28,97,70,12,41,73,41,50,92,28,15,55,17,13,0,7,2,5,0,0,10.9619047619048,73.7482269503548,93,171.137931034483,20,37,43,30,28,4,56,A,A,A,-1,-1,WV,-1,A,93.0
County,WV West Virginia,WV Berkeley County 54003,9,Housing Choice Vouchers,3,A,Berkeley County,54003,255.0,73,197,100,4.56363636363636,8,1.9746192893401,365.244274809161,331.30964467005,458.761658031087,12369.0050761421,6263.99485861181,10,32,29,18,12,16,7,73,22,98,83,4,34,71,34,50,31,27,1,45,29,25,2,37,37,0,0,0,23.6355555555555,65.7536379018611,98,122.319587628866,36,40,24,16,15,13,49,A,A,A,-1,-1,WV,-1,A,63.0
County,WV West Virginia,WV Boone County 54005,9,Housing Choice Vouchers,3,A,Boone County,54005,220.0,92,207,100,5.51453900709222,19,1.93719806763285,391.554603854389,177.913043478261,371.753623188407,6762.42512077297,3490.82793017457,34,44,18,4,0,12,22,66,19,100,80,7,36,73,33,47,91,28,9,56,25,11,0,0,0,0,0,0,7.62083333333334,53.7194847020936,99,159.736585365854,14,59,27,40,19,1,57,A,A,A,-1,-1,WV,-1,A,100.0
County,WV West Virginia,WV Braxton County 54007,9,Housing Choice Vouchers,3,A,Braxton County,54007,78.0,91,68,96,5.45577271760686,23,2.36881489508339,168.384638386319,243.804169660848,358.394141678351,8291.26492642858,3500.17426166881,26,49,13,6,6,16,22,61,23,97,78,7,41,75,41,40,77,24,1,60,19,19,3,1,0,1,0,0,8.14375,48.2436400055666,99,149.73135150776,15,47,38,28,22,2,56,A,A,A,-1,-1,WV,-1,A,99.0
County,WV West Virginia,WV Brooke County 54009,9,Housing Choice Vouchers,3,A,Brooke County,54009,194.0,77,140,93,4.94547619047619,14,2.05714285714286,308.145077720208,265.733812949641,337.119402985075,10955.7285714286,5325.70138888888,7,51,17,20,4,29,12,56,26,98,69,4,46,82,49,39,69,23,10,57,21,11,1,10,9,0,0,1,9.26811594202899,51.5116666666667,99,174.449275362319,39,41,19,6,12,3,66,A,A,A,-1,-1,WV,-1,A,90.0
County,WV West Virginia,WV Cabell County 54011,9,Housing Choice Vouchers,3,A,Cabell County,54011,1374.0,91,1183,95,5.35122538586924,8,2.26024588918125,2828.08559604281,247.705751693354,480.994126511363,8967.81989659836,3967.63022090789,27,37,20,11,5,20,24,54,22,96,74,6,44,71,39,44,88,28,5,60,21,15,1,19,17,0,0,1,12.5139256712057,74.3899311843872,85,197.676036423458,22,39,39,27,25,11,50,A,A,A,-1,-1,WV,-1,A,81.0
County,WV West Virginia,WV Calhoun County 54013,9,Housing Choice Vouchers,3,A,Calhoun County,54013,65.0,60,36,92,6.28981481481482,25,2.0,77.8455445544554,203.75,339.942857142857,9313.8888888889,4656.94444444445,25,47,14,11,3,20,20,60,26,97,75,11,31,81,42,39,67,21,6,56,31,8,0,3,0,0,0,3,4.95925925925926,47.6722222222223,67,126.833333333333,19,28,53,39,26,3,59,A,A,A,-1,-1,WV,-1,A,97.0
County,WV West Virginia,WV Clay County 54015,9,Housing Choice Vouchers,3,A,Clay County,54015,34.0,97,33,100,6.55676156530892,12,1.78673539509892,58.8015848126589,244.461726134288,338.961033570557,9352.54701514259,5234.43316833425,15,49,27,6,3,12,12,73,23,100,73,0,33,58,27,63,83,39,3,57,21,18,0,0,0,0,0,0,9.03428217658327,70.5328454408621,76,180.53680892491,33,27,39,43,27,2,56,A,A,A,-1,-1,WV,-1,A,100.0
County,WV West Virginia,WV Doddridge County 54017,9,Housing Choice Vouchers,3,A,Doddridge County,54017,11.0,100,10,92,5.67666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,4791.2,-4,-4,-4,-4,-4,-4,-4,-4,27,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,46.0533333333333,-4,-4.0,-4,-4,-4,-4,23,4,65,A,A,A,-1,-1,WV,-1,A,100.0
County,WV West Virginia,WV Fayette County 54019,9,Housing Choice Vouchers,3,A,Fayette County,54019,337.0,93,301,96,5.8128605064565,14,2.13284726886091,669.420258844797,256.379085351242,351.571823143644,8183.84218144874,3837.05026652916,26,46,17,9,3,18,20,61,23,97,76,6,44,74,42,43,93,24,4,65,21,10,0,13,11,1,0,1,7.64108527131782,59.302265005525,89,173.836505307942,23,51,27,22,22,8,61,A,A,A,-1,-1,WV,-1,A,87.0
