gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,WV West Virginia,WV Barbour County 54001,9,Housing Choice Vouchers,3,,Barbour County,54001,122,95,123,100,4,29,2.0,248,249,452,9251,4588,18,45,21,11,6,27,2,63,24,96,72,7,39,78,41,46,81,28,13,60,14,13,1,10,7,3,-1,90,-1,-1,-1,0,1,5,56,92,161,22,46,33,32,22,5,74,,,,,,WV,,,90.0
County,WV West Virginia,WV Berkeley County 54003,9,Housing Choice Vouchers,3,,Berkeley County,54003,259,70,186,100,5,19,2.0,368,382,541,14019,7086,8,23,33,18,18,27,1,69,24,95,75,2,36,70,35,42,33,24,2,49,22,27,-1,36,36,-1,-1,64,-1,-1,-1,0,1,18,79,98,142,40,37,23,11,18,20,58,,,,,,WV,,,64.0
County,WV West Virginia,WV Boone County 54005,9,Housing Choice Vouchers,3,,Boone County,54005,230,93,225,100,4,44,2.2,505,221,517,6993,3116,14,49,26,9,2,16,2,53,16,100,87,9,40,72,37,38,94,20,9,56,28,8,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,8,52,98,190,13,65,22,32,24,2,63,,,,,,WV,,,100.0
County,WV West Virginia,WV Braxton County 54007,9,Housing Choice Vouchers,3,,Braxton County,54007,60,86,55,100,5,13,2.2,120,272,497,10090,4625,15,47,17,11,11,25,4,56,26,95,73,4,44,78,44,34,91,22,7,58,15,20,-1,2,-1,2,-1,98,-1,-1,-1,0,2,9,58,98,157,24,51,25,22,19,2,68,,,,,,WV,,,98.0
County,WV West Virginia,WV Brooke County 54009,9,Housing Choice Vouchers,3,,Brooke County,54009,203,59,130,100,5,27,2.1,270,278,399,11316,5449,8,47,22,15,7,36,4,60,26,97,73,6,45,80,48,41,88,25,11,54,23,12,-1,10,10,-1,-1,90,-1,-1,-1,0,0,4,62,97,172,42,39,19,3,15,4,74,,,,,,WV,,,90.0
County,WV West Virginia,WV Cabell County 54011,9,Housing Choice Vouchers,3,,Cabell County,54011,1414,89,1245,99,5,18,2.3,2834,274,587,9643,4236,16,38,25,13,7,25,3,61,23,96,72,5,45,74,41,40,79,24,4,57,23,15,1,22,20,0,0,78,1,0,0,1,1,15,82,87,210,20,39,40,28,30,14,64,,,,,,WV,,,78.0
County,WV West Virginia,WV Calhoun County 54013,9,Housing Choice Vouchers,3,,Calhoun County,54013,45,50,24,100,6,21,1.7,40,196,507,8170,4902,25,54,8,13,-1,13,-1,88,23,100,83,8,21,67,21,39,100,35,4,46,25,25,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,22,71,67,148,25,38,38,54,22,2,73,,,,,,WV,,,100.0
County,WV West Virginia,WV Clay County 54015,9,Housing Choice Vouchers,3,,Clay County,54015,21,88,19,100,6,16,2.6,49,224,597,8793,3410,12,53,24,12,-1,21,5,63,19,100,95,11,47,58,32,44,-1,18,-1,68,26,5,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,23,81,100,210,5,53,42,32,27,2,69,,,,,,WV,,,100.0
County,WV West Virginia,WV Doddridge County 54017,9,Housing Choice Vouchers,3,,Doddridge County,54017,8,-4,7,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WV,,,
County,WV West Virginia,WV Fayette County 54019,9,Housing Choice Vouchers,3,,Fayette County,54019,313,87,286,100,5,17,2.2,616,260,498,8757,4066,8,54,23,11,4,18,2,63,23,97,76,7,38,70,39,42,100,25,6,56,27,11,0,16,15,1,-1,84,-1,1,-1,1,1,11,70,87,168,28,43,29,22,19,7,74,,,,,,WV,,,84.0
