gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
County,WY Wyoming,WY Albany County 56001,9,Housing Choice Vouchers,3,A,Albany County,56001,206.0,96,210,100,5.08361581920905,20,2.08095238095239,410.854700854701,252.190476190477,463.916666666668,10458.6380952381,5025.89016018307,22,34,23,10,11,29,9,61,20,97,80,17,30,76,38,36,48,20,8,65,12,15,0,21,3,3,0,16,6.61031746031747,31.7657142857144,80,91.8461538461539,25,43,32,31,21,12,39,A,A,A,-1,-1,WY,-1,A,79.0
County,WY Wyoming,WY Big Horn County 56003,9,Housing Choice Vouchers,3,A,Big Horn County,56003,1.0,96,1,100,3.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8389.0,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,112.633333333333,-4,-4.0,-4,-4,-4,-4,16,10,58,A,A,A,-1,-1,WY,-1,A,100.0
County,WY Wyoming,WY Campbell County 56005,9,Housing Choice Vouchers,3,A,Campbell County,56005,74.0,96,76,100,5.24600938967137,42,1.71052631578948,122.222222222222,311.657894736842,337.592105263158,13190.8421052632,7711.56923076923,1,33,33,22,11,22,1,75,22,100,83,1,29,82,28,43,8,15,7,32,14,47,5,14,1,3,0,11,5.88958333333333,16.7877192982456,59,89.3111111111112,42,30,28,32,9,7,40,A,A,A,-1,-1,WY,-1,A,86.0
County,WY Wyoming,WY Carbon County 56007,9,Housing Choice Vouchers,3,A,Carbon County,56007,21.0,96,21,100,4.97301587301587,24,1.47619047619048,29.1452991452991,271.809523809524,420.5,10071.9523809524,6822.93548387097,14,52,10,19,5,14,10,76,22,100,76,0,24,81,24,40,18,19,0,38,10,52,5,10,5,0,0,5,5.66666666666667,15.6873015873016,52,86.4545454545454,14,81,5,57,14,26,53,A,A,A,-1,-1,WY,-1,A,90.0
County,WY Wyoming,WY Converse County 56009,9,Housing Choice Vouchers,3,A,Converse County,56009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,
County,WY Wyoming,WY Crook County 56011,9,Housing Choice Vouchers,3,A,Crook County,56011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,
County,WY Wyoming,WY Fremont County 56013,9,Housing Choice Vouchers,3,A,Fremont County,56013,62.0,96,63,100,4.91637426900586,38,2.17460317460318,128.803418803419,260.333333333334,383.968253968254,10899.6507936508,5012.24817518248,10,43,27,11,10,14,16,65,21,98,83,8,37,89,43,36,21,15,11,43,16,30,6,22,0,22,0,0,6.92083333333333,24.0693121693122,71,88.6444444444445,30,48,22,21,13,12,62,A,A,A,-1,-1,WY,-1,A,78.0
County,WY Wyoming,WY Goshen County 56015,9,Housing Choice Vouchers,3,A,Goshen County,56015,1.0,96,1,100,4.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8329.0,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,111.633333333333,-4,-4.0,-4,-4,-4,-4,14,14,57,A,A,A,-1,-1,WY,-1,A,100.0
County,WY Wyoming,WY Hot Springs County 56017,9,Housing Choice Vouchers,3,A,Hot Springs County,56017,1.0,96,1,100,7.1,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8388.0,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,108.566666666667,-4,-4.0,-4,-4,-4,-4,10,6,59,A,A,A,-1,-1,WY,-1,A,100.0
County,WY Wyoming,WY Johnson County 56019,9,Housing Choice Vouchers,3,A,Johnson County,56019,15.0,96,15,100,5.61428571428571,47,1.86666666666667,26.3247863247863,326.466666666667,369.0,12574.2,6736.17857142857,7,27,40,13,13,27,7,67,25,100,73,0,40,93,33,54,50,39,13,53,20,13,0,7,0,0,0,7,8.67619047619048,22.6,87,96.2307692307692,13,47,40,40,9,4,58,A,A,A,-1,-1,WY,-1,A,93.0
County,WY Wyoming,WY Laramie County 56021,9,Housing Choice Vouchers,3,A,Laramie County,56021,1121.0,96,1145,100,4.74966532797864,18,2.1100436681223,2271.45299145298,273.401746724897,498.632833186241,11156.779912664,5287.46399006626,20,31,23,14,12,28,11,60,22,98,74,6,43,78,46,37,36,19,10,53,17,20,1,28,7,2,0,20,6.41264367816094,42.0958660844259,84,111.693834900733,21,46,34,33,11,21,54,A,A,A,-1,-1,WY,-1,A,72.0
County,WY Wyoming,WY Lincoln County 56023,9,Housing Choice Vouchers,3,A,Lincoln County,56023,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,
County,WY Wyoming,WY Natrona County 56025,9,Housing Choice Vouchers,3,A,Natrona County,56025,499.0,98,473,97,5.44467935165607,14,1.75264270613106,857.042283298095,288.524312896404,434.659482758618,11602.6300211416,6620.07720144754,10,38,28,14,10,21,0,79,24,99,74,3,29,77,29,61,58,37,7,39,21,33,4,9,2,1,0,7,17.062380952381,52.3502466525719,64,113.348684210526,40,40,20,26,17,12,53,A,A,A,-1,-1,WY,-1,A,91.0
County,WY Wyoming,WY Niobrara County 56027,9,Housing Choice Vouchers,3,A,Niobrara County,56027,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,
County,WY Wyoming,WY No county code 56999,9,Housing Choice Vouchers,3,A,Missing County,56999,1.0,96,1,100,9.13333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,6216.0,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,24.2333333333333,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,100.0
County,WY Wyoming,WY Park County 56029,9,Housing Choice Vouchers,3,A,Park County,56029,45.0,96,46,100,5.50079365079365,11,1.56521739130435,67.6923076923077,261.956521739131,332.108695652174,11386.3913043478,7274.63888888889,7,43,33,13,4,11,2,85,24,100,72,4,22,85,22,63,5,28,0,39,20,41,0,9,2,0,0,7,7.24,45.1166666666667,70,146.0625,35,46,20,39,14,7,60,A,A,A,-1,-1,WY,-1,A,91.0
County,WY Wyoming,WY Platte County 56031,9,Housing Choice Vouchers,3,A,Platte County,56031,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,
County,WY Wyoming,WY Sheridan County 56033,9,Housing Choice Vouchers,3,A,Sheridan County,56033,170.0,96,174,100,5.21655328798185,28,1.45402298850575,237.863247863247,277.614942528736,351.468208092486,11558.4482758621,7949.28853754943,9,33,32,20,6,19,4,76,25,99,70,2,19,62,19,57,28,36,5,37,29,29,2,5,1,3,0,2,3.76458333333334,44.4944444444445,69,94.2333333333334,57,29,14,21,11,6,52,A,A,A,-1,-1,WY,-1,A,95.0
County,WY Wyoming,WY Sublette County 56035,9,Housing Choice Vouchers,3,A,Sublette County,56035,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,
County,WY Wyoming,WY Sweetwater County 56037,9,Housing Choice Vouchers,3,A,Sweetwater County,56037,25.0,96,25,100,7.20133333333333,16,1.52,36.48,295.48,448.28,12971.48,8533.86842105263,4,40,24,16,16,28,0,72,23,100,80,0,24,72,24,68,50,42,4,52,20,24,0,12,4,4,0,8,9.90833333333334,36.4933333333333,80,91.6,12,36,52,68,9,13,48,A,A,A,-1,-1,WY,-1,A,88.0
County,WY Wyoming,WY Teton County 56039,9,Housing Choice Vouchers,3,A,Teton County,56039,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,
