Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,WY Wyoming,WY Albany County 56001,9,Housing Choice Vouchers,3,,Albany County,56001,176,95,164,98,5,12,1.4,233,317,483,12115,8527,4,40,34,10,12,13,-1,84,21,99,85,5,12,64,12,68,50,45,2,41,27,30,-1,18,2,4,1,82,1,9,-1,10,0,18,66,76,73,42,43,15,40,26,17,42,,,,,,WY,,,82.0
2018-12-31,County,WY Wyoming,WY Campbell County 56005,9,Housing Choice Vouchers,3,,Campbell County,56005,226,95,210,98,5,12,1.5,320,335,483,14104,9256,2,28,32,19,19,15,-1,82,20,100,83,1,19,76,17,63,28,32,1,29,23,47,2,12,1,2,1,88,-1,8,0,8,1,24,45,68,93,30,46,23,50,10,12,48,,,,,,WY,,,88.0
2018-12-31,County,WY Wyoming,WY Carbon County 56007,9,Housing Choice Vouchers,3,,Carbon County,56007,16,95,15,98,5,33,1.5,22,362,483,14713,10031,-1,47,7,33,13,7,-1,93,25,100,60,-1,20,87,20,71,25,32,-1,27,20,53,-1,13,7,-1,-1,87,-1,7,-1,7,0,14,49,47,104,7,60,33,73,14,28,69,,,,,,WY,,,87.0
2018-12-31,County,WY Wyoming,WY Fremont County 56013,9,Housing Choice Vouchers,3,,Fremont County,56013,107,95,100,98,5,17,2.0,201,272,483,10891,5418,9,31,34,16,10,22,1,66,18,100,87,7,33,78,37,44,44,23,5,39,30,26,3,32,3,22,-1,68,-1,4,3,7,1,23,45,71,87,33,45,22,30,12,19,67,,,,,,WY,,,68.0
2018-12-31,County,WY Wyoming,WY Goshen County 56015,9,Housing Choice Vouchers,3,,Goshen County,56015,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WY,,,
2018-12-31,County,WY Wyoming,WY Johnson County 56019,9,Housing Choice Vouchers,3,,Johnson County,56019,21,95,20,98,6,-1,2.0,39,335,483,13958,7158,5,25,35,20,15,20,-1,80,22,100,85,-1,35,65,35,53,60,31,5,40,30,25,-1,10,-1,-1,-1,90,-1,5,5,10,0,-1,47,75,96,40,35,25,25,12,6,69,,,,,,WY,,,90.0
2018-12-31,County,WY Wyoming,WY Laramie County 56021,9,Housing Choice Vouchers,3,,Laramie County,56021,1060,95,986,98,5,15,1.8,1813,343,483,13435,7307,6,32,26,17,19,24,1,72,22,99,78,4,27,73,28,51,52,31,4,41,23,31,1,31,7,2,0,69,1,20,1,22,0,27,68,82,111,28,45,27,39,14,24,59,,,,,,WY,,,69.0
2018-12-31,County,WY Wyoming,WY Natrona County 56025,9,Housing Choice Vouchers,3,,Natrona County,56025,543,91,480,97,5,5,1.5,699,305,476,12839,8816,7,32,30,18,13,17,0,80,22,98,83,1,17,71,15,63,64,47,4,31,29,36,3,14,5,2,0,86,-1,5,1,6,1,2,70,68,84,41,48,11,39,14,14,58,,,,,,WY,,,86.0
2018-12-31,County,WY Wyoming,WY Park County 56029,9,Housing Choice Vouchers,3,,Park County,56029,82,95,76,98,5,18,1.7,127,316,483,12746,7627,4,33,31,17,15,13,-1,82,21,100,82,1,14,80,16,59,24,28,-1,29,22,49,4,7,-1,1,1,93,-1,4,-1,4,0,16,66,66,124,39,45,16,37,10,9,70,,,,,,WY,,,93.0
2018-12-31,County,WY Wyoming,WY Sheridan County 56033,9,Housing Choice Vouchers,3,,Sheridan County,56033,243,95,226,98,6,12,1.5,344,320,483,13550,8902,4,33,27,23,13,14,2,83,23,98,77,3,17,68,19,61,44,38,2,31,28,40,4,9,1,4,1,91,-1,4,-1,4,0,12,63,70,90,40,40,19,40,7,8,68,,,,,,WY,,,91.0
